qid	en	ja	p31_types
Q838948	work of art	芸術作品	concept, creative work, type of artifact, type of work
Q488383	object	客体	concept, entity, variable-order class
Q3695082	sign	記号	concept, object
Q319891	universal suffrage	普通選挙	concept, political concept, suffrage
Q80071	symbol	シンボル	concept, representation, sign
Q188619	hierarchy	ヒエラルキー	conceptual system, sequence, structure, type of structure
Q135236642	Enumeration of 22	名数22	concrete number, type of fixed-size set or group
Q135236640	Enumeration of 21	名数21	concrete number, type of fixed-size set or group
Q135236643	Enumeration of 23	名数23	concrete number, type of fixed-size set or group
Q1136168	aftermath of the 2011 Tōhoku earthquake and tsunami	東日本大震災	consequent, earthquake disaster, tsunami
Q1370468	architectural reconstruction	復旧	conservation state, construction, key event, reconstruction, restoration
Q187931	phrase	句	constituent, form, linguistic unit, sequence, word or phrase
Q237082	Constitution of Japan	日本国憲法	constitution
Q6158155	Consulate-General of Japan, Houston	在ヒューストン日本国総領事館	consulate general
Q15229227	Consulate-General of Japan, Detroit	在デトロイト日本国総領事館	consulate general
Q44475767	Consulate-General of Japan in Vladivostok	在ウラジオストク日本国総領事館	consulate general
Q45123628	Consulate-General of Japan, Barcelona	在バルセロナ日本国総領事館	consulate general
Q47068479	Consulate-General of Japan, São Paulo	在サンパウロ日本国総領事館	consulate general
Q503992	nominal	名詞語句	content word, part of speech
Q48	Asia	アジア	continent, part of the world, region
Q56650537	past continuous		continuous, imperfect, tense
Q106727050	Metropolitan Museum of Art Tagging Vocabulary	メトロポリタン美術館の美術作品タグ付け語彙	controlled vocabulary, thesaurus
Q22169	GNU Free Documentation License	GNU Free Documentation License	copyleft license, free license
Q63860166	creator who is not dead	著作者が存命	copyright determination method, heuristic for determination of copyright status of a creator
Q50423863	copyrighted	著作権で保護	copyright law, copyright status, copyright status of set, intellectual property
Q39132	.jp	.jp	country code top-level domain
Q20042053	foundation of Japan	日本国の建国	country origin myth, national foundation
Q11071121	Junior First Rank	従一位	court rank in Japan
Q11123258	Senior First Rank	正一位	court rank in Japan
Q11123280	Senior Fifth Rank	正五位	court rank in Japan
Q11591025	shinkai	神階	court rank in Japan
Q11071125	Junior Fifth Rank	従五位	court rank in Japan, title of honor
Q99196082	court rank in Japan	日本の位階	court rank, hierarchy
Q7397	software	ソフトウェア	creative work, means, product, product category, type of tool, written work
Q1377385	Tōkaimura criticality accident	東海村JCO臨界事故	criticality accident
Q874027	Historic Monuments of Ancient Kyoto	古都京都の文化財	cultural heritage, group of structures or buildings
Q43113623	part of UNESCO World Heritage Site	世界遺産の構成資産	cultural heritage, natural heritage
Q12585	Latin America	ラテンアメリカ	cultural region, transcontinental region
Q831454	culture of Japan	日本の文化	culture of an area, culture of the Earth
Q9598	Taoism	道教	culture, philosophical movement, philosophy, religion
Q8146	yen	円	currency, yuan
Q645218	Yomiuri Shimbun	読売新聞	daily newspaper
Q131308401	Countries (K-samsök/GeoNames)		data catalog, data set
Q54856619	ASC Leiden Thesaurus dataset of 5 June 2018		data set
Q64159407	Aligned ISNI and Ringgold identifiers for institutions		data set
Q54919	Virtual International Authority File	バーチャル国際典拠ファイル	data set, digital catalog, name authority file, online service, search engine
Q8513	database	データベース	data, data set, digital object, work
Q28527677	Open ISNI for Organizations		database
Q135037878	Kokugakuin University Shrine database (old)	神社史料集成	database
Q465	DBpedia	DBペディア	database derived from Wikimedia projects, knowledge base, knowledge graph, online database
Q1133223	World Atlas of Language Structures	言語構造世界地図	database, free software, website
Q15241312	Freebase Data Dumps	Freebase データダンプ	database, source of statements in Wikidata
Q118645236	UMLS 2023	UMLS 2023	database, version, edition or translation
Q107016745	Japanese Database of National Cultural Properties	国指定文化財等データベース	database, web portal
Q135919429	website of Agency for Cultural Affairs	文化庁ホームページ	database, web portal
Q18336371	BBC Things	BBC Things	database, website
Q61941037	e-Stat	e-Stat	database, website
Q41825	day of the week	曜日	day, second-order class, time interval with respect to recurring time interval
Q127912	United States Declaration of Independence	アメリカ独立宣言	declaration of independence
Q5256018	demographics of the Empire of Japan	大日本帝国の人口統計	demographics of Asia, demographics of Japan, demographics of country or region
Q1124220	demographics of Japan	日本の人口統計	demographics of Asia, demographics of country or region
Q17781833	destruction	破壊	deprivation, occurrence, vulnerability
Q391414	architectural element	建築要素	design element
Q11513596	Five storied pagoda of Kasuga Taisha	春日大社五重塔	destroyed building or structure, five-storied pagoda, twin towers
Q7164	World Bank	世界銀行	development bank, international financial institution
Q2849617	Malaysian English	マレーシア英語	dialect
Q56430	Jèrriais	ジャージー島方言	dialect, insular Norman, modern language, natural language
Q779608	exception	例外	difference
Q214866	Great Hanshin Earthquake	兵庫県南部地震	disaster, earthquake, natural disaster
Q191067	article	記事	document, literary form, part of a work, publication, text, type of publication, written work
Q179461	religious text	聖典	document, literary genre, literary work
Q135922169		改定ローマ字のつづり方（2025年8月20日、答申）	document, report
Q17208829	1991 Japanese Recession	バブル崩壊	economic crisis, recession
Q5374198	economy of the Empire of Japan	大日本帝国の経済	economy of Asia, economy of Japan, national economy
Q319831	economy of Japan	日本の経済	economy of East Asia, national economy
Q100863548	economy of Gifu prefecture	岐阜県の経済	economy of Japan, regional economy
Q615699	online encyclopedia	インターネット百科事典	educational website, encyclopedia, literary form, online work
Q11392186	Public Offices Election Act	公職選挙法	election act, law of Japan, statute
Q11505877	local assemblyperson of Japan	日本の地方議会議員	elective office, legislator, public office
Q17506823	member of the House of Representatives of Japan	衆議院議員	elective office, member of the Diet of Japan
Q14552828	member of the House of Councillors	参議院議員	elective office, member of the Diet of Japan, senator
Q107046845	Jōkyū-bon	承久本北野天神縁起絵巻	emakimono
Q621455	Embassy of Japan, Seoul	在大韓民国日本国大使館	embassy
Q1683268	Embassy of Japan, Berlin	在ドイツ日本国大使館	embassy
Q2841871	Embassy of Japan, Paris	在フランス日本国大使館	embassy
Q3936326	Embassy of Japan, Moscow	在ロシア日本国大使館	embassy
Q5369754	Embassy of Japan, London	在英国日本国大使館	embassy
Q9149515	Embassy of Japan,  Warsaw	在ポーランド日本国大使館	embassy
Q11423916	Embassy of Japan, Bangkok	在タイ日本国大使館	embassy
Q12847814	Embassy of Japan, Baku	在アゼルバイジャン日本国大使館	embassy
Q19376100	Embassy of Japan, Oslo	在ノルウェー日本国大使館	embassy
Q29868931	Embassy of Japan, Beijing	在中華人民共和国日本国大使館	embassy
Q44770661	Embassy of Japan, Madrid	在スペイン日本国大使館	embassy
Q47013110	Embassy of Japan, Brasília	在ブラジル日本国大使館	embassy
Q48707863	Embassy of Japan, Ankara	在トルコ日本国大使館	embassy
Q101069514	embassy of Japan, Budapest	在ハンガリー日本国大使館	embassy
Q2807090	119	119番	emergency telephone number
Q11185210	118	118番	emergency telephone number
Q25648823	110	110番	emergency telephone number
Q208233	Emperor of Japan	天皇	emperor, head of state, hereditary position, hereditary title, monarch
Q20991545			encyclopedia article
Q20991546			encyclopedia article
Q24358975			encyclopedia article
Q24469027			encyclopedia article
Q24469030			encyclopedia article
Q24469034			encyclopedia article
Q24469039			encyclopedia article
Q24469044			encyclopedia article
Q24469057			encyclopedia article
Q24469060			encyclopedia article
Q24469066			encyclopedia article
Q24469070			encyclopedia article
Q24469073			encyclopedia article
Q24469078			encyclopedia article
Q24511007			encyclopedia article
Q24733132			encyclopedia article
Q24736964			encyclopedia article
Q24755546			encyclopedia article
Q24923851			encyclopedia article
Q25376781			encyclopedia article
Q29950498			encyclopedia article
Q49387431			encyclopedia article
Q62104270			encyclopedia article
Q66481470			encyclopedia article
Q84646722	1911 Encyclopædia Britannica/Name		encyclopedia article
Q84647692	1911 Encyclopædia Britannica/Hierarchy		encyclopedia article
Q84665032	1911 Encyclopædia Britannica/Japan		encyclopedia article
Q84690498	1911 Encyclopædia Britannica/English Language		encyclopedia article
Q86851716			encyclopedia article
Q87333663			encyclopedia article
Q87337597			encyclopedia article
Q99221192	Catholic Encyclopedia (1913)/Japan		encyclopedia article
Q108004008	1922 Encyclopædia Britannica/Japan		encyclopedia article
Q109110299			encyclopedia article
Q112779246			encyclopedia article
Q120367107	1911 Encyclopædia Britannica/Titles of Honour		encyclopedia article
Q123911807	The American Cyclopædia (1879)/Japan		encyclopedia article
Q124007594	1911 Encyclopædia Britannica/Title		encyclopedia article
Q124012281	The New Student's Reference Work/Japan		encyclopedia article
Q130751856	Wikipedia article		encyclopedia article
Q135288413	The New International Encyclopædia/Shintō		encyclopedia article
Q135288499	The New International Encyclopædia/Japan		encyclopedia article
Q136511631	Collier's New Encyclopedia (1921)/Japan		encyclopedia article
Q4114391	Sytin Military Encyclopedia	シティン軍事百科事典	encyclopedic dictionary
Q4532135	Encyclopedic Lexicon	百科用語集	encyclopedic dictionary
Q63284758	Desktop Encyclopedic Dictionary	卓上百科辞書	encyclopedic dictionary
Q4532138	Granat Encyclopedic Dictionary	グラナート百科辞書	encyclopedic dictionary, version, edition or translation
Q1020542	entryway	玄関	entrance, hall, interior space
Q12021746	interrogative	疑問文	epistemic modality, grammatical category, grammatical mood, sentence
Q47005769	national estimation		estimation
Q47005776	UIS estimation		estimation
Q101828	Ainu people	アイヌ	ethnic group, ethnic groups of Japan, indigenous peoples of Asia
Q812767	Shinto	神道	ethnic religion, folk religion, lifestyle, polytheistic religion
Q107240613	Jingushicho	神宮司庁	executive branch, religious administrative entity
Q45177	Visa Waiver Program	ビザ免除プログラム	expedited border crossing scheme, government program, visa policy
Q11470037	Sannō Faith	山王信仰	faith, shinbutsu-shūgō
Q47088295	feminine plural	女性複数	feminine, grammatical gender, grammatical number, plural
Q47088293	feminine singular	女性単数	feminine, grammatical gender, singular
Q52431970	third-person feminine singular		feminine, person, third-person singular
Q97361976	fictional kami	架空の神	fictional deity
Q33742	natural language	自然言語	field of study, field of study, human language, type of language
Q1725664	terminology	術語学	field of study, field of study, knowledge organization system
Q1799072	method	方法	field of study, field of study, means
Q2451637	torrent file	トレントファイル	file format
Q202866	animated film	アニメーション映画	film, film genre, type of cinematic work
Q791801	estimation	概算	finding, procedure, process, reasoning, technique
Q51929290	first-person plural	一人称複数	first person, person, plural person
Q51929218	first-person singular	一人称単数	first person, person, singular person
Q10884	tree	木	first-order class, organisms known by a particular common name, phanerophyte, plant life-form, woody plant
Q24017465	third-order class	三次クラス	fixed-order class, fourth-order class, metaclass
Q24017414	second-order class	二次クラス	fixed-order class, metaclass, third-order class
Q8944860	flag of Gifu prefecture	岐阜県旗	flag of a country subdivision
Q871991	cherry blossom	サクラ	flower
Q1068640	folk religion	民間信仰	folk culture, religion, religion type
Q125471262	nationwide forecast area	全国予報区	forecast region
Q116474095	type of work of art	芸術作品の種類	form of art, metaclass, type of work
Q2994894	dual monarchy	二重君主制	form of government
Q849242	hereditary monarchy	世襲君主制	form of government, hereditary office, monarchy
Q7269	monarchy	君主制	form of government, monarchic system
Q41614	constitutional monarchy	立憲君主制	form of government, monarchy
Q3271557	imperial cult	君主崇拝	form of government, state religion
Q12139612	list	一覧	format, group
Q64139102	KBpedia	KBぺディア	free software, knowledge base, knowledge graph, ontology
Q112258758	GF WordNet		free software, lexicographic database
Q5374249	relative frequency	相対的頻度	frequency
Q762856	frequency	頻度	frequency, measurement, quantity
Q654787	voiced labiodental fricative	有声唇歯摩擦音	fricative consonant, labiodental consonant, oral consonant, pulmonic consonant, voiced consonant
Q654705	voiceless labiodental fricative	無声唇歯摩擦音	fricative consonant, labiodental consonant, oral consonant, pulmonic consonant, voiceless consonant
Q740768	near-open front unrounded vowel	非円唇前舌狭めの広母音	front vowel, low unrounded vowel, near-open vowel, unrounded vowel
Q29462	open-mid front unrounded vowel	非円唇前舌半広母音	front vowel, low unrounded vowel, open-mid vowel, unrounded vowel
Q3519604	mid front unrounded vowel	非円唇前舌中央母音	front vowel, mid vowel, unrounded vowel
Q157763	Prunus mume	ウメ	fruit tree, taxon
Q12743436	future continuous	未来進行形	future continuous, tense
Q1475560	simple future	未来形	future tense, indicative, simple future, simple tense, tense
Q20472817	future perfect continuous	未来完了進行形	future tense, perfect tense, progressive, tense
Q1234617	future perfect		future tense, tense
Q11354355	Sandai Kyakushiki	三代格式	ge and shi, triad
Q1342448	Engishiki	延喜式	ge and shi, written work
Q6581072	female	女性	gender identity, gendered, sex of humans
Q6581097	male	男性	gender identity, gendered, sex of humans
Q135274477	Group of 22	22個からなるもの	generic set, group, unit of amount
Q1861696	English possessive	英語の所有代名詞	genitive case
Q11588751	shinzō	神像	genre of sculpture, religious sculptural piece, statue
Q99018632	group of geographic locations		geographical feature, group
Q333690	Geography of Japan	日本の地理	geography of Asia, geography of geographic location
Q373478	voiceless glottal fricative	無声声門摩擦音	glottal fricative, oral consonant, pulmonic consonant, voiceless consonant
Q979873	Gion Matsuri	祇園祭	goryō-e, matsuri
Q6498663	fire department	消防本部	government agency, organization
Q11452075	kanjin	官人	government official, occupation
Q47088292	masculine plural	男性複数	grammatical gender, grammatical number, masculine, plural
Q47088290	masculine singular	男性単数	grammatical gender, grammatical number, masculine, singular
Q499327	masculine	男性	grammatical gender, inflected form
Q1775415	feminine	女性	grammatical gender, inflected form
Q1775461	neuter	中性	grammatical gender, inflected form
Q473746	subjunctive	接続法	grammatical mood
Q682111	indicative	直説法	grammatical mood, realis
Q110786	singular	単数	grammatical number, inflected form
Q146786	plural	複数	grammatical number, inflected form
Q1240211	present perfect	現在完了	grammeme, perfect tense, present tense, tense
Q51929403	second-person plural	二人称複数	grammeme, person, plural person, second person
Q18247357	group of structures or buildings	建物・構造物のグループ	group of artificial physical objects, group of geographic locations, group of works
Q1764511	G7	G7	group of major economic countries, heptad, intergovernmental organization, international organization
Q37143	G8	G8	group of major economic countries, intergovernmental organization, octad
Q66661745	group of artificial physical objects	人工物群	group of physical objects
Q66088085	Kasuga-Taisha and Kasugayama Primeval Forest	春日大社及び春日山原始林	group of protected areas
Q1055749	Historic Monuments of Ancient Nara	古都奈良の文化財	group of structures or buildings
Q17489659	group of works	作品群	group, work
Q107020439	Haiden, Izumo Takeo Shrine, Isonokami Shrine	石上神宮摂社出雲建雄神社拝殿	haiden
Q107020440	Haiden, Isonokami Shrine	石上神宮拝殿	haiden
Q11501518	Niiname-no-Matsuri	新嘗祭	harvest festival, public holiday in the Empire of Japan, ritual ceremony of the Imperial Palace
Q11581944	Ainame Festival	相嘗祭	harvest festival, ritual ceremony of the Imperial Palace
Q11505781	head of state of Japan	日本の元首	head of state
Q107020556		石清水八幡宮本社 幣殿及び舞殿	heiden, kagura-den
Q118645058	inferred by common MeSH mappings on source and on Wikidata		heuristic
Q105771507	inferred from language in work	作品中の言語から推測	heuristic, inferred from attribute of entity, reasoning
Q1151168	Rikkokushi	六国史	hexad, literary hexalogy
Q712534	modern system of ranked Shinto shrines	近代社格制度	hierarchy
Q138640329	Engishiki ranking		hierarchy
Q1479879	order of precedence	席次	hierarchy, sorting
Q1137807	near-close near-back rounded vowel	円唇後舌め広めの狭母音	high rounded back vowel, near-back vowel, near-close vowel, rounded vowel, term
Q37041	Classical Chinese	漢文	historical language, language variety, written Chinese language, written language, written language
Q5368745	official history	正史	historical non-fiction literature, history of historiography
Q28763	History of Ming	明史	historical non-fiction work
Q813935	Nihon Shoki	日本書紀	historical non-fiction work
Q1147260	History of Song	宋史	historical non-fiction work
Q1052981	Nihon Sandai Jitsuroku	日本三代実録	historical non-fiction work, literary work
Q1053542	Nihon Kiryaku	日本紀略	historical non-fiction work, literary work
Q193292	Heian period	平安時代	historical period
Q362	World War II	第二次世界大戦	historical period, war, world war
Q361	World War I	第一次世界大戦	historical period, world war
Q11589488	Jingu Museum	神宮徴古館	history museum
Q130436	history of Japan	日本の歴史	history of East Asia, history of a country or state
Q483226	Coming of Age Day	成人の日	holiday, public holiday in Japan
Q181	Jimmy Wales	ジミー・ウェールズ	human
Q185		ラリー・サンガー	human
Q37979	Akihito	明仁	human
Q122465	Yoshihide Suga	菅義偉	human
Q132345	Shinzō Abe	安倍晋三	human
Q217096	Naruhito	徳仁	human
Q329753	Daigo	醍醐天皇	human
Q335181	Tenmu	天武天皇	human
Q359480	Fumio Kishida	岸田文雄	human
Q382005	Sugawara no Michizane	菅原道真	human
Q1054488	Fujiwara no Anshi	藤原安子	human
Q1058216	Tachibana no Kachiko	橘嘉智子	human
Q1335527	Shigeru Ishiba	石破茂	human
Q1397601	Fujiwara no Tadahira	藤原忠平	human
Q1705028	Sanae Takaichi	高市早苗	human
Q2110461	Fujiwara no Otomuro	藤原乙牟漏	human
Q2994735	Fujiwara no Tokihira	藤原時平	human
Q4346747	Ban Nobutomo	伴信友	human
Q11369065	Osamu Kubota	久保田収	human
Q11623214	Fujiwara no Yamakage	藤原山蔭	human
Q11623368	Fujiwara no Nagate	藤原永手	human
Q11626127	Gyōkyō	行教	human
Q92656496	Hata no Tori	秦都理	human
Q109288410	Yoshihide Esaki	江崎禎英	human
Q140317540	Tajihi no Ayako	多治比文子	human
Q140317573	Miwa no Yoshitane	神良種	human
Q140317590	Saichin	最鎮	human
Q1288568	modern language	現代語	human language, type of language
Q65277311	Hata no Irogu	秦伊侶具	human, legendary figure
Q82799	name	名前	identifier, nominal, signifier, word or phrase
Q853614	identifier	識別子	identifying artifact
Q1004	comics	漫画	illustrated work, literary form, literary genre, literary work, narrative, sequential art, type of arts, visual artwork
Q11396303	printed book	刊本	individual copy of a book, physical media format, printed matter
Q829903	agreement	一致	inflection, linguistic term
Q506	flower	花	inflorescence, plant organ, plant structure
Q49848	document	文書	information resource
Q1211272	signage	サイネージ	information, method, sign
Q2150504	signal	シグナル	instructional materials, sign
Q47461344	written work	著作物	intellectual work, type of work
Q170481	Asia-Pacific Economic Cooperation	アジア太平洋経済協力	intergovernmental organization
Q233611	International Hydrographic Organization	国際水路機関	intergovernmental organization
Q605326	World Customs Organization	世界税関機構	intergovernmental organization
Q826700	International Energy Agency	国際エネルギー機関	intergovernmental organization
Q842490	Organisation for the Prohibition of Chemical Weapons	化学兵器禁止機関	intergovernmental organization
Q1043527	Multilateral Investment Guarantee Agency	多数国間投資保証機関	intergovernmental organization
Q7886981	ASEAN Regional Forum	東南アジア諸国連合地域フォーラム	intergovernmental organization
Q38130	League of Nations	国際連盟	intergovernmental organization, international organization
Q1072120	Missile Technology Control Regime	大量破壊兵器の運搬手段であるミサイル及び関連汎用品・技術の輸出管理体制	intergovernmental organization, international organization
Q1480793	Nuclear Suppliers Group	原子力供給国グループ	intergovernmental organization, international organization
Q8475	Interpol	国際刑事警察機構	intergovernmental organization, international organization, law enforcement agency, missing persons organization, organization, telegraphic address
Q1065	United Nations	国際連合	intergovernmental organization, international organization, nonprofit organization
Q41550	Organization for Economic Cooperation and Development	経済協力開発機構	intergovernmental organization, international organization, organization
Q7809	UNESCO	国際連合教育科学文化機関	intergovernmental organization, specialized agency of the United Nations
Q31948	lobby	ロビー	interior space, workplace
Q656801	International Finance Corporation	国際金融公社	international financial institution
Q188822	Asian Development Bank	アジア開発銀行	international financial institution, multilateral development bank, public company, publishing house
Q7825	World Trade Organization	世界貿易機関	international organization
Q782942	Australia Group	オーストラリア・グループ	international organization
Q899770	International Centre for Settlement of Investment Disputes	投資紛争解決国際センター	international organization
Q3152127	UNESCO Institute for Statistics	UNESCO統計研究所	international organization, online database
Q170424	World Meteorological Organization	世界気象機関	international organization, specialized agency of the United Nations
Q48522	word-sense disambiguation	語義の曖昧性解消	interpretation, problem
Q132050	governor	知事	job title, position, profession, public office, ruler
Q107020553		石清水八幡宮本社 廻廊 （楼門西門間）	kairō
Q107020555		石清水八幡宮本社 廻廊 （楼門東門間）	kairō
Q107020560		石清水八幡宮本社 廻廊 （背面）	kairō
Q1142552	historical kana orthography	歴史的仮名遣い	kanazukai
Q2572881	modern kana usage	現代仮名遣い	kanazukai
Q11504610	Unranked	无位	kanjin, legal status
Q28688501	Kenuki-gata tachi at Ise Shrine	毛抜形太刀	kenukigata tachi
Q71016606	Golden	ゴールデン	knowledge base, online encyclopedia
Q648625	Google Knowledge Graph	Google ナレッジグラフ	knowledge graph
Q23622	dictionary	辞典	knowledge organization system, lexicographic work, literary form, literary work, publication, reference work
Q5292	encyclopedia	百科事典	knowledge organization system, lexicon, literary form, reference work, serial, tertiary source
Q137536838	Cabinet Notice on the Romanization of Japanese (December 22, 2025)	ローマ字のつづり方（令和7年12月22日内閣告示）	kokuji
Q109527829	Gendai Kanazugai	現代仮名遣い	kokuji
Q29933858	territorial claim	領有権主張	land claim, region
Q20162172	human language	人間の言語	language
Q152559	macrolanguage	ISO 639-3 マクロランゲージ	language identifier, languoid class
Q20923490	multiple languages	複数言語	language identifier, languoid, notation, set
Q1097949	literary language	文語	language variety, type of language, usage, written language
Q399495	standard language	標準語	language, language variety, type of language
Q125421	second language	第二言語	language, type of language
Q178435	nominative–accusative language	対格言語	language, type of language
Q7888721	stress-timed language	強勢言語	language, type of language
Q34770	language	言語	languoid, languoid class
Q35535	police	警察	law enforcement agency
Q3270407	Act on National Flag and Anthem	国旗及び国歌に関する法律	law of Japan, statute
Q1359602	Sports Day	スポーツの日	legacy of the 1964 Summer Olympics, moveable feast, public holiday in Japan, sports day
Q7882536	non-denominational	単立	legal form, legal term or legal concept, religion, religious concept, religious organization
Q117351898	ordinary local public entity	普通地方公共団体	legal form, local public entity
Q2628882	legal status	法的地位	legal term or legal concept, role, social status, status
Q109527857	kokuji	告示	legal transaction, notice, ordinance
Q55536799	Ikaga Shikoo	伊香色雄	legendary human figure
Q1768721	Gujin Tushu Jicheng	古今図書集成	leishu
Q533822			lexical database
Q8171	word	語	lexical item, word or phrase
Q95449814	CC 6		library classification scheme, version, edition or translation
Q22961440	Volume 322 of History of Ming		liezhuan
Q48937186	word or phrase	語句	linguistic unit
Q16482760	125 Shrines of Ise	神宮125社の一覧	list
Q676	prose	散文	literary form, literary work
Q12617225	religious literature	宗教文学	literary genre, spiritual literature
Q386073	New Book of Tang	新唐書	literary work
Q611399	Shoku Nihongi	続日本紀	literary work
Q1029706	New International Encyclopedia	新国際百科事典	literary work
Q1038639	Ruijū Kokushi	類聚国史	literary work
Q1041301	Shoku Nihon Kōki	続日本後紀	literary work
Q1052905	Nihon Montoku Tennō Jitsuroku	日本文徳天皇実録	literary work
Q1077029	Nihon Kōki	日本後紀	literary work
Q1345223	History of Yuan	元史	literary work
Q1374339	Draft History of Qing	清史稿	literary work
Q3181656	The Nuttall Encyclopædia	ナットール百科事典	literary work
Q11064932	Engishiki Jinmyōchō	延喜式神名帳	literary work, religious text
Q5674013	Hart's Rules	オックスフォード・ルール	literary work, style guide, technical standard
Q116658403	religious book		literature by topic, specialized literature
Q8201	Chinese characters	漢字	logographic writing system, natural writing system, writing system
Q11268869	Japanese long vowels	長音	long vowel
Q11576984	Tamura-no-dai	田村第	mansion
Q10302194	manually coded English		manually coded language
Q27092	Sea of Japan	日本海	marginal sea
Q41602	Sea of Okhotsk	オホーツク海	marginal sea
Q45341	East China Sea	東シナ海	marginal sea
Q52431955	third-person masculine singular		masculine, person, third-person singular
Q11381874	Sumiyoshi Matsuri	住吉祭	matsuri
Q11513690	Kasuga Wakamiya On-Matsuri Festival	春日若宮おん祭	matsuri
Q96584302	alternative	代替	means, option, other, philosophical concept
Q15140392	founding member	創設メンバー	member, membership type, role
Q111972893	type of structure	構造カテゴリ	metaclass, type
Q133449656	type of work	作品のタイプ	metaclass, type
Q110169000	type of literary work	文学作品の種類	metaclass, type of work of art
Q14005			metadata registry, online music database, social cataloging application
Q43056	Axis Powers	枢軸国	military alliance
Q274948	Prime Minister of Japan	内閣総理大臣	minister of Japan, position, prime minister
Q130467017	aratama	荒魂	mitama
Q107020557		石清水八幡宮本社 西門	mon
Q107020558		石清水八幡宮本社 東門	mon
Q47280	Abrahamic religion	アブラハムの宗教	monotheistic religion, religion type
Q47018901	calendar month	暦月	month, recurring time interval
Q191384	International Bank for Reconstruction and Development	国際復興開発銀行	multilateral development bank
Q340195	African Development Bank	アフリカ開発銀行	multilateral development bank
Q827525	International Development Association	国際開発協会	multilateral development bank
Q6159227	Japan–Latin America relations	日本とラテンアメリカの関係	multilateral relation
Q174933	Japan	ジャパン	musical group
Q17228263	Gifu Kenmin no Uta	岐阜県民の歌	musical work/composition
Q178885	deity	神	mythical character, supernatural being
Q814158	Japanese mythology	日本神話	mythology, mythology by ethnic group
Q783521	title	題名	name
Q4189293	rank	組織内の階級	name, position, rank
Q89410507	name without diacritical marks	ダイアクリティカル・マークのない名前	name, string, unaccented text, version
Q81534	Kimigayo	君が代	national Symbols of Japan, national anthem
Q43175	flag of Japan	日本の国旗	national Symbols of Japan, national flag
Q2657718	Armenian Soviet Encyclopedia	アルメニア・ソビエト百科事典	national encyclopedia, universal encyclopedia
Q12056846	national seal	国璽	national symbol, seal
Q1070049	near-close near-front unrounded vowel	非円唇前舌め広めの狭母音	near-close vowel, near-front vowel, unrounded vowel
Q52433289	third-person neuter singular		neuter, person, third-person singular
Q16639816	The Signpost	サインポスト	newsletter, online magazine, online newspaper, periodical
Q137357524	Noh stage, Yasaka Jinja	八坂神社 能舞台	noh stage
Q193858	International Electrotechnical Commission	国際電気標準会議	non-governmental organization, standards organization
Q147276	proper noun	固有名詞	noun
Q171178	Fukushima Daiichi nuclear disaster	福島第一原子力発電所事故	nuclear disaster
Q98	Pacific Ocean	太平洋	ocean
Q207520	region of Japan	日本の地域	octad, region
Q66606845	shamusho	社務所	office
Q1361434	Shōwa Day	昭和の日	official birthday, public holiday, public holiday in Japan
Q11452125	East Asian government position	官職	official, public office
Q13219454	Library of Congress Authorities	アメリカ議会図書館典拠	online database
Q106509962	National Library of Israel Names and Subjects Authority File	イスラエル国立図書館名称・主題典拠ファイル	online database
Q54760023	Media Arts Database	メディア芸術データベース	online database, video game database, website
Q2071334	Know Your Meme	Know Your Meme	online encyclopedia, website
Q5611262	Group on Earth Observations	地球観測に関する政府間会合	organization
Q209344	Sapienza University of Rome	ローマ・ラ・サピエンツァ大学	organization, public university
Q1616178	heterarchy	ヘテラルキー	organization, type of organization
Q192509	romanization of Japanese	ローマ字	orthographic transcription, romanisation system, romanization, transcription of Japanese
Q372474	colophon	奥付	paratext, part of a work
Q6455346	Kōzakihana	神崎鼻	park
Q1338856	National Diet Building	国会議事堂	parliament building
Q1980247	chapter	章	part of a work, publication
Q11404273	Grand Kitano Tea Ceremony	北野大茶湯	party
Q23663136	past perfect	過去完了	past perfect, perfect tense, pluperfect, tense
Q1392475	simple past	過去形	past tense, simple tense, tense
Q392541	Treaty of San Francisco	日本国との平和条約	peace treaty
Q94498	kagura-den	神楽殿	performing arts building, religious building, stage
Q51929369	second-person singular	二人称単数	person, second person, singular person
Q216353	title	称号	phrase, sign
Q349	sport	スポーツ	physical activity, type of activity
Q17334923	physical location	物理位置	physical property, property, type of location
Q4025884	concrete number	名数	physical quantity
Q131457407	shagōhyō	社号標	physical sign
Q51929517	third-person plural	三人称複数	plural person, third person
Q11381946	Japan Resident Registry	住民基本台帳	population statistics, resident register
Q11591085	Saishu (Ise Shrine)	祭主	position
Q83230308	hereditary office	世襲職位	position
Q11471583	Gifu Prefectural Assembly	岐阜県議会	prefectural assemblies of Japan
Q24895931	Gifu prefectural government	岐阜県庁	prefectural government
Q3910936	simple present	現在形	present tense, simple tense, tense
Q7240943	present continuous		present tense, tense
Q1550643	principle	原則	principle
Q131252	University of Chicago	シカゴ大学	private not-for-profit educational institution, private university, research university
Q131385616	Felo		productivity software, search engine, web application
Q120768597	comedic pronunciation		pronunciation
Q3109261	linguonym	言語名	proper noun, type of name
Q1186127	Respect for the Aged Day	敬老の日	public holiday
Q82405	Labor Thanksgiving Day	勤労感謝の日	public holiday in Japan
Q1049141	Vernal Equinox Day	春分の日	public holiday in Japan
Q1186410	Autumnal Equinox Day	秋分の日	public holiday in Japan
Q17218111	Mountain Day	山の日	public holiday in Japan
