SET,SHRINE,ITEM,CLASS,SOURCE NAMED IN ARTICLE,P612 STAGED,STATUS,EVIDENCE (the sentence),FIX,NOTE
Beppyo,"=HYPERLINK(""https://ja.wikipedia.org/wiki/曩祖八幡宮"",""曩祖八幡宮"")","=HYPERLINK(""https://www.wikidata.org/wiki/Q11515065"",""Q11515065"")",AUTOCHTHONOUS,神功皇后が納祖の森に祭壇を設けた跡地への創建,"=HYPERLINK(""https://www.wikidata.org/wiki/Q135508874"",""Q135508874"")",ok,神功皇后が三韓征伐からの帰途、納祖の森に祭壇を設けて天神地祇を祀り,,
Beppyo,"=HYPERLINK(""https://ja.wikipedia.org/wiki/月山神社"",""月山神社"")","=HYPERLINK(""https://www.wikidata.org/wiki/Q11516052"",""Q11516052"")",AUTOCHTHONOUS,月山そのものを神体とする山岳信仰・開山,"=HYPERLINK(""https://www.wikidata.org/wiki/Q135508874"",""Q135508874"")",ok,蜂子皇子が推古天皇元年に羽黒山を開山し、さらに同年、月山を開山して当社を建立したのだと言う。,,
Beppyo,"=HYPERLINK(""https://ja.wikipedia.org/wiki/来宮神社"",""来宮神社"")","=HYPERLINK(""https://www.wikidata.org/wiki/Q11523682"",""Q11523682"")",AUTOCHTHONOUS,網にかかった木の根を神体とする漂着神・当地での神託,"=HYPERLINK(""https://www.wikidata.org/wiki/Q135508874"",""Q135508874"")",ok,五十猛命が現れ、潮騒が耳障りであるとの神託があり、現在地に遷祀したといい、木の根を神体としたところから「木の宮」と称えたという。,,
Beppyo,"=HYPERLINK(""https://ja.wikipedia.org/wiki/東郷神社_(渋谷区)"",""東郷神社 (渋谷区)"")","=HYPERLINK(""https://www.wikidata.org/wiki/Q1384780"",""Q1384780"")",AUTOCHTHONOUS,死去した東郷平八郎を顕彰して新たに神として祀る創建,"=HYPERLINK(""https://www.wikidata.org/wiki/Q135508874"",""Q135508874"")",ok,東郷平八郎が1934年5月30日に死去すると、全国から海軍省に東郷を顕彰する神社の創建の要望と献金が相次いだ。,,
Beppyo,"=HYPERLINK(""https://ja.wikipedia.org/wiki/松尾大社"",""松尾大社"")","=HYPERLINK(""https://www.wikidata.org/wiki/Q710302"",""Q710302"")",AUTOCHTHONOUS,神体山・松尾山山頂の磐座祭祀（山麓へ移しただけ）,"=HYPERLINK(""https://www.wikidata.org/wiki/Q135508874"",""Q135508874"")",ok,大宝元年に秦都理が現在地に社殿を造営し、松尾山の磐座から神霊を同地へ移したのが創建になるという。,,
Beppyo,"=HYPERLINK(""https://ja.wikipedia.org/wiki/松江護國神社"",""松江護國神社"")","=HYPERLINK(""https://www.wikidata.org/wiki/Q11239221"",""Q11239221"")",AUTOCHTHONOUS,護国神社の招魂,"=HYPERLINK(""https://www.wikidata.org/wiki/Q135508874"",""Q135508874"")",ok,昭和14年3月に松江招魂社として創建・鎮座した。,,
Beppyo,"=HYPERLINK(""https://ja.wikipedia.org/wiki/枚岡神社"",""枚岡神社"")","=HYPERLINK(""https://www.wikidata.org/wiki/Q32422"",""Q32422"")",AUTOCHTHONOUS,神津嶽の山岳信仰が創祀（春日大社の元宮＝「元春日」）,"=HYPERLINK(""https://www.wikidata.org/wiki/Q135508874"",""Q135508874"")",ok,神武天皇即位前3年、天種子命が勅命によって天児屋根命・比売神の2神を東方山上の神津嶽に奉斎したことに始まるとする。,,
Beppyo,"=HYPERLINK(""https://ja.wikipedia.org/wiki/枚聞神社"",""枚聞神社"")","=HYPERLINK(""https://www.wikidata.org/wiki/Q3136198"",""Q3136198"")",AUTOCHTHONOUS,開聞岳を神体とする山岳信仰,"=HYPERLINK(""https://www.wikidata.org/wiki/Q135508874"",""Q135508874"")",ok,元々は開聞岳を神体とする山岳信仰に根ざした神社であったと考えられ、当初は開聞岳の南麓に鎮座していたといわれている。,,
Beppyo,"=HYPERLINK(""https://ja.wikipedia.org/wiki/椿大神社"",""椿大神社"")","=HYPERLINK(""https://www.wikidata.org/wiki/Q3541617"",""Q3541617"")",AUTOCHTHONOUS,神託により猿田彦大神の墳墓の地に創建（墓所・総本社）,"=HYPERLINK(""https://www.wikidata.org/wiki/Q135508874"",""Q135508874"")",ok,垂仁天皇27年、倭姫命に下った神託により、猿田彦大神の墳墓の近くに「道別大神の社」として社殿が造営されたのを創始とする。,,
Beppyo,"=HYPERLINK(""https://ja.wikipedia.org/wiki/樽前山神社"",""樽前山神社"")","=HYPERLINK(""https://www.wikidata.org/wiki/Q11543697"",""Q11543697"")",AUTOCHTHONOUS,樽前山の山麓に祀られた山岳信仰の神祠（奥宮は山頂）,"=HYPERLINK(""https://www.wikidata.org/wiki/Q135508874"",""Q135508874"")",ok,当社の前身となる神祠は江戸時代から樽前山山麓にて祀られており,,
Beppyo,"=HYPERLINK(""https://ja.wikipedia.org/wiki/橿原神宮"",""橿原神宮"")","=HYPERLINK(""https://www.wikidata.org/wiki/Q710333"",""Q710333"")",AUTOCHTHONOUS,神武天皇の宮址の地に新規創建（親社なし）,"=HYPERLINK(""https://www.wikidata.org/wiki/Q135508874"",""Q135508874"")",ok,神武天皇が即位した地であるとされ、また皇居であったという畝傍橿原宮の推定地に創建されている。,,
Beppyo,"=HYPERLINK(""https://ja.wikipedia.org/wiki/武田神社"",""武田神社"")","=HYPERLINK(""https://www.wikidata.org/wiki/Q402368"",""Q402368"")",AUTOCHTHONOUS,武田信玄をその居館跡に祀る人物神社,"=HYPERLINK(""https://www.wikidata.org/wiki/Q135508874"",""Q135508874"")",ok,躑躅ヶ崎館の跡地（武田氏館跡）に建てられており、武田信玄を祭神とする。,,
Beppyo,"=HYPERLINK(""https://ja.wikipedia.org/wiki/比治山神社"",""比治山神社"")","=HYPERLINK(""https://www.wikidata.org/wiki/Q11547466"",""Q11547466"")",AUTOCHTHONOUS,比治山の黄幡谷に鎮座した在地の黄幡大明神,"=HYPERLINK(""https://www.wikidata.org/wiki/Q135508874"",""Q135508874"")",ok,元々は比治山の南の「黄幡谷」と呼ばれる谷に鎮座し、黄幡大明神・黄幡谷と称していた。,,
Beppyo,"=HYPERLINK(""https://ja.wikipedia.org/wiki/氣比神宮"",""氣比神宮"")","=HYPERLINK(""https://www.wikidata.org/wiki/Q11129346"",""Q11129346"")",AUTOCHTHONOUS,伊奢沙別命が境内の土公に降臨した在地神,"=HYPERLINK(""https://www.wikidata.org/wiki/Q135508874"",""Q135508874"")",ok,主祭神の伊奢沙別命は東北方の天筒山に霊跡を垂れ、境内北東方にある土公の地に降臨したという。,,
Beppyo,"=HYPERLINK(""https://ja.wikipedia.org/wiki/水天宮_(久留米市)"",""水天宮 (久留米市)"")","=HYPERLINK(""https://www.wikidata.org/wiki/Q3200625"",""Q3200625"")",AUTOCHTHONOUS,筑後川の水神＋安徳天皇・平家一門の霊を祀る総本宮,"=HYPERLINK(""https://www.wikidata.org/wiki/Q135508874"",""Q135508874"")",ok,建久年間に安徳天皇と平家一門の霊を祀る祠を建てたのに始まる。,,
Beppyo,"=HYPERLINK(""https://ja.wikipedia.org/wiki/水無瀬神宮"",""水無瀬神宮"")","=HYPERLINK(""https://www.wikidata.org/wiki/Q705121"",""Q705121"")",AUTOCHTHONOUS,後鳥羽上皇の遺勅により離宮跡に御影堂を建てて祀ったもの,"=HYPERLINK(""https://www.wikidata.org/wiki/Q135508874"",""Q135508874"")",ok,仁治元年に後鳥羽上皇の遺勅に基づき、水無瀬信成・親成親子が水無瀬殿下御所の跡地に御影堂を建立し、上皇を祀った。,,
Beppyo,"=HYPERLINK(""https://ja.wikipedia.org/wiki/水若酢神社"",""水若酢神社"")","=HYPERLINK(""https://www.wikidata.org/wiki/Q11549109"",""Q11549109"")",AUTOCHTHONOUS,神が海中から当地に上がった顕現伝承（島内での遷座のみ）,"=HYPERLINK(""https://www.wikidata.org/wiki/Q135508874"",""Q135508874"")",ok,崇神天皇の時代に神が海中から伊後の地に上がり、白鳩2羽に乗って遷座したとする伝承を記載する。,,
Beppyo,"=HYPERLINK(""https://ja.wikipedia.org/wiki/江島神社"",""江島神社"")","=HYPERLINK(""https://www.wikidata.org/wiki/Q11259219"",""Q11259219"")",AUTOCHTHONOUS,神宣（神託）に基づく島の洞窟への創建,"=HYPERLINK(""https://www.wikidata.org/wiki/Q135508874"",""Q135508874"")",ok,欽明天皇13年、神宣に基づき欽明天皇の勅命により、江の島の南の洞窟に宮を建てたのに始まると伝える。,,
Beppyo,"=HYPERLINK(""https://ja.wikipedia.org/wiki/沼名前神社"",""沼名前神社"")","=HYPERLINK(""https://www.wikidata.org/wiki/Q11554446"",""Q11554446"")",AUTOCHTHONOUS,当地の霊石に神を祀った（磐座祭祀）,"=HYPERLINK(""https://www.wikidata.org/wiki/Q135508874"",""Q135508874"")",ok,仲哀天皇2年に神功皇后が西国に向かった際、当地の霊石に綿津見命を祀り海路安全を祈ったことに始まるという。,,
Beppyo,"=HYPERLINK(""https://ja.wikipedia.org/wiki/波上宮"",""波上宮"")","=HYPERLINK(""https://www.wikidata.org/wiki/Q704636"",""Q704636"")",AUTOCHTHONOUS,当地での神託（および霊石・ニライカナイ拝所）,"=HYPERLINK(""https://www.wikidata.org/wiki/Q135508874"",""Q135508874"")",ok,「吾は熊野権現也、この地に社を建て祀れ、然らば国家を鎮護すべし」との神託があった。,,
Beppyo,"=HYPERLINK(""https://ja.wikipedia.org/wiki/津峯神社"",""津峯神社"")","=HYPERLINK(""https://www.wikidata.org/wiki/Q11556056"",""Q11556056"")",AUTOCHTHONOUS,神託により霊山の山頂に祀った（山＝神体）,"=HYPERLINK(""https://www.wikidata.org/wiki/Q135508874"",""Q135508874"")",ok,神亀元年、神託により、賀志波比賣命を霊山・津乃峰山の山頂に祀ったのに始まると伝える。,,
Beppyo,"=HYPERLINK(""https://ja.wikipedia.org/wiki/津島神社"",""津島神社"")","=HYPERLINK(""https://www.wikidata.org/wiki/Q705136"",""Q705136"")",AUTOCHTHONOUS,牛頭天王が当地に垂迹した地・全国天王社の総本社,"=HYPERLINK(""https://www.wikidata.org/wiki/Q135508874"",""Q135508874"")",ok,欽明天皇の代に四神相応の霊地として尾張国海部郡門真荘津島に垂迹したという。,,
Beppyo,"=HYPERLINK(""https://ja.wikipedia.org/wiki/海神社_(神戸市)"",""海神社 (神戸市)"")","=HYPERLINK(""https://www.wikidata.org/wiki/Q11559098"",""Q11559098"")",AUTOCHTHONOUS,当地の海上での神威（暴風鎮静）を機に祀った,"=HYPERLINK(""https://www.wikidata.org/wiki/Q135508874"",""Q135508874"")",ok,皇后が綿津見三神を祀ると暴風雨が治まり、その縁でこの地に綿津見三神を祀る社殿を建てたのが始まりという。,,
Beppyo,"=HYPERLINK(""https://ja.wikipedia.org/wiki/海神神社"",""海神神社"")","=HYPERLINK(""https://www.wikidata.org/wiki/Q11559099"",""Q11559099"")",AUTOCHTHONOUS,神功皇后が旗を納めた在地起源／伊豆山という神体山,"=HYPERLINK(""https://www.wikidata.org/wiki/Q135508874"",""Q135508874"")",ok,神功皇后が三韓征伐からの帰途、新羅を鎮めた証として旗八流を上県郡峰町に納めたことに由来するという。,,
Beppyo,"=HYPERLINK(""https://ja.wikipedia.org/wiki/湊川神社"",""湊川神社"")","=HYPERLINK(""https://www.wikidata.org/wiki/Q713188"",""Q713188"")",AUTOCHTHONOUS,楠木正成の墓所・殉節地に創建,"=HYPERLINK(""https://www.wikidata.org/wiki/Q135508874"",""Q135508874"")",ok,"1869年、墓所・殉節地を含む7,232坪を境内地と定め、1872年5月24日、湊川神社が創建された。",,
Beppyo,"=HYPERLINK(""https://ja.wikipedia.org/wiki/湯殿山神社"",""湯殿山神社"")","=HYPERLINK(""https://www.wikidata.org/wiki/Q11563607"",""Q11563607"")",AUTOCHTHONOUS,山そのものが神体（湯殿山の山岳信仰）,"=HYPERLINK(""https://www.wikidata.org/wiki/Q135508874"",""Q135508874"")",ok,もともと湯殿山は山岳信仰の対象であり、山自体に神が鎮まるものとして、人工的な信仰の場をつくることは禁じられてきたという。,,
Beppyo,"=HYPERLINK(""https://ja.wikipedia.org/wiki/滋賀縣護國神社"",""滋賀縣護國神社"")","=HYPERLINK(""https://www.wikidata.org/wiki/Q11564971"",""Q11564971"")",AUTOCHTHONOUS,護国神社の招魂（戊辰戦争戦死者の招魂碑が起源）,"=HYPERLINK(""https://www.wikidata.org/wiki/Q135508874"",""Q135508874"")",ok,1869年、彦根の大洞龍潭寺に戊辰戦争で戦死した彦根藩士26人の霊を祀る招魂碑が建てられたのが始まりである。,,
Beppyo,"=HYPERLINK(""https://ja.wikipedia.org/wiki/潮江天満宮"",""潮江天満宮"")","=HYPERLINK(""https://www.wikidata.org/wiki/Q11565717"",""Q11565717"")",AUTOCHTHONOUS,道真自身の遺品を子・高視の居所で祀った独自創祀（北野より古い）,"=HYPERLINK(""https://www.wikidata.org/wiki/Q135508874"",""Q135508874"")",ok,道真の御璽観音像が2年後に高視の元へ届けられたので、それらを祀ったのが創祀とされる。,,
Beppyo,"=HYPERLINK(""https://ja.wikipedia.org/wiki/濱田護國神社"",""濱田護國神社"")","=HYPERLINK(""https://www.wikidata.org/wiki/Q11566232"",""Q11566232"")",AUTOCHTHONOUS,護国神社の招魂（濱田招魂社）,"=HYPERLINK(""https://www.wikidata.org/wiki/Q135508874"",""Q135508874"")",ok,昭和13年に濱田招魂社として創建・鎮座した。,,
Beppyo,"=HYPERLINK(""https://ja.wikipedia.org/wiki/焼津神社"",""焼津神社"")","=HYPERLINK(""https://www.wikidata.org/wiki/Q3571342"",""Q3571342"")",AUTOCHTHONOUS,日本武尊の火難伝説の当地そのものを祀る,"=HYPERLINK(""https://www.wikidata.org/wiki/Q135508874"",""Q135508874"")",ok,反正天皇4年に日本武尊の功徳を敬って神社が創建されたとする。,,
Beppyo,"=HYPERLINK(""https://ja.wikipedia.org/wiki/照国神社"",""照国神社"")","=HYPERLINK(""https://www.wikidata.org/wiki/Q704219"",""Q704219"")",AUTOCHTHONOUS,島津斉彬の神霊を勅命の神号授与により新たに祀った（親社なし）,"=HYPERLINK(""https://www.wikidata.org/wiki/Q135508874"",""Q135508874"")",ok,孝明天皇の勅命による「照國大明神」の神号授与を受けて祠を造営したのが創祀で,,
Beppyo,"=HYPERLINK(""https://ja.wikipedia.org/wiki/熊本県護国神社"",""熊本県護国神社"")","=HYPERLINK(""https://www.wikidata.org/wiki/Q11568337"",""Q11568337"")",AUTOCHTHONOUS,護国神社の招魂（花岡山招魂社）,"=HYPERLINK(""https://www.wikidata.org/wiki/Q135508874"",""Q135508874"")",ok,1869年、熊本藩主細川韶邦と細川護久が、明治維新に殉じた藩士150柱を祀るために熊本市内に花岡山に招魂社を建立したのに始まる。,,
Beppyo,"=HYPERLINK(""https://ja.wikipedia.org/wiki/熊野大社"",""熊野大社"")","=HYPERLINK(""https://www.wikidata.org/wiki/Q11568887"",""Q11568887"")",AUTOCHTHONOUS,出雲の熊野信仰の根源社（紀伊熊野の分霊元とされる側）,"=HYPERLINK(""https://www.wikidata.org/wiki/Q135508874"",""Q135508874"")",ok,社伝では熊野村の住人が紀伊国に移住したときに分霊を勧請したのが熊野本宮大社の元であるとしている。,,
Beppyo,"=HYPERLINK(""https://ja.wikipedia.org/wiki/熊野速玉大社"",""熊野速玉大社"")","=HYPERLINK(""https://www.wikidata.org/wiki/Q335618"",""Q335618"")",AUTOCHTHONOUS,磐座（ゴトビキ岩）への神の降臨地・自社の元宮,"=HYPERLINK(""https://www.wikidata.org/wiki/Q135508874"",""Q135508874"")",ok,神代の頃に、神倉山の磐座であるゴトビキ岩に熊野速玉大神と熊野夫須美大神が降り立ち、そこで祀られることとなった。,,
Beppyo,"=HYPERLINK(""https://ja.wikipedia.org/wiki/熊野那智大社"",""熊野那智大社"")","=HYPERLINK(""https://www.wikidata.org/wiki/Q710359"",""Q710359"")",AUTOCHTHONOUS,那智滝そのものを神とする原始信仰,"=HYPERLINK(""https://www.wikidata.org/wiki/Q135508874"",""Q135508874"")",ok,山中の那智滝を神聖視する原始信仰に始まるため、社殿が創建されたのは他の二社よりも後である。,,
Beppyo,"=HYPERLINK(""https://ja.wikipedia.org/wiki/物部神社_(大田市)"",""物部神社 (大田市)"")","=HYPERLINK(""https://www.wikidata.org/wiki/Q11570699"",""Q11570699"")",AUTOCHTHONOUS,祭神の死没・墳墓地（八百山）に創建,"=HYPERLINK(""https://www.wikidata.org/wiki/Q135508874"",""Q135508874"")",ok,宇摩志麻遅命は現在の社殿の背後にある八百山に葬られ、継体天皇8年、天皇の命によって八百山の南麓に社殿が創建されたと伝えられる。,,
Beppyo,"=HYPERLINK(""https://ja.wikipedia.org/wiki/狭野神社"",""狭野神社"")","=HYPERLINK(""https://www.wikidata.org/wiki/Q3472357"",""Q3472357"")",AUTOCHTHONOUS,祭神（神武天皇）の生誕地に創建,"=HYPERLINK(""https://www.wikidata.org/wiki/Q135508874"",""Q135508874"")",ok,孝昭天皇の時代、神武天皇が誕生した地（高千穂峰の麓の皇子原）に創建されたといわれている。,,
Beppyo,"=HYPERLINK(""https://ja.wikipedia.org/wiki/猿田彦神社"",""猿田彦神社"")","=HYPERLINK(""https://www.wikidata.org/wiki/Q11572141"",""Q11572141"")",AUTOCHTHONOUS,神自身が鎮まった地・子孫の屋敷神を社としたもの,"=HYPERLINK(""https://www.wikidata.org/wiki/Q135508874"",""Q135508874"")",ok,猿田彦神はニニギの天降りの先導を終えた後、伊勢の五十鈴川の川上に鎮まった。,,
Beppyo,"=HYPERLINK(""https://ja.wikipedia.org/wiki/猿賀神社"",""猿賀神社"")","=HYPERLINK(""https://www.wikidata.org/wiki/Q3473746"",""Q3473746"")",AUTOCHTHONOUS,祭神の埋葬地・墓所に発する,"=HYPERLINK(""https://www.wikidata.org/wiki/Q135508874"",""Q135508874"")",ok,敗死した田道命は従者によって当地に埋葬され、人々が恐れて現在地西方の猿賀野に祀ったのに始まると伝える。,,
Beppyo,"=HYPERLINK(""https://ja.wikipedia.org/wiki/玉前神社"",""玉前神社"")","=HYPERLINK(""https://www.wikidata.org/wiki/Q564302"",""Q564302"")",AUTOCHTHONOUS,祭神が海からこの地に上陸した来臨地,"=HYPERLINK(""https://www.wikidata.org/wiki/Q135508874"",""Q135508874"")",ok,社伝では、玉依姫命は海からこの地に上がり、豊玉姫命から託された鵜葺草葺不合命を養育した。,,
Beppyo,"=HYPERLINK(""https://ja.wikipedia.org/wiki/玉祖神社"",""玉祖神社"")","=HYPERLINK(""https://www.wikidata.org/wiki/Q11572731"",""Q11572731"")",AUTOCHTHONOUS,祭神の死没・墳墓地に創建、当社が総本社,"=HYPERLINK(""https://www.wikidata.org/wiki/Q135508874"",""Q135508874"")",ok,祭神の玉祖命がこの地で亡くなったため、社殿を造営して祀ったのに始まるとされる。,,
Beppyo,"=HYPERLINK(""https://ja.wikipedia.org/wiki/生國魂神社"",""生國魂神社"")","=HYPERLINK(""https://www.wikidata.org/wiki/Q11574477"",""Q11574477"")",AUTOCHTHONOUS,国土そのものの神霊（地主神・国魂）を神武天皇が当地に鎮祭,"=HYPERLINK(""https://www.wikidata.org/wiki/Q135508874"",""Q135508874"")",ok,神武天皇が即位前、日本統一の際に摂津国難波碕に日本列島そのものの神、生島大神・足島大神を鎮祭したのが創建という。,,
Beppyo,"=HYPERLINK(""https://ja.wikipedia.org/wiki/生島足島神社"",""生島足島神社"")","=HYPERLINK(""https://www.wikidata.org/wiki/Q11574513"",""Q11574513"")",AUTOCHTHONOUS,当地の地主神（大地そのものが神体）,"=HYPERLINK(""https://www.wikidata.org/wiki/Q135508874"",""Q135508874"")",ok,この伝承から、生島・足島両神は当地の地主神であると見られており,,
Beppyo,"=HYPERLINK(""https://ja.wikipedia.org/wiki/生田神社"",""生田神社"")","=HYPERLINK(""https://www.wikidata.org/wiki/Q710086"",""Q710086"")",AUTOCHTHONOUS,当地での神託（稚日女尊が自ら鎮座地を指定）,"=HYPERLINK(""https://www.wikidata.org/wiki/Q135508874"",""Q135508874"")",ok,稚日女尊が現れて「吾は活田長峡国に居らむ」との神託があった。,,
Beppyo,"=HYPERLINK(""https://ja.wikipedia.org/wiki/田島神社"",""田島神社"")","=HYPERLINK(""https://www.wikidata.org/wiki/Q11576656"",""Q11576656"")",AUTOCHTHONOUS,島（加部島）に坐す北部九州土着の姫神、宗像大社の元宮,"=HYPERLINK(""https://www.wikidata.org/wiki/Q135508874"",""Q135508874"")",ok,有史以前からの北部九州土着の神とされる。,,
Beppyo,"=HYPERLINK(""https://ja.wikipedia.org/wiki/田村神社_(高松市)"",""田村神社 (高松市)"")","=HYPERLINK(""https://www.wikidata.org/wiki/Q11576978"",""Q11576978"")",AUTOCHTHONOUS,湧水「定水井」の水神（龍神）,"=HYPERLINK(""https://www.wikidata.org/wiki/Q135508874"",""Q135508874"")",ok,社殿創建前は井戸の上に神が祀られていたという社伝から、元々は当地の水神（龍神）であったとする説もある。,,
Beppyo,"=HYPERLINK(""https://ja.wikipedia.org/wiki/白山比咩神社"",""白山比咩神社"")","=HYPERLINK(""https://www.wikidata.org/wiki/Q704702"",""Q704702"")",AUTOCHTHONOUS,白山を神体山とする総本社（親社なし）,"=HYPERLINK(""https://www.wikidata.org/wiki/Q135508874"",""Q135508874"")",ok,白山の山麓に鎮座し、白山を神体山として祀る神社である。,,
Beppyo,"=HYPERLINK(""https://ja.wikipedia.org/wiki/真清田神社"",""真清田神社"")","=HYPERLINK(""https://www.wikidata.org/wiki/Q705916"",""Q705916"")",AUTOCHTHONOUS,当地への降臨（油田＝降臨伝承地からの遷座、親社なし）,"=HYPERLINK(""https://www.wikidata.org/wiki/Q135508874"",""Q135508874"")",ok,当地の伝承では、真清田大神は当地に降臨し、ここから現在の真清田神社の地に遷座したとする。,,
Beppyo,"=HYPERLINK(""https://ja.wikipedia.org/wiki/知立神社"",""知立神社"")","=HYPERLINK(""https://www.wikidata.org/wiki/Q11584639"",""Q11584639"")",AUTOCHTHONOUS,日本武尊による当地での新規創祀（勧請元なし）,"=HYPERLINK(""https://www.wikidata.org/wiki/Q135508874"",""Q135508874"")",ok,日本武尊が当地で戦勝を祈願し、平定後の帰途に感謝して建国祖神の上記4柱を祀ったのが創建という。,,
Beppyo,"=HYPERLINK(""https://ja.wikipedia.org/wiki/石川護国神社"",""石川護国神社"")","=HYPERLINK(""https://www.wikidata.org/wiki/Q11586369"",""Q11586369"")",AUTOCHTHONOUS,招魂社（戊辰戦争戦死者の霊を祀って創建）,"=HYPERLINK(""https://www.wikidata.org/wiki/Q135508874"",""Q135508874"")",ok,戊辰戦争で戦死した加賀藩の107名の霊を祀るため、明治3年12月15日に金沢藩知事前田慶寧が創建した招魂社にはじまる。,,
Beppyo,"=HYPERLINK(""https://ja.wikipedia.org/wiki/石鎚神社"",""石鎚神社"")","=HYPERLINK(""https://www.wikidata.org/wiki/Q11587273"",""Q11587273"")",AUTOCHTHONOUS,神体山（石鎚山そのものが神、石鎚山総本宮）,"=HYPERLINK(""https://www.wikidata.org/wiki/Q135508874"",""Q135508874"")",ok,日本霊異記には「石鎚山の名は石槌の神が坐すによる」とある。,,
Beppyo,"=HYPERLINK(""https://ja.wikipedia.org/wiki/砥鹿神社"",""砥鹿神社"")","=HYPERLINK(""https://www.wikidata.org/wiki/Q3530344"",""Q3530344"")",AUTOCHTHONOUS,神体山（本宮山そのものを御神体とする山岳信仰）,"=HYPERLINK(""https://www.wikidata.org/wiki/Q135508874"",""Q135508874"")",ok,古代から山自体を御神体として信仰する山岳信仰の対象であったと考えられている。,,
Beppyo,"=HYPERLINK(""https://ja.wikipedia.org/wiki/福井県護国神社"",""福井県護国神社"")","=HYPERLINK(""https://www.wikidata.org/wiki/Q11591507"",""Q11591507"")",AUTOCHTHONOUS,護国神社（県関係戦没者の招魂）,"=HYPERLINK(""https://www.wikidata.org/wiki/Q135508874"",""Q135508874"")",ok,明治維新前後から第二次世界大戦までの国難に殉じた福井県関係者約3万2千柱を祀る。,,
Beppyo,"=HYPERLINK(""https://ja.wikipedia.org/wiki/福井神社"",""福井神社"")","=HYPERLINK(""https://www.wikidata.org/wiki/Q11591715"",""Q11591715"")",AUTOCHTHONOUS,人物神（藩主松平慶永の霊を祀って創建）,"=HYPERLINK(""https://www.wikidata.org/wiki/Q135508874"",""Q135508874"")",ok,松平慶永を祀る神社として、昭和18年に創建された。,,
Beppyo,"=HYPERLINK(""https://ja.wikipedia.org/wiki/福岡縣護國神社"",""福岡縣護國神社"")","=HYPERLINK(""https://www.wikidata.org/wiki/Q11592931"",""Q11592931"")",AUTOCHTHONOUS,招魂社（戊辰戦争戦没藩士の招魂）,"=HYPERLINK(""https://www.wikidata.org/wiki/Q135508874"",""Q135508874"")",ok,明治元年11月、福岡藩主・黒田長知が、戊辰戦争に殉じた藩士を祀るため招魂社を創建したのに始まる。,,
Beppyo,"=HYPERLINK(""https://ja.wikipedia.org/wiki/福島縣護國神社"",""福島縣護國神社"")","=HYPERLINK(""https://www.wikidata.org/wiki/Q11593728"",""Q11593728"")",AUTOCHTHONOUS,招魂社（招魂場の英霊を合祀して創建）,"=HYPERLINK(""https://www.wikidata.org/wiki/Q135508874"",""Q135508874"")",ok,1879年10月4日、三か所にあった招魂場に祀られていた戦歿者を合祀し、官祭信夫山招魂社として創建されたことに始まる。,,
Beppyo,"=HYPERLINK(""https://ja.wikipedia.org/wiki/秋田県護国神社"",""秋田県護国神社"")","=HYPERLINK(""https://www.wikidata.org/wiki/Q11595542"",""Q11595542"")",AUTOCHTHONOUS,招魂社（戊辰戦争官軍戦没者を当地に祀る）,"=HYPERLINK(""https://www.wikidata.org/wiki/Q135508874"",""Q135508874"")",ok,明治2年、秋田藩主佐竹義堯が戊辰戦争に殉じた官軍戦没者425柱を高清水丘に祀ったのが起源である。,,
Beppyo,"=HYPERLINK(""https://ja.wikipedia.org/wiki/秋葉山本宮秋葉神社"",""秋葉山本宮秋葉神社"")","=HYPERLINK(""https://www.wikidata.org/wiki/Q500413"",""Q500413"")",AUTOCHTHONOUS,神体山（秋葉山そのものが神、全国秋葉神社の総本宮）,"=HYPERLINK(""https://www.wikidata.org/wiki/Q135508874"",""Q135508874"")",ok,上古より神体山・霊山として仰がれて来た。,,
Beppyo,"=HYPERLINK(""https://ja.wikipedia.org/wiki/秩父神社"",""秩父神社"")","=HYPERLINK(""https://www.wikidata.org/wiki/Q2963366"",""Q2963366"")",AUTOCHTHONOUS,国造による祖神奉斎・武甲山の神奈備遥拝,"=HYPERLINK(""https://www.wikidata.org/wiki/Q135508874"",""Q135508874"")",ok,崇神天皇の時代、知知夫彦命が、祖神の八意思兼命を祀ったことに始まると伝える。,,
Beppyo,"=HYPERLINK(""https://ja.wikipedia.org/wiki/穂高神社"",""穂高神社"")","=HYPERLINK(""https://www.wikidata.org/wiki/Q11597109"",""Q11597109"")",AUTOCHTHONOUS,安曇氏による祖神奉斎（奥穂高岳に穂高見神が降臨）,"=HYPERLINK(""https://www.wikidata.org/wiki/Q135508874"",""Q135508874"")",ok,安曇部氏によって祖神が祀られたのが創祀とされる。,,
Beppyo,"=HYPERLINK(""https://ja.wikipedia.org/wiki/竈山神社"",""竈山神社"")","=HYPERLINK(""https://www.wikidata.org/wiki/Q11597743"",""Q11597743"")",AUTOCHTHONOUS,墓所・死没地（彦五瀬命の竈山墓の上に奉斎）,"=HYPERLINK(""https://www.wikidata.org/wiki/Q135508874"",""Q135508874"")",ok,墓の造営後直ちに神霊を奉斎したがために墓と祠が一所にあるとしている。,,
