page_title,qid,xml_file
Murakuni Masumida Shrine,Q11523053,Murakuni Masumida Shrine.xml
Murakuni Shrine,Q11523055,Murakuni Shrine.xml
Murakuni Shrine Otabisho,Q135193940,Murakuni Shrine Otabisho.xml
Murakunino Shrine,Q135039904,Murakunino Shrine.xml
Murakunitsukami Shrine,Q135069731,Murakunitsukami Shrine.xml
Muraoka Shrine,Q135195316,Muraoka Shrine.xml
Murawokano Shrine,Q135040603,Murawokano Shrine.xml
Muraya-ni-masu-Mifutsuhime Shrine,Q11523074,Muraya-ni-masu-Mifutsuhime Shrine.xml
Murayama Shrine,Q11523149,Murayama Shrine.xml
Murayama Shrine (Q11523148),Q11523148,Murayama Shrine (Q11523148).xml
Murayano Shrine,Q135098841,Murayano Shrine.xml
Murayano Shrine (Q135041269),Q135041269,Murayano Shrine (Q135041269).xml
Mure Shrine,Q11570305,Mure Shrine.xml
Mureno Shrine,Q135039302,Mureno Shrine.xml
Murofunoriuketsuno Shrine,Q135038988,Murofunoriuketsuno Shrine.xml
Muroharano Shrine,Q135039473,Muroharano Shrine.xml
Murohime Shrine,Q106852500,Murohime Shrine.xml
Murohimeno Shrine,Q135041374,Murohimeno Shrine.xml
Murokino Shrine,Q135038800,Murokino Shrine.xml
Murotsuno Shrine,Q135041447,Murotsuno Shrine.xml
Musanimasu Shrine,Q38278497,Musanimasu Shrine.xml
Musashi Mitake Shrine,Q135193297,Musashi Mitake Shrine.xml
Mushika Shrine,Q11625386,Mushika Shrine.xml
Mutsushino Shrine,Q135039522,Mutsushino Shrine.xml
Myoujin Shrine,Q135069230,Myoujin Shrine.xml
Myouken Shrine,Q135070165,Myouken Shrine.xml
Myōjin Hokora,Q135177170,Myōjin Hokora.xml
Nabekurano Shrine,Q135039000,Nabekurano Shrine.xml
Nagahama Shrine,Q134926847,Nagahama Shrine.xml
Nagahama Shrine (Q135070130),Q135070130,Nagahama Shrine (Q135070130).xml
Nagahatabe Shrine (Q72727981),Q72727981,Nagahatabe Shrine (Q72727981).xml
Nagakura Shrine,Q106852645,Nagakura Shrine.xml
Nagakura Shrine Haiden,Q59282584,Nagakura Shrine Haiden.xml
Nagano Shrine,Q135190262,Nagano Shrine.xml
Nagaoka Shrine,Q135194547,Nagaoka Shrine.xml
Nagaoka Shrine (Q135069626),Q135069626,Nagaoka Shrine (Q135069626).xml
Nagara Shrine,Q22119789,Nagara Shrine.xml
Nagase Shrine,Q135070004,Nagase Shrine.xml
"Nagase Shrine (Kamijo, Kamo)",Q135195126,"Nagase Shrine (Kamijo, Kamo).xml"
"Nagase Shrine (Miyayori, Kamo)",Q135195125,"Nagase Shrine (Miyayori, Kamo).xml"
Nagase Shrine (Q135069240),Q135069240,Nagase Shrine (Q135069240).xml
Nagase Shrine (Q135069241),Q135069241,Nagase Shrine (Q135069241).xml
Nagata Shrine (Q135069149),Q135069149,Nagata Shrine (Q135069149).xml
Nago Shrine,Q134930551,Nago Shrine.xml
Nagoshi Shrine,Q135194924,Nagoshi Shrine.xml
Nagoya Shrine,Q134926921,Nagoya Shrine.xml
Nagu Shrine (Q135195291),Q135195291,Nagu Shrine (Q135195291).xml
Nahaka Shrine,Q11642755,Nahaka Shrine.xml
Nahashirono Shrine,Q135039430,Nahashirono Shrine.xml
Nahe Shrine,Q28682737,Nahe Shrine.xml
Nahonono Shrine,Q135040188,Nahonono Shrine.xml
"Naka Hikawa Shrine (Mikajima, Tokorozawa)",Q135193335,"Naka Hikawa Shrine (Mikajima, Tokorozawa).xml"
"Naka Hikawa Shrine (Yamaguchi, Tokorozawa)",Q135193333,"Naka Hikawa Shrine (Yamaguchi, Tokorozawa).xml"
Naka Shrine,Q135186182,Naka Shrine.xml
Naka Shrine (Matsuzaki),Q100464312,Naka Shrine (Matsuzaki).xml
Naka Shrine (Q135186183),Q135186183,Naka Shrine (Q135186183).xml
Naka Shrine (Q135193009),Q135193009,Naka Shrine (Q135193009).xml
Naka-Hikawa Shrine,Q11366320,Naka-Hikawa Shrine.xml
Nakagawa Shrine,Q11364920,Nakagawa Shrine.xml
Nakahikahano Shrine,Q135039739,Nakahikahano Shrine.xml
Nakahikawa Shrine,Q17226968,Nakahikawa Shrine.xml
Nakakurano Shrine,Q135039429,Nakakurano Shrine.xml
Nakamakita Mukuge Shrine,Q135193390,Nakamakita Mukuge Shrine.xml
Nakamino Shrine,Q135040924,Nakamino Shrine.xml
Nakamiya Shrine,Q135069757,Nakamiya Shrine.xml
Nakamurano Shrine,Q135039140,Nakamurano Shrine.xml
Nakamurano Shrine (Q135039940),Q135039940,Nakamurano Shrine (Q135039940).xml
Nakano Shrine,Q135039275,Nakano Shrine.xml
Nakanono Shrine,Q135039147,Nakanono Shrine.xml
Nakanono Shrine (Q135039598),Q135039598,Nakanono Shrine (Q135039598).xml
Nakaohotoshino Shrine,Q135039677,Nakaohotoshino Shrine.xml
Nakarano Shrine,Q135098886,Nakarano Shrine.xml
Nakaretano Shrine,Q135039292,Nakaretano Shrine.xml
Nakaretanouheno Shrine,Q135098926,Nakaretanouheno Shrine.xml
Nakase Shrine,Q135070003,Nakase Shrine.xml
Nakaseno Shrine,Q135040463,Nakaseno Shrine.xml
Nakaseno Shrine (Q135039370),Q135039370,Nakaseno Shrine (Q135039370).xml
Nakashima Shrine,Q11364695,Nakashima Shrine.xml
Nakatano Shrine,Q135041188,Nakatano Shrine.xml
Nakatano Shrine (Q135039895),Q135039895,Nakatano Shrine (Q135039895).xml
Nakatomi Itate Shrine,Q17226544,Nakatomi Itate Shrine.xml
Nakatomiitateno Shrine,Q135041153,Nakatomiitateno Shrine.xml
Nakatomino Shrine,Q135039452,Nakatomino Shrine.xml
Nakatomisumuchino Shrine,Q135039198,Nakatomisumuchino Shrine.xml
Nakatomitakatakeno Shrine,Q135040745,Nakatomitakatakeno Shrine.xml
Nakatono Shrine,Q135098955,Nakatono Shrine.xml
Nakatsu Shrine (Q135039629),Q135039629,Nakatsu Shrine (Q135039629).xml
Nakatsu Shrine (Q135041504),Q135041504,Nakatsu Shrine (Q135041504).xml
Nakatsu Shrine (Q135070361),Q135070361,Nakatsu Shrine (Q135070361).xml
Nakauchi Shrine,Q135070299,Nakauchi Shrine.xml
Nakawokano Shrine,Q135040148,Nakawokano Shrine.xml
Nakawokano Shrine (Q135040340),Q135040340,Nakawokano Shrine (Q135040340).xml
Nakawokano Shrine (Q135194938),Q135194938,Nakawokano Shrine (Q135194938).xml
Nakawokano Shrine (Q135194940),Q135194940,Nakawokano Shrine (Q135194940).xml
Nakawokano Shrine (Q135194941),Q135194941,Nakawokano Shrine (Q135194941).xml
Nakawono Shrine,Q135039709,Nakawono Shrine.xml
Nakayama Shrine (Echigo Province),Q135070006,Nakayama Shrine (Echigo Province).xml
Nakayama Shrine (Gosen),Q135195128,Nakayama Shrine (Gosen).xml
Nakayama Shrine (Q11364249),Q11364249,Nakayama Shrine (Q11364249).xml
Nakayama Shrine (Q135070005),Q135070005,Nakayama Shrine (Q135070005).xml
Nakayama Shrine (Sanjo),Q135195129,Nakayama Shrine (Sanjo).xml
Nakayamano Shrine,Q135040464,Nakayamano Shrine.xml
Nakayamano Shrine (Q135039907),Q135039907,Nakayamano Shrine (Q135039907).xml
Nakayamano Shrine (Q135270218),Q135270218,Nakayamano Shrine (Q135270218).xml
Nakichi- Shrine,Q135039647,Nakichi- Shrine.xml
Nakino Shrine,Q135040579,Nakino Shrine.xml
Nakirahimeno- Shrine,Q135041141,Nakirahimeno- Shrine.xml
Nakoshinoyamano Shrine,Q135039752,Nakoshinoyamano Shrine.xml
Nakoshiyama Shrine,Q135069577,Nakoshiyama Shrine.xml
Nakoshiyama Shrine (Awa Province),Q135069580,Nakoshiyama Shrine (Awa Province).xml
Nakuno Shrine,Q135040582,Nakuno Shrine.xml
Nakushirino Shrine,Q135098950,Nakushirino Shrine.xml
Nakushirino Shrine Site,Q135186646,Nakushirino Shrine Site.xml
Namura Shrine,Q11616123,Namura Shrine.xml
Nanako‑no‑miya Shrine (within Kisaki Shrine precincts),Q135192874,Nanako‑no‑miya Shrine (within Kisaki Shrine precincts).xml
Nanamino Shrine,Q135039278,Nanamino Shrine.xml
Nanao Shrine,Q135069349,Nanao Shrine.xml
Nanatoko Shrine,Q135069385,Nanatoko Shrine.xml
Nanatsumori Shrine,Q135069409,Nanatsumori Shrine.xml
Nanatsumori Shrine (Q135192672),Q135192672,Nanatsumori Shrine (Q135192672).xml
Nanko Shrine,Q135192867,Nanko Shrine.xml
Nanko Shrine (Mikojima),Q135192866,Nanko Shrine (Mikojima).xml
Naoe Hachiman Shrine,Q135195050,Naoe Hachiman Shrine.xml
Nara Shrine,Q11541342,Nara Shrine.xml
Naraharano Shrine,Q135039264,Naraharano Shrine.xml
Naramoto Shrine,Q135069922,Naramoto Shrine.xml
Naramoto Shrine (Ishikawa district),Q135069924,Naramoto Shrine (Ishikawa district).xml
Naramoto Shrine (Kaga Province),Q135069923,Naramoto Shrine (Kaga Province).xml
"Naramoto Shrine (Kamikashiwanocho, Hakusan City)",Q135194805,"Naramoto Shrine (Kamikashiwanocho, Hakusan City).xml"
"Naramoto Shrine (Miyamaru‑machi, Hakusan City)",Q135194803,"Naramoto Shrine (Miyamaru‑machi, Hakusan City).xml"
"Naramoto Shrine (Shimokashiwanocho, Hakusan City)",Q135194804,"Naramoto Shrine (Shimokashiwanocho, Hakusan City).xml"
Naramotono Shrine,Q135040283,Naramotono Shrine.xml
Narano Shrine,Q135039745,Narano Shrine.xml
Narano Shrine (Q135039622),Q135039622,Narano Shrine (Q135039622).xml
Naratsuhiko Shrine (Q135038836),Q135038836,Naratsuhiko Shrine (Q135038836).xml
Naratsuhiko Shrine (Q135270108),Q135270108,Naratsuhiko Shrine (Q135270108).xml
Naru Shrine,Q17209196,Naru Shrine.xml
Naruikatsuchino Shrine,Q135098815,Naruikatsuchino Shrine.xml
Narukami Kamo Myojin Shrine (in Tsuru‑ga‑mine Hachiman Shrine precinct),Q135194314,Narukami Kamo Myojin Shrine (in Tsuru‑ga‑mine Hachiman Shrine precinct).xml
Narukamino Shrine,Q135021843,Narukamino Shrine.xml
Narumi Hachimangū,Q11675363,Narumi Hachimangū.xml
Narumi Shrine,Q11495515,Narumi Shrine.xml
Narumi- Shrine,Q135039506,Narumi- Shrine.xml
Nasu Kamino Kaneko Shrine,Q135199025,Nasu Kamino Kaneko Shrine.xml
Nasu Kamino Kaneko Shrine (Q135199045),Q135199045,Nasu Kamino Kaneko Shrine (Q135199045).xml
Nasukaminokanenomikono Shrine,Q135041533,Nasukaminokanenomikono Shrine.xml
Natsukino Shrine,Q135098906,Natsukino Shrine.xml
Natsumihimeno Shrine,Q135040306,Natsumihimeno Shrine.xml
Nawino Shrine,Q135039259,Nawino Shrine.xml
Nekura Shrine Site,Q135186398,Nekura Shrine Site.xml
Nichimen Shrine,Q135194882,Nichimen Shrine.xml
Nifuno Shrine,Q135038979,Nifuno Shrine.xml
Nifuno Shrine (Q135039863),Q135039863,Nifuno Shrine (Q135039863).xml
Nifuno Shrine (Q135040066),Q135040066,Nifuno Shrine (Q135040066).xml
Nifuno Shrine (Q135040085),Q135040085,Nifuno Shrine (Q135040085).xml
Nifuno Shrine (Q135040090),Q135040090,Nifuno Shrine (Q135040090).xml
Nifuno Shrine (Q135040103),Q135040103,Nifuno Shrine (Q135040103).xml
Nifuno Shrine (Q135040703),Q135040703,Nifuno Shrine (Q135040703).xml
Nifunonakano Shrine,Q135039319,Nifunonakano Shrine.xml
Nihehimeno Shrine,Q135041112,Nihehimeno Shrine.xml
Nihehimeno Shrine (Q135270435),Q135270435,Nihehimeno Shrine (Q135270435).xml
Niheihimegami Shrine,Q135070141,Niheihimegami Shrine.xml
Niheihimegami Shrine (Q135070142),Q135070142,Niheihimegami Shrine (Q135070142).xml
Nihikusohimeno- Shrine,Q135041111,Nihikusohimeno- Shrine.xml
Nihitsuhimeno Shrine,Q135041242,Nihitsuhimeno Shrine.xml
Nihitsukino Shrine,Q135041165,Nihitsukino Shrine.xml
Nihiwino Shrine,Q135040522,Nihiwino Shrine.xml
Nihiyano- Shrine,Q135039208,Nihiyano- Shrine.xml
Niigaki Shrine,Q135069200,Niigaki Shrine.xml
Niiya Nimasu Amateru-mitama Shrine,Q135206803,Niiya Nimasu Amateru-mitama Shrine.xml
Nijino Shrine,Q135041520,Nijino Shrine.xml
Nijugohashira Shrine,Q135186414,Nijugohashira Shrine.xml
Nijugohashira Shrine Co-Enshrinement,Q135186165,Nijugohashira Shrine Co-Enshrinement.xml
Nijugohashira Shrine Co-Enshrinement (Q135186206),Q135186206,Nijugohashira Shrine Co-Enshrinement (Q135186206).xml
Nijugohashira Shrine Co-Enshrinement (Q135186224),Q135186224,Nijugohashira Shrine Co-Enshrinement (Q135186224).xml
Nijugohashira Shrine Co-Enshrinement (Q135186305),Q135186305,Nijugohashira Shrine Co-Enshrinement (Q135186305).xml
Nikabe Shrine,Q11376337,Nikabe Shrine.xml
Nikkō Futaarasan Shrine Chūgūshi branch Shrine,Q135194292,Nikkō Futaarasan Shrine Chūgūshi branch Shrine.xml
Nimasukarakuniitateno Shrine,Q135040778,Nimasukarakuniitateno Shrine.xml
Nimasukarakuniitateno Shrine (Q135270430),Q135270430,Nimasukarakuniitateno Shrine (Q135270430).xml
Ninomiya Shrine,Q135070213,Ninomiya Shrine.xml
Ninomiya Shrine (Q11371511),Q11371511,Ninomiya Shrine (Q11371511).xml
Ninomiya Shrine (Q134930277),Q134930277,Ninomiya Shrine (Q134930277).xml
Ninomiya Shrine (Q135039591),Q135039591,Ninomiya Shrine (Q135039591).xml
Ninomiya Shrine (Q135193252),Q135193252,Ninomiya Shrine (Q135193252).xml
Ninomiya Shrine (Q135193512),Q135193512,Ninomiya Shrine (Q135193512).xml
Ninomiya Shrine (Q135195283),Q135195283,Ninomiya Shrine (Q135195283).xml
Ninomiya Shrine (Tsubota),Q135192783,Ninomiya Shrine (Tsubota).xml
Nioji Shrine,Q135195143,Nioji Shrine.xml
Nioukogami Shrine,Q135070007,Nioukogami Shrine.xml
Nireyama Shrine,Q134887071,Nireyama Shrine.xml
Nisano Shrine,Q135040927,Nisano Shrine.xml
Nisanokashinowino Shrine,Q135040928,Nisanokashinowino Shrine.xml
Nishihaji Shrine,Q135186742,Nishihaji Shrine.xml
Nishikamo Shrine,Q135198156,Nishikamo Shrine.xml
Nishikanta Shrine,Q135070352,Nishikanta Shrine.xml
Nishinami Haguro Shrine,Q135195151,Nishinami Haguro Shrine.xml
Nishinami Shrine,Q135195150,Nishinami Shrine.xml
Nishinamino Shrine,Q135040474,Nishinamino Shrine.xml
Nishinaya Shrine,Q135070008,Nishinaya Shrine.xml
Nishino Shrine (Q135041162),Q135041162,Nishino Shrine (Q135041162).xml
Nishiteru Shrine,Q11629158,Nishiteru Shrine.xml
Nishitojoda Shrine,Q135186254,Nishitojoda Shrine.xml
Nishitono Shrine,Q135040692,Nishitono Shrine.xml
Nitsuno Shrine,Q135040161,Nitsuno Shrine.xml
Niu Shrine,Q17229562,Niu Shrine.xml
Niukawakami Lower Shrine,Q10877367,Niukawakami Lower Shrine.xml
Niukawakami Shrine,Q135038972,Niukawakami Shrine.xml
Niukawakami Shrine (Q246370),Q246370,Niukawakami Shrine (Q246370).xml
Niukawakami Upper Shrine,Q10877366,Niukawakami Upper Shrine.xml
Niwa Shrine,Q11569496,Niwa Shrine.xml
Niwata Shrine,Q87433102,Niwata Shrine.xml
Nobono Shrine Co-Enshrinement,Q135186645,Nobono Shrine Co-Enshrinement.xml
Nodai Shrine,Q135070090,Nodai Shrine.xml
Nogami Shrine,Q135039564,Nogami Shrine.xml
Nogita Shrine,Q11368810,Nogita Shrine.xml
Noharano Shrine,Q135039401,Noharano Shrine.xml
Noka Shrine,Q135040298,Noka Shrine.xml
Noka Shrine (Kaga Province),Q135069930,Noka Shrine (Kaga Province).xml
Noka Shrine (Q135069928),Q135069928,Noka Shrine (Q135069928).xml
Noki Shrine,Q11612065,Noki Shrine.xml
Nokita Shrine,Q135069671,Nokita Shrine.xml
Nokitano Shrine,Q135039854,Nokitano Shrine.xml
Nokuwa Shrine,Q135070179,Nokuwa Shrine.xml
Noma Shrine,Q11646210,Noma Shrine.xml
"Noma Shrine (Kosaka Town, Kanazawa City)",Q135194812,"Noma Shrine (Kosaka Town, Kanazawa City).xml"
"Noma Shrine (Tamahokocho, Kanazawa City)",Q135194810,"Noma Shrine (Tamahokocho, Kanazawa City).xml"
Nomaki Mukuge Shrine,Q135193392,Nomaki Mukuge Shrine.xml
Nomano Shrine,Q135039228,Nomano Shrine.xml
Nomano Shrine (Q135040289),Q135040289,Nomano Shrine (Q135040289).xml
Nomatano Shrine,Q135041221,Nomatano Shrine.xml
Nomatano Shrine Co-EnShrinement,Q135197934,Nomatano Shrine Co-EnShrinement.xml
Nomi Shrine,Q11646130,Nomi Shrine.xml
Nomi Shrine (Q11646128),Q11646128,Nomi Shrine (Q11646128).xml
Nomi Shrine (Q135190182),Q135190182,Nomi Shrine (Q135190182).xml
Nomi Shrine (Q135190183),Q135190183,Nomi Shrine (Q135190183).xml
Nomino Shrine,Q135039563,Nomino Shrine.xml
Nomino Shrine (Q135039467),Q135039467,Nomino Shrine (Q135039467).xml
Nomino Shrine (Q135098105),Q135098105,Nomino Shrine (Q135098105).xml
Nomino Shrine (Q135289475),Q135289475,Nomino Shrine (Q135289475).xml
Nomizuchi Shrine,Q135194822,Nomizuchi Shrine.xml
Nomoto Shrine,Q135192983,Nomoto Shrine.xml
Norihano Shrine,Q135040697,Norihano Shrine.xml
Norito Shrine,Q135198758,Norito Shrine.xml
Norito Shrine (Q135199422),Q135199422,Norito Shrine (Q135199422).xml
Noritono Shrine,Q135040762,Noritono Shrine.xml
Noritono Shrine (Q135041528),Q135041528,Noritono Shrine (Q135041528).xml
Noroshino Shrine,Q135040946,Noroshino Shrine.xml
Nosaka Shrine (merged with Oda Shrine),Q135194519,Nosaka Shrine (merged with Oda Shrine).xml
Nosakano Shrine,Q135040110,Nosakano Shrine.xml
Noshirino Shrine,Q135039446,Noshirino Shrine.xml
Noshirono Shrine,Q135040774,Noshirono Shrine.xml
Noshirono Shrine (Q135270428),Q135270428,Noshirono Shrine (Q135270428).xml
Notohime Shrine,Q135040313,Notohime Shrine.xml
Notono Shrine,Q135040096,Notono Shrine.xml
Notsuchino Shrine,Q135040297,Notsuchino Shrine.xml
Nowino Shrine,Q135041115,Nowino Shrine.xml
Nukahikashino Shrine,Q135040278,Nukahikashino Shrine.xml
Nukanishino Shrine,Q135040279,Nukanishino Shrine.xml
Nukata Shrine,Q135186796,Nukata Shrine.xml
Nukata Shrine (Q135186797),Q135186797,Nukata Shrine (Q135186797).xml
Nukatano Shrine,Q135039450,Nukatano Shrine.xml
Nunagawa Shrine,Q135195029,Nunagawa Shrine.xml
Nunagawa Shrine (Ama-no Shrine precinct),Q135195027,Nunagawa Shrine (Ama-no Shrine precinct).xml
Nunakahano Shrine,Q135040414,Nunakahano Shrine.xml
Nunakawa Shrine,Q135069982,Nunakawa Shrine.xml
Nunakawa Shrine (Echigo Province),Q135069983,Nunakawa Shrine (Echigo Province).xml
Nunaki Shrine,Q135195203,Nunaki Shrine.xml
Nunakuma Shrine,Q11554446,Nunakuma Shrine.xml
Nunomori Shrine,Q135195314,Nunomori Shrine.xml
Nunosei Shrine,Q135069767,Nunosei Shrine.xml
Nunosei Shrine (Shinano Province),Q135069768,Nunosei Shrine (Shinano Province).xml
Nunosu Shrine,Q135070138,Nunosu Shrine.xml
Nunosu Shrine (Izumo Province),Q135070139,Nunosu Shrine (Izumo Province).xml
Nunotahimeno- Shrine,Q135098896,Nunotahimeno- Shrine.xml
Nunowareya Shrine,Q135070088,Nunowareya Shrine.xml
Nunukino Shrine,Q135040523,Nunukino Shrine.xml
Nuribe Shrine,Q11565409,Nuribe Shrine.xml
Nushiishino Shrine,Q135039770,Nushiishino Shrine.xml
Nutehikono Shrine,Q135098871,Nutehikono Shrine.xml
Nutehimeno Shrine,Q135098873,Nutehimeno Shrine.xml
Nyu Shrine (Kaminyu),Q135193715,Nyu Shrine (Kaminyu).xml
Nyu Shrine (Shimonyu),Q135193716,Nyu Shrine (Shimonyu).xml
Nyuu Shrine,Q11368606,Nyuu Shrine.xml
Nyuukawa Shrine (Uchi district),Q134927823,Nyuukawa Shrine (Uchi district).xml
Nō Hakusan Shrine,Q11611996,Nō Hakusan Shrine.xml
Nōgō Hakusan Shrine,Q11612076,Nōgō Hakusan Shrine.xml
O Shrine,Q135070334,O Shrine.xml
Oanamochi Miko Tamae Shrine Shrine,Q135040958,Oanamochi Miko Tamae Shrine Shrine.xml
Oanamochi Shrine,Q135041067,Oanamochi Shrine.xml
Oarai Isozaki Shrine,Q135194565,Oarai Isozaki Shrine.xml
Oasa Shrine,Q135192948,Oasa Shrine.xml
Oaza Kanda Shrine,Q135193476,Oaza Kanda Shrine.xml
Obari Shrine,Q11465315,Obari Shrine.xml
Obata Shrine (Q135040495),Q135040495,Obata Shrine (Q135040495).xml
Obata Shrine (Q135069624),Q135069624,Obata Shrine (Q135069624).xml
Obori Shrine,Q11463293,Obori Shrine.xml
Obuse Shrine,Q135195116,Obuse Shrine.xml
Obusuma Shrine,Q66105394,Obusuma Shrine.xml
Ochi Shrine (Nakano City),Q135194245,Ochi Shrine (Nakano City).xml
Ochi Shrine (Suzaka City),Q135194244,Ochi Shrine (Suzaka City).xml
Ochikaha-no-Mikami-no Shrine,Q135038768,Ochikaha-no-Mikami-no Shrine.xml
Oda Shrine,Q135069901,Oda Shrine.xml
Oda Shrine (Ibaraki),Q17222452,Oda Shrine (Ibaraki).xml
Oda Shrine (Isokami Shrine precincts),Q135186263,Oda Shrine (Isokami Shrine precincts).xml
"Oda Shrine (Kitada, Mihama Town)",Q135194495,"Oda Shrine (Kitada, Mihama Town).xml"
"Oda Shrine (Sada, Mihama Town)",Q135194494,"Oda Shrine (Sada, Mihama Town).xml"
Oda Shrine (within Tsurugi Shrine grounds),Q135194517,Oda Shrine (within Tsurugi Shrine grounds).xml
Odai Agata Shrine,Q21655259,Odai Agata Shrine.xml
Oe Shrine (Higashi Onoe),Q135193640,Oe Shrine (Higashi Onoe).xml
Oe Shrine (Onoe),Q135193639,Oe Shrine (Onoe).xml
Ofubura Shrine,Q135193712,Ofubura Shrine.xml
Ofubura Shrine (Q135193713),Q135193713,Ofubura Shrine (Q135193713).xml
Ofufurano Shrine,Q135039855,Ofufurano Shrine.xml
Oga Hachiman Shrine,Q135194423,Oga Hachiman Shrine.xml
Ogawa Hachiman Shrine,Q135194227,Ogawa Hachiman Shrine.xml
Ogawa Shrine,Q135186524,Ogawa Shrine.xml
Ogawa Shrine (Q135069803),Q135069803,Ogawa Shrine (Q135069803).xml
Ogawa Shrine (Q135186717),Q135186717,Ogawa Shrine (Q135186717).xml
Ogawa Shrine (Q135194225),Q135194225,Ogawa Shrine (Q135194225).xml
"Ogawa Shrine (Setogawa, Ogawa Village)",Q135194226,"Ogawa Shrine (Setogawa, Ogawa Village).xml"
Ogawa Shrine (Shinano Province),Q135069806,Ogawa Shrine (Shinano Province).xml
Ogawa Shrine (Tsubaki-Nakato Keidai-sha),Q135186718,Ogawa Shrine (Tsubaki-Nakato Keidai-sha).xml
Ogawahachimanguu,Q135069809,Ogawahachimanguu.xml
Ogawaizumisui Shrine,Q134928597,Ogawaizumisui Shrine.xml
Ogawatsuki Shrine,Q11460493,Ogawatsuki Shrine.xml
Ogiwara Shrine,Q135069192,Ogiwara Shrine.xml
Ogura Shrine,Q11462117,Ogura Shrine.xml
Ogushi Shrine,Q134930718,Ogushi Shrine.xml
Ohahe Shrine,Q135193671,Ohahe Shrine.xml
Ohaheno Shrine,Q135039837,Ohaheno Shrine.xml
Ohamano Shrine,Q135039169,Ohamano Shrine.xml
Ohara Shrine,Q135197736,Ohara Shrine.xml
Ohara Shrine (Q135197737),Q135197737,Ohara Shrine (Q135197737).xml
Ohari Shrine,Q17226111,Ohari Shrine.xml
Ohiihikono- Shrine,Q135041128,Ohiihikono- Shrine.xml
Ohitano Shrine,Q135039311,Ohitano Shrine.xml
Ohoamino Shrine,Q135039868,Ohoamino Shrine.xml
Ohoarahikono Shrine,Q135039882,Ohoarahikono Shrine.xml
Ohoasano Shrine,Q135039672,Ohoasano Shrine.xml
Ohoasano Shrine (Q135041392),Q135041392,Ohoasano Shrine (Q135041392).xml
Ohoeno Shrine,Q135040733,Ohoeno Shrine.xml
Ohofuhe- Shrine,Q135040644,Ohofuhe- Shrine.xml
Ohohano Shrine,Q135039722,Ohohano Shrine.xml
Ohohano Shrine (Q135039830),Q135039830,Ohohano Shrine (Q135039830).xml
Ohoharano Shrine,Q135041136,Ohoharano Shrine.xml
Ohohatano Shrine,Q135040488,Ohohatano Shrine.xml
Ohohimeno Shrine,Q135040509,Ohohimeno Shrine.xml
Ohoichino Shrine,Q135039334,Ohoichino Shrine.xml
Ohoiheno Shrine,Q135040705,Ohoiheno Shrine.xml
Ohoihino Shrine,Q135040078,Ohoihino Shrine.xml
Ohokahachino Shrine,Q135098911,Ohokahachino Shrine.xml
Ohokahano Shrine,Q135039875,Ohokahano Shrine.xml
Ohokahano Shrine former site,Q135193746,Ohokahano Shrine former site.xml
Ohokamiookisakino Shrine,Q135040951,Ohokamiookisakino Shrine.xml
Ohokano- Shrine,Q135039393,Ohokano- Shrine.xml
Ohokino Shrine,Q135039387,Ohokino Shrine.xml
Ohokomano Shrine,Q135039116,Ohokomano Shrine.xml
Ohokuchino Shrine,Q135039474,Ohokuchino Shrine.xml
Ohokuninushino Shrine,Q135039223,Ohokuninushino Shrine.xml
Ohokuninushino Shrine (Q135270424),Q135270424,Ohokuninushino Shrine (Q135270424).xml
Ohokunitamahimeno Shrine,Q135039265,Ohokunitamahimeno Shrine.xml
Ohokunitamano Shrine,Q135039305,Ohokunitamano Shrine.xml
Ohokura- Shrine,Q135038952,Ohokura- Shrine.xml
Ohokurano Shrine,Q135038788,Ohokurano Shrine.xml
Ohokurano Shrine (Q135039860),Q135039860,Ohokurano Shrine (Q135039860).xml
Ohokurano Shrine (Q135040114),Q135040114,Ohokurano Shrine (Q135040114).xml
Ohokushino Shrine,Q135039310,Ohokushino Shrine.xml
Ohokusuno Shrine,Q135039623,Ohokusuno Shrine.xml
Ohokutamano Shrine,Q135041518,Ohokutamano Shrine.xml
Ohomano- Shrine,Q135098908,Ohomano- Shrine.xml
Ohomatonotsuno- Shrine,Q135039728,Ohomatonotsuno- Shrine.xml
Ohomeno Shrine,Q135039528,Ohomeno Shrine.xml
Ohomeno Shrine (Q135040480),Q135040480,Ohomeno Shrine (Q135040480).xml
Ohomeno Shrine (Q135270146),Q135270146,Ohomeno Shrine (Q135270146).xml
Ohomikano Shrine,Q135039599,Ohomikano Shrine.xml
Ohominatono Shrine,Q135040257,Ohominatono Shrine.xml
Ohomino Shrine,Q135041040,Ohomino Shrine.xml
Ohominohikono Shrine,Q135041386,Ohominohikono Shrine.xml
Ohomisono Shrine,Q135040236,Ohomisono Shrine.xml
Ohomitamano Shrine,Q135098960,Ohomitamano Shrine.xml
Ohomitsuwakeno Shrine,Q135039869,Ohomitsuwakeno Shrine.xml
Ohomitsuwakeno Shrine (Q135039888),Q135039888,Ohomitsuwakeno Shrine (Q135039888).xml
Ohomiyahiheno Shrine,Q135021840,Ohomiyahiheno Shrine.xml
Ohomuwano Shrine,Q135040416,Ohomuwano Shrine.xml
Ohomuwano Shrine (Q135039969),Q135039969,Ohomuwano Shrine (Q135039969).xml
Ohomuwano Shrine (Q135040719),Q135040719,Ohomuwano Shrine (Q135040719).xml
Ohomuwano Shrine Co-Enshrinement,Q135039315,Ohomuwano Shrine Co-Enshrinement.xml
