Page Title,Wikidata QID
Category:Facilities Opened in the 1890s,Q24860970
Category:Facilities Opened in the 1900s,Q18714202
Category:Facilities Opened in the 1920s,Q24860926
Category:Facilities Opened in the 1930s,Q24862171
Category:Facilities Opened in the 1940s,Q18714221
Category:Facilities Opened in the 1960s,Q18714246
Category:Facilities Opened in the 1970s,Q18714261
Category:Facilities Opened in the 1980s,Q18714314
Category:Facilities Opened in the 1990s,Q18714365
Category:Facilities Opened in the 2000s,Q18714407
Category:Facilities by year of abolishment,Q65647485
Category:Facilities by year of opening,Q86239955
Category:Facilities of the Imperial Japanese Army,Q57340320
Category:Facility operators in Japan,Q18725654
Category:Factories in Fukuoka prefecture,Q114797709
Category:Factories in Japan by prefecture,Q114797690
Category:Factories in Oita prefecture,Q28697060
Category:Factories in Yamaguchi prefecture,Q114797719
Category:Faculty by Music Schools in Japan,Q9677527
Category:Faculty of Kinki University,Q18740065
Category:Faculty of Kobe Yamate University,Q10218787
Category:Faculty of Kokugakuin University,Q9602376
Category:Faculty of Komazawa University,Q18743280
Category:Faculty of Music Education Institutions,Q18742829
Category:Faculty of Nagaoka University of Arts,Q18741384
Category:Faculty of Nara University,Q9618280
Category:Faculty of Nara University of Arts,Q18723849
Category:Faculty of Okinawa University,Q10113898
Category:Faculty of Seijo University,Q9653373
Category:Faculty of Shiga Bunkyo Junior College,Q10148351
Category:Faculty of Shiga University,Q10148334
Category:Faculty of Shujitsu University,Q9632261
Category:Faculty of Tokyo University of the Arts Music,Q17572476
Category:Faculty of the Open University of Japan,Q9656240
Category:Fairies in popular culture,Q8442775
Category:Fairy tale stock characters,Q7701023
Category:Fairy tales,Q7214269
Category:Fairy tales about magic,Q131882139
Category:Fairy tales by country,Q6940500
Category:Faith,Q9876995
Category:Falcon Gods,Q17337056
Category:Falcon deities,Q116032877
Category:False documents,Q8443025
Category:Families,Q8443049
Category:Families by occupation,Q6619513
Category:Family,Q7216461
Category:Family Systems,Q8209380
Category:Family history,Q8443149
Category:Family registers,Q8443165
Category:Family tree templates,Q9664215
Category:Family trees,Q6993158
Category:Family trees of royalty,Q6993171
Category:Family trees of the Japanese imperial dynasty,Q10163755
Category:Family-owned companies,Q32606727
Category:Famous camphor trees,Q24862482
Category:Famous cherry trees,Q18515229
Category:Famous plum trees,Q32660487
Category:Fantasy,Q7151195
Category:Fantasy characters,Q7035078
Category:Fantasy creatures,Q8443284
Category:Fantasy tropes,Q8443329
Category:Fantasy weapons,Q49781134
Category:Far-right politics,Q8443373
Category:Far-right politics and religion,Q117288354
Category:Far-right politics by country,Q10134842
Category:Far-right politics in Asia,Q25243700
Category:Far-right politics in Japan,Q8443382
Category:Farms in Japan,Q8443554
Category:Fashion accessories,Q8898985
Category:February,Q5606800
Category:February 1899,Q18041241
Category:February 1909,Q18191046
Category:February 1919,Q21280935
Category:February 1936,Q18191056
Category:February observances,Q7991072
Category:Feldwirtschaft,Q8952611
Category:Felids and humans,Q60628693
Category:Felines in culture,Q125086851
Category:Female Imperial Family Members before the Kofun Period,Q18722813
Category:Female Imperial Family Members of the Nara period,Q17502544
Category:Female Royals of the Asuka Period,Q17502561
Category:Female buddhas and supernatural beings,Q8446035
Category:Female characters in anime and manga,Q8446041
Category:Female folklore characters,Q125064978
Category:Female legendary characters,Q125064981
Category:Female legendary creatures,Q21416439
Category:Female mammals,Q8446114
Category:Female religious workers,Q20737193
Category:Female spirits,Q125064986
Category:Female stock characters,Q65624750
Category:Female stock characters in anime and manga,Q8446196
Category:Female waka poets,Q57694934
Category:Feminist spirituality,Q8446358
Category:Fencers by weapon,Q10111686
Category:Fences,Q8446429
Category:Fermented drinks,Q8446364
Category:Fermented foods,Q6013447
Category:Ferries,Q10143436
Category:Fertility deities,Q5903798
Category:Fertility goddesses,Q7631556
Category:Fertility gods,Q9746278
Category:Feste und Brauchtum (Landwirtschaft),Q8953115
Category:Festival Calendar of the Month Achet 1,Q8953198
Category:Festival Calendar of the Month Achet II,Q8953201
Category:Festival Calendar of the Month Schemu III,Q8953210
Category:Festival Calendar of the Month Schemu IV,Q8953214
Category:Festival Utensils,Q10221846
Category:Festival chronology category header templates,Q104418211
Category:Festivals,Q7214296
Category:Festivals by continent,Q8447132
Category:Festivals by country,Q7482210
Category:Festivals by type,Q9157175
Category:Festivals by year,Q21793987
Category:Festivals in Aichi Prefecture,Q8447136
Category:Festivals in Aomori Prefecture,Q8447149
Category:Festivals in Fukui Prefecture,Q10224325
Category:Festivals in Hokkaido,Q8447248
Category:Festivals in Japan by prefecture,Q9673972
Category:Festivals in Mie Prefecture,Q8447305
Category:Festivals in Shiga Prefecture,Q10150451
Category:Festivals in Tokushima Prefecture,Q8447403
Category:Festivals of Kanagawa Prefecture,Q8447270
Category:Festivals of Kyoto,Q24340556
Category:Festivals of Tokyo,Q6922472
Category:Festivals of ancient Egypt,Q8447144
Category:Festive meals,Q9507707
Category:Feudal Japan,Q7461164
Category:Feudalism by country,Q8447497
Category:Feudalism in Asia,Q8447498
Category:Fiber plants,Q7226706
Category:Fiction,Q7233872
Category:Fiction about Shinto,Q10221639
Category:Fiction about magic,Q7470572
Category:Fiction about superhuman abilities,Q8825934
Category:Fiction about time,Q18704177
Category:Fiction about time travel,Q7692242
Category:Fiction about transport,Q9228764
Category:Fiction by country of setting,Q6942540
Category:Fiction by genre,Q8447568
Category:Fiction by topic,Q6913099
Category:Fiction forms,Q8447569
Category:Fictional Buddhist monks,Q151780
Category:Fictional Forms of Performing Arts,Q9513259
Category:Fictional animals by type,Q8447816
Category:Fictional anthropomorphic characters,Q8447819
Category:Fictional aquatic creatures,Q6213274
Category:Fictional archers,Q7035007
Category:Fictional canids,Q49889231
Category:Fictional characters,Q7031793
Category:Fictional characters by medium,Q7045158
Category:Fictional characters by role in the narrative structure,Q7045104
Category:Fictional characters introduced in the 16th century,Q30709023
Category:Fictional characters with elemental and environmental abilities,Q20989316
Category:Fictional creatures,Q8448359
Category:Fictional elements,Q8447593
Category:Fictional females by medium,Q25014969
Category:Fictional gemstones and jewelry,Q8448334
Category:Fictional human–animal hybrids,Q111975985
Category:Fictional objects,Q7692019
Category:Fictional rabbits and hares,Q7034938
Category:Fictional reptiles,Q7035016
Category:Fictional snakes,Q8448643
Category:Fictional species and races,Q8448653
Category:Fictional subterranea,Q8448672
Category:Fictional superhuman abilities,Q8448676
Category:Fictional weapons,Q8448730
Category:Fields of history,Q6991682
Category:Fields of mathematics,Q7158060
Category:Fifteen Shrines of the Kenmu Restoration,Q117757459
Category:Fifth Dynasty of Egypt,Q8449036
Category:Figures Associated with Japanese Gardens,Q19846690
Category:Figures in Legal History,Q18727160
Category:Figures in the Anti-Bakufu Movement,Q86264722
Category:Figures in the History of Asian Studies in Japan,Q9661861
Category:Figures in the History of Christianity in Japan,Q16504321
Category:Figures in the History of Okinawa,Q65060163
Category:Figures in the history of Asian studies,Q9440862
Category:Figures of Asianism in Japan,Q9661829
Category:Figures of Mitogaku,Q28696566
Category:Figures of the Muromachi Shogunate,Q28694697
Category:Figurines,Q8449258
Category:File message boxes,Q8450931
Category:Filial piety,Q55926048
Category:Fills (earthworks),Q105159311
Category:Film theory,Q8451881
Category:Financial districts,Q8458388
Category:Financial regulatory authorities of Japan,Q13262438
Category:Fire,Q8226663
Category:Fire Service Ranks of Japan,Q18725667
Category:Fire deities,Q8307555
Category:Fire goddesses,Q8459593
Category:Fire gods,Q14623766
Category:Fire in culture,Q8953410
Category:Fire in religion,Q8459597
Category:Fire prevention,Q8459627
Category:Fire protection,Q7478472
Category:Firearm actions,Q6621919
Category:Firearms,Q7166617
Category:Firefighting in Japan,Q9672719
Category:Fireplaces,Q8226568
Category:Fires,Q4992738
Category:Fires in the Edo period,Q18727074
Category:Fireworks events,Q8460062
Category:Fireworks festivals in Aichi Prefecture,Q30628939
Category:Fireworks festivals in Fukuoka Prefecture,Q65647841
Category:Fireworks festivals in Hyogo Prefecture,Q65646957
Category:First Sino-Japanese War,Q7456398
Category:Fiscal Law of Japan,Q18739530
Category:Fish and humans,Q22963334
Category:Fish in Buddhism,Q86786367
Category:Fish in religion,Q86130068
Category:Fisheries in Japan,Q9672860
Category:Fisheries of Mie prefecture,Q80546505
Category:Fishing in Korea,Q8460670
Category:Fishing industry,Q7056727
Category:Fishing industry in Japan,Q8460696
Category:Five kings of Wa,Q29529240
Category:Five tone hole wind instruments,Q30865661
Category:Flag decoration missing country data templates,Q125028376
Category:Flag icon tracking categories,Q97432268
Category:Flag icons missing country data templates,Q95903836
Category:Flag template shorthands,Q7348572
Category:Flag template system,Q8138912
Category:Flag template system cores,Q80902057
Category:Flash cartoons,Q6414115
Category:Float festivals of Japan,Q18514107
Category:Flora by country,Q6941366
Category:Flora by distribution categories that follow the World Geographical Scheme for Recording Plant Distributions,Q8461633
Category:Flora invasive in North America,Q113576852
Category:Flora of Asia,Q7139274
Category:Flora of China,Q7223125
Category:Flora of Eastern Asia,Q8461710
Category:Flora of temperate Asia,Q16781195
Category:Flour-Based Dishes,Q10252415
Category:Flower festivals by country,Q21605502
Category:Flower festivals in Asia,Q21612986
Category:Flower festivals in Japan,Q21605512
Category:Flowers,Q6518894
Category:Folk art,Q7412189
Category:Folk arts,Q9645957
Category:Folk culture by region,Q106286186
Category:Folk culture of Asia,Q105977973
Category:Folk festivals in Asia,Q25241578
Category:Folk museums in Japan,Q21416485
Category:Folk religions,Q8462921
Category:Folklore by country,Q6940719
Category:Folklore by type,Q7723665
Category:Folklore characters,Q8462999
Category:Folklore creatures,Q125065273
Category:Folklore featuring impossible tasks,Q125087037
Category:Folklore people,Q125065274
Category:Folklore studies,Q9662383
Category:Folktales by Prefecture,Q10099018
Category:Folktales of Tochigi Prefecture,Q10060632
Category:Food Culture of Japan by Municipality,Q18514280
Category:Food Culture of Matsuyama,Q18726581
Category:Food and drink by country,Q8463128
Category:Food and drink companies of Japan,Q8463180
Category:Food and drink culture,Q8463231
Category:Food and drink in Asia by country,Q79345150
Category:Food and drink in Japan,Q17425946
Category:Food and drink in religion,Q10136052
Category:Food culture of Shikoku region,Q9599776
Category:Food culture of the Kinki region,Q10043203
Category:Food culture of the Tohoku region,Q9693285
Category:Food cultures by place,Q30627548
Category:Food deities,Q8587253
Category:Food goddesses,Q97432316
Category:Food gods,Q112958824
Category:Food industry,Q7213750
Category:Food ingredients,Q7162764
Category:Food navigational boxes,Q8463283
Category:Food of China,Q9488055
Category:Food of Japan,Q9677673
Category:Food processing,Q13262649
Category:Football in Japan,Q7072923
Category:Football in Japan by Region,Q28696834
Category:Football venues in Japan,Q8464919
Category:Footnote templates,Q8465366
Category:Footpaths,Q8465367
Category:Footwear,Q10856572
Category:Foreign Envoys to Japan,Q9689755
Category:Foreign Visitors to Japan,Q9689745
Category:Foreign affairs ministries,Q6456625
Category:Foreign culture in pre-modern Japan,Q48677346
Category:Foreign involvement in regime change,Q105637512
Category:Foreign missions to Japan in pre-modern times,Q48677305
Category:Foreign policy,Q7045815
Category:Foreign relations by country,Q6580500
Category:Foreign relations by country templates,Q7103450
Category:Foreign relations by former country,Q7065438
Category:Foreign relations of China,Q7065148
Category:Foreign relations of Goryeo,Q18743670
Category:Foreign relations of Japan,Q7306342
Category:Foreign relations of Joseon,Q7304495
Category:Foreign relations of Korea,Q7065731
Category:Foreign relations of Russia,Q7303525
Category:Foreign relations of Yuan dynasty,Q9568717
Category:Foreign relations of the Empire of Japan,Q8465681
Category:Foreign relations of the Ming dynasty,Q9683106
Category:Foreign relations of the Qing dynasty,Q8465688
Category:Foreign relations templates,Q7103432
Category:Foreigners in Japanese History,Q41540212
Category:Foreigners in the Asuka Period,Q41540147
Category:Foreigners in the Nara Period,Q41540145
Category:Forest products,Q15306189
Category:Forest-Related Festivals of Japan,Q24863398
Category:Forestry by country,Q8465811
Category:Forestry in Asia by country,Q65638353
Category:Forestry in Japan,Q8465832
Category:Forestry templates,Q8465873
Category:Forests,Q8465878
Category:Forests of Japan,Q8465987
Category:Forged epic poems,Q8466096
Category:Forgery,Q8466099
Category:Formal insignia,Q9830093
Category:Formal sciences,Q7469326
Category:Formal wear,Q7486749
Category:Formats of historical texts,Q9590442
Category:Formatting templates,Q107344762
Category:Former Beppyo shrines,Q117480784
Category:Former British colonies and protectorates in Asia,Q27118617
Category:Former Buddhist states,Q123398960
Category:Former Buddhist temples,Q8466253
Category:Former Buddhist temples in Japan,Q118959205
Category:Former Districts of Osaka Prefecture,Q9615803
Category:Former Educational Institutions of Japan by Prefecture,Q9671463
Category:Former Educational Institutions of Miyazaki Prefecture,Q9627168
Category:Former Educational Institutions of Tokyo,Q9692038
Category:Former Educational Laws of Japan,Q9671506
Category:Former Elementary Schools in Japan,Q9671456
Category:Former Fu-sha in Kyoto,Q9560923
Category:Former Fu-sha in Osaka,Q9615558
Category:Former Fu-sha in Tokyo,Q9692043
Category:Former Gō-sha in Aichi Prefecture,Q9652529
Category:Former Gō-sha in Akita Prefecture,Q10238920
Category:Former Gō-sha in Chiba Prefecture,Q9585709
Category:Former Gō-sha in Ehime Prefecture,Q9651508
Category:Former Gō-sha in Fukuoka Prefecture,Q10229021
Category:Former Gō-sha in Fukushima Prefecture,Q10233062
Category:Former Gō-sha in Gifu Prefecture,Q9636475
Category:Former Gō-sha in Gunma Prefecture,Q18728948
Category:Former Gō-sha in Hiroshima Prefecture,Q9645204
Category:Former Gō-sha in Hokkaido,Q9581899
Category:Former Gō-sha in Hyōgo Prefecture,Q9572501
Category:Former Gō-sha in Ibaraki Prefecture,Q18738119
Category:Former Gō-sha in Ishikawa Prefecture,Q10207483
Category:Former Gō-sha in Iwate Prefecture,Q9638653
Category:Former Gō-sha in Kagawa Prefecture,Q18743099
Category:Former Gō-sha in Kagoshima Prefecture,Q18744021
Category:Former Gō-sha in Kanagawa Prefecture,Q10216827
Category:Former Gō-sha in Kumamoto Prefecture,Q10163825
Category:Former Gō-sha in Kyoto Prefecture,Q9560951
Category:Former Gō-sha in Mie Prefecture,Q9542269
Category:Former Gō-sha in Miyagi Prefecture,Q9626257
Category:Former Gō-sha in Nagano Prefecture,Q18741697
Category:Former Gō-sha in Nagasaki Prefecture,Q18741495
Category:Former Gō-sha in Nara Prefecture,Q9618957
Category:Former Gō-sha in Okayama Prefecture,Q9637334
Category:Former Gō-sha in Okinawa Prefecture,Q10116369
Category:Former Gō-sha in Osaka Prefecture,Q9615576
Category:Former Gō-sha in Saitama Prefecture,Q9606020
Category:Former Gō-sha in Shiga Prefecture,Q10150189
Category:Former Gō-sha in Shimane Prefecture,Q9639737
Category:Former Gō-sha in Shizuoka Prefecture,Q18742588
Category:Former Gō-sha in Tochigi Prefecture,Q10060590
Category:Former Gō-sha in Tokushima Prefecture,Q9649016
Category:Former Gō-sha in Tokyo,Q9692067
Category:Former Gō-sha in Tottori Prefecture,Q18743796
Category:Former Gō-sha in Toyama Prefecture,Q9629049
Category:Former Gō-sha in Wakayama Prefecture,Q9597501
Category:Former Gō-sha in Yamagata Prefecture,Q9634267
Category:Former Gō-sha in Yamaguchi Prefecture,Q9633360
Category:Former Gō-sha in Yamanashi Prefecture,Q9635049
Category:Former Gō-sha in Ōita Prefecture,Q9610205
Category:Former Higher Education Institutions in Japan,Q15924016
Category:Former Japanese Medical Education Institutions,Q15970743
Category:Former Japanese colonies,Q7164693
Category:Former Japanese parliamentarians by party,Q9435684
Category:Former Laws of China,Q18721464
Category:Former Legal Codes of Japan,Q9671519
Category:Former Nine-Year War,Q9577608
Category:Former Nippon TV affiliates,Q18514628
Category:Former Prefectural Shrines in Aichi Prefecture,Q9652521
Category:Former Prefectural Shrines in Akita Prefecture,Q10238903
Category:Former Prefectural Shrines in Aomori Prefecture,Q18742432
Category:Former Prefectural Shrines in Chiba Prefecture,Q9585700
Category:Former Prefectural Shrines in Ehime Prefecture,Q9651502
Category:Former Prefectural Shrines in Fukui Prefecture,Q10223998
Category:Former Prefectural Shrines in Fukuoka Prefecture,Q10229000
Category:Former Prefectural Shrines in Fukushima Prefecture,Q10233040
Category:Former Prefectural Shrines in Gifu Prefecture,Q9636469
Category:Former Prefectural Shrines in Gunma Prefecture,Q18728947
Category:Former Prefectural Shrines in Hiroshima Prefecture,Q9645198
Category:Former Prefectural Shrines in Hokkaido,Q9581892
Category:Former Prefectural Shrines in Hyōgo Prefecture,Q9572496
Category:Former Prefectural Shrines in Ibaraki Prefecture,Q18738118
Category:Former Prefectural Shrines in Ishikawa Prefecture,Q10207439
Category:Former Prefectural Shrines in Iwate Prefecture,Q9638647
Category:Former Prefectural Shrines in Kagoshima Prefecture,Q18744020
Category:Former Prefectural Shrines in Kanagawa,Q10216807
Category:Former Prefectural Shrines in Kumamoto Prefecture,Q10163797
Category:Former Prefectural Shrines in Kōchi Prefecture,Q18743588
Category:Former Prefectural Shrines in Mie Prefecture,Q9542261
Category:Former Prefectural Shrines in Miyagi Prefecture,Q9626252
Category:Former Prefectural Shrines in Miyazaki Prefecture,Q9627178
Category:Former Prefectural Shrines in Nagano Prefecture,Q8737383
Category:Former Prefectural Shrines in Nagasaki Prefecture,Q18741494
Category:Former Prefectural Shrines in Nara Prefecture,Q9618947
Category:Former Prefectural Shrines in Niigata Prefecture,Q8737392
Category:Former Prefectural Shrines in Oita Prefecture,Q9610198
Category:Former Prefectural Shrines in Okayama Prefecture,Q9637328
Category:Former Prefectural Shrines in Okinawa Prefecture,Q10116353
Category:Former Prefectural Shrines in Saga Prefecture,Q9566498
Category:Former Prefectural Shrines in Saitama Prefecture,Q9606006
Category:Former Prefectural Shrines in Shiga Prefecture,Q10150172
Category:Former Prefectural Shrines in Shimane Prefecture,Q9639731
Category:Former Prefectural Shrines in Shizuoka Prefecture,Q18742587
Category:Former Prefectural Shrines in Tochigi Prefecture,Q10060573
Category:Former Prefectural Shrines in Tokushima Prefecture,Q9649012
Category:Former Prefectural Shrines in Wakayama Prefecture,Q9597493
Category:Former Prefectural Shrines in Yamagata Prefecture,Q9634239
Category:Former Prefectural Shrines in Yamaguchi Prefecture,Q9633355
Category:Former Prefectural Shrines in Yamanashi Prefecture,Q9635045
Category:Former Prefectural Shrines of Wakayama,Q9597493
Category:Former Prefectural Shrines of Yamagata Prefecture,Q9634239
Category:Former Prefectural Shrines of Yamanashi Prefecture,Q9635045
Category:Former TV Asahi affiliates,Q18740275
Category:Former Universities in Japan,Q9671427
Category:Former Unranked Shrines in Chiba Prefecture,Q9585694
Category:Former Unranked Shrines in Fukuoka Prefecture,Q10228973
Category:Former Unranked Shrines in Gunma Prefecture,Q86312121
Category:Former Unranked Shrines in Hokkaidō Prefecture,Q9581876
Category:Former Unranked Shrines in Ibaraki Prefecture,Q60774555
Category:Former Unranked Shrines in Kagoshima Prefecture,Q18744019
Category:Former Unranked Shrines in Kanagawa Prefecture,Q10216781
Category:Former Unranked Shrines in Kumamoto Prefecture,Q10163776
Category:Former Unranked Shrines in Kyōto Prefecture,Q9560942
Category:Former Unranked Shrines in Mie Prefecture,Q9542257
Category:Former Unranked Shrines in Nagasaki Prefecture,Q18741493
Category:Former Unranked Shrines in Okinawa Prefecture,Q10116173
Category:Former Unranked Shrines in Tokushima Prefecture,Q9648996
Category:Former buildings and structures by country,Q7582552
Category:Former buildings and structures in Asia,Q130748626
Category:Former buildings and structures in China,Q8466828
Category:Former buildings and structures in Japan,Q8466853
Category:Former buildings and structures in South Korea,Q16786855
Category:Former buildings and structures in Tokyo,Q10181486
Category:Former buildings in Seoul Metropolitan City,Q32706086
Category:Former buildings in Taiwan,Q9585466
Category:Former capitals of Japan,Q6420881
Category:Former castles in Japan,Q25329397
Category:Former colonies by continent,Q7161863
Category:Former colonies in Asia,Q7161877
Category:Former confederations,Q7157091
Category:Former constellations,Q7213499
Category:Former countries,Q7238252
Category:Former countries by continent,Q8467143
Category:Former countries by form of government,Q15257985
Category:Former countries by period,Q7013871
Category:Former countries in Asia,Q7146546
Category:Former countries in Asia by region,Q130073523
Category:Former countries in Chinese history,Q8467148
Category:Former countries in East Asia,Q6236942
Category:Former countries in Japanese history,Q6236990
Category:Former countries in Korean history,Q7706987
Category:Former countries in Oceania,Q7238277
Category:Former districts of Ehime Prefecture,Q8467209
Category:Former districts of Ibaraki Prefecture,Q8467221
Category:Former districts of Japan,Q8467225
Category:Former districts of Kanagawa Prefecture,Q8467228
Category:Former districts of Kyoto Prefecture,Q8467230
Category:Former districts of Nara Prefecture,Q8467239
Category:Former districts of Okayama Prefecture,Q8467242
Category:Former districts of Yamanashi Prefecture,Q9635230
Category:Former entities,Q7116349
Category:Former government ministries of Japan,Q18572875
Category:Former kingdoms,Q7643801
Category:Former lakes,Q8467358
Category:Former mines,Q8467382
Category:Former mines in Japan,Q8467387
Category:Former monarchies by continent,Q9611871
Category:Former monarchies of Asia,Q7098076
Category:Former monarchies of East Asia,Q30685905
Category:Former monarchies of Oceania,Q8467401
Category:Former national capitals,Q7214548
Category:Former palaces in Japan,Q117221204
Category:Former places,Q7458920
Category:Former populated places,Q6160222
Category:Former provinces,Q8467874
Category:Former provinces of Japan,Q8467883
Category:Former schools in Tokyo,Q97387239
Category:Former socialist republics,Q8467994
Category:Former subdivisions of Japan,Q8468058
Category:Former territorial entities in Asia,Q116247897
Category:Former territorial entities in Oceania,Q105426369
Category:Former vassal states,Q6803012
Category:Forms of Lakshmi,Q123739169
Category:Forms of Saraswati,Q123739265
Category:Forms of Shiva,Q8271371
Category:Forms of government,Q54069
Category:Forschungsprojekt des Deutschen Archäologischen Instituts,Q16798892
Category:Fortifications by country,Q91530
Category:Fortifications in Asia by country,Q63147014
Category:Fortifications in Japan,Q8468518
Category:Fortresses,Q6858338
Category:Fortune deities,Q6852808
Category:Fortune goddesses,Q8469123
Category:Fortune gods,Q7214276
Category:Fortune tellers,Q7992897
Category:Fortune-telling,Q126439607
Category:Foundations based in Japan,Q8470219
Category:Founders by field,Q7137723
Category:Founders of Buddhist sects,Q9562547
Category:Founders of religions,Q6820503
Category:Four Commanderies of Han,Q20948321
Category:Four Heavenly Kings,Q65801169
Category:Four Seasons,Q9600118
Category:Four heavenly ministers,Q113251444
Category:Fox deities,Q80445012
Category:Foxes in religion,Q80445190
Category:France and the United Nations,Q25234740
Category:France–Japan military relations,Q30803159
Category:Free content external link templates,Q28859161
Category:Freedom and People's Rights Movement,Q18737683
Category:Freedom and People's Rights Movement activists,Q18737685
Category:Freedom of religion,Q7214797
Category:French international schools in Japan,Q21009848
Category:Freudian psychology,Q6330386
Category:Fruit trees,Q7948768
Category:Fu-sha,Q117759826
"Category:Fuchū, Hiroshima",Q9646022
"Category:Fuchū, Tokyo",Q8673628
Category:Fudai Daimyō Clans,Q17166489
Category:Fudai Daimyō Families,Q65648275
Category:Fudai daimyo,Q8475112
Category:Fudoki,Q18742899
"Category:Fuefuki, Yamanashi",Q9378844
Category:Fuji News Network,Q8475218
Category:Fuji worship,Q9628054
"Category:Fuji, Shizuoka",Q6919684
"Category:Fujieda, Shizuoka",Q9378624
Category:Fujiidera,Q15525073
Category:Fujikawa River System,Q9628165
"Category:Fujikawaguchiko, Yamanashi",Q9628257
"Category:Fujimi, Saitama",Q9628302
"Category:Fujimino, Saitama",Q9438343
"Category:Fujinomiya, Shizuoka",Q9168525
"Category:Fujioka, Gunma",Q9377959
"Category:Fujisan, sacred place and source of artistic inspiration",Q18724159
Category:Fujisankei Communications Group,Q9514369
"Category:Fujisato, Akita",Q15615275
"Category:Fujisawa, Kanagawa",Q8475240
Category:Fujiwara Northern House,Q15473785
Category:Fujiwara Shikike,Q17501726
Category:Fujiwara Southern House,Q17150846
Category:Fujiwara clan,Q7034290
Category:Fujiwara no Fuhito,Q89409347
Category:Fujiwara no Hidesato,Q112153608
Category:Fujiwara no Kamatari,Q114041916
Category:Fujiwara no Michinaga,Q92758365
Category:Fujiwara no Mototsune,Q114041956
Category:Fujiwara no Nakamaro,Q114041930
Category:Fujiwara no Teika,Q18738440
Category:Fujiwara no Tokihira,Q114041935
Category:Fujiwara-kyō,Q18738439
Category:Fujiyoshida,Q9380228
Category:Fujizuka,Q18724154
Category:Fukagawa,Q10139242
"Category:Fukaya, Saitama",Q9378506
Category:Fuken-sha,Q9646117
Category:Fukko Shinto,Q61009556
"Category:Fukuchiyama, Kyoto",Q9377902
Category:Fukuhara Clan of Aki Province,Q9623432
Category:Fukui (city),Q6807966
Category:Fukui Domain,Q10225252
Category:Fukui Prefecture,Q5874090
Category:Fukui Prefecture designated tangible cultural property,Q97387938
Category:Fukui domain,Q10225252
Category:Fukui-Matsudaira clan,Q18713973
Category:Fukuoka,Q6527052
Category:Fukuoka Domain,Q10230580
Category:Fukuoka Kuroda Family,Q65648363
Category:Fukuoka Prefecture,Q6526579
Category:Fukuoka Prefecture designated tangible cultural property,Q125087362
Category:Fukuoka Prefecture related stubs,Q10230525
Category:Fukushima (city),Q8651094
Category:Fukushima Prefecture,Q6526574
"Category:Fukushima, Hokkaido",Q10231517
"Category:Fukushima-ku, Osaka",Q10230921
"Category:Fukutsu, Fukuoka",Q9379694
"Category:Fukuyama, Hiroshima",Q6807510
Category:Funabashi,Q6807498
Category:Functional music,Q131494322
Category:Fundamental Jurisprudence,Q18723304
Category:Funerals,Q7157016
Category:Funerary art,Q10237371
Category:Funerary texts in ancient Egyptian,Q7721447
Category:Furuichi Kofun Cluster,Q24872704
"Category:Fushimi-ku, Kyoto",Q9564571
"Category:Futaba, Fukushima",Q9589860
Category:Futami Town,Q28693666
Category:Futtsu,Q9379382
Category:GLAM (culture and information),Q113366523
Category:Gagaku,Q7269925
Category:Gakushuin University,Q9621777
Category:Gakushuin University alumni,Q8479827
"Category:Gamagōri, Aichi",Q9378631
Category:Gambling in Japan,Q8480322
Category:Gangō-ji,Q62029783
Category:Garden design history,Q111932210
Category:Garden design history of Japan,Q8582531
Category:Garden features,Q7186173
Category:Garden festivals by country,Q24882633
Category:Garden festivals in Asia by country,Q105317235
Category:Garden festivals in Japan,Q25075587
Category:Garden plants of Asia,Q7206956
Category:Gardening,Q6436606
Category:Gardening by country,Q8480793
Category:Gardening in Japan,Q8480798
Category:Gardens,Q7157161
Category:Gardens by country,Q6130069
Category:Gardens in Asia by country,Q62850054
Category:Gardens in Japan,Q6591768
Category:Gardens in Japan by prefecture,Q109202017
Category:Gardens in Kyoto Prefecture,Q8481011
Category:Gardens in Nara Prefecture,Q8481069
Category:Gardens in Tottori Prefecture,Q126439943
Category:Gardens in religion,Q8481224
Category:Gate performance,Q18741763
Category:Gates,Q6832338
Category:Gates by country,Q6546689
Category:Gates in Japan,Q8481535
Category:Gautama Buddha,Q7240253
Category:Gautama Buddha in art,Q25218390
Category:Gay culture,Q8031920
Category:Gaya confederacy people,Q8481761
Category:Gazetteers,Q6540503
Category:Geido,Q90558885
Category:Geiyo Islands,Q11300729
Category:Gendai budo,Q8481943
Category:Gender,Q6916101
Category:Gender and Buddhism,Q8481950
Category:Gender and Hinduism,Q8481952
Category:Gender and employment,Q91016580
Category:Gender and religion,Q6928090
Category:Gender and society,Q55528622
Category:Gender by continent,Q8481957
Category:Gender in Asia,Q8481965
Category:Gender in Japan,Q28459020
Category:Gendered occupations,Q25318211
Category:Genealogy,Q4965571
Category:Genealogy formatting templates,Q9120620
Category:Genealogy navigational boxes,Q119045615
Category:Generalissimos,Q8482198
Category:Generals,Q8086274
Category:Generals by nationality,Q6941895
Category:Generals of the Empire of Japan,Q65647121
Category:Generals of the Imperial Japanese Army,Q10170592
Category:Genkō War,Q15258499
Category:Genpei War,Q6479544
Category:Genres,Q7458013
Category:Genres by medium,Q6864690
Category:Genrō (Elder Statesmen of Meiji Japan),Q28928957
Category:Gensui (Imperial Japanese Army),Q65619756
Category:Geographic coordinate lists,Q8482471
Category:Geographic data and information fields of study,Q97119887
Category:Geographic literature,Q8482481
