Q16	Canada
Q11623940	Fujishima Shrine
Q11625202	Sogahime Shrine
Q11625386	Mushika Shrine
Q11625493	Kogaikuni Shrine
Q11626127	Gyōkyō
Q11631218	Kohata Shrine
Q11631426	Konda Hachimangū
Q11631781	Tsuki Shrine
Q11631810	Uketa Shrine
Q11632102	Morosugi Shrine
Q11632526	Goō Shrine
Q11632552	Sanuki Shrine
Q11632782	Yachi Hachimangū
Q11633343	Toyōke Daijingū
Q11634943	Kamo Wake-ikazuchi
Q11634952	Kamo Shrine
Q11635096	Meta Shrine
Q11635898	Akabo Shrine
Q11636084	Hashiriochi Shrine
Q11637069	Ashitaka Shrine
Q11639721	Hayatani Shrine
Q11642725	Namesa Shrine
Q11642755	Nahaka Shrine
Q11643470	Tsukubusuma Shrine
Q11643869	Tsutsukowake Shrine
Q11644289	Sakatsura Isosaki Shrine
Q11644305	Sakatare Shrine
Q11644372	Sakemi Shrine
Q11646130	Nomi Shrine
Q11646210	Noma Shrine
Q11646520	Kongō-ji Temple
Q11647032	Kinbō Shrine
Q11647043	Kanegasaki-gū
Q11647974	Kanasana Shrine
Q11648178	Haritsuna Shrine
Q11649828	Erehiko Shrine
Q11650775	Kuwayama Shrine
Q11653283	Nagahama Hachimangū
Q11653682	Hasedera (Nagano)
Q11654831	Nagano Gokoku Shrine
Q11655187	Aguchi Shrine
Q11656182	Seki Semimaru Shrine
Q11657135	Akuto Shrine
Q11657213	Akiru Shrine
Q11657364	Abushina Shrine
Q11657481	Ahita Shrine
Q11657490	Awawa Shrine
Q11657523	Awayamanoueno Shrine
Q11657591	Ai Shrine
Q11657607	Aki Shrine
Q11657681	Azusami Tenjinsha
Q11657682	Azura Shrine
Q11657692	Aga Shrine
Q11657712	Achihayao Shrine
Q11657713	Ajika Shrine
Q11657965	Abeno Shrine
Q11658015	Amamikoso Shrine
Q11658473	Suearata Shrine
Q11659204	Oyama Shrine
Q11659237	Ogami Shrine (Tonami City)
Q11659243	Yugun Shrine
Q11660718	Ryōzen Shrine
Q11663648	Shizu Shrine
Q11663686	Shizuoka Gokoku Shrine
Q11664501	Susa Shrine
Q11664502	Susa Shrine
Q11664504	Sube Shrine
Q11664606	Suhama Shrine (Daito, Osaka)
Q11664846	Suzu Shrine
Q11665959	Asuka-ni-imasu Shrine
Q11665970	Asukabe Shrine
Q11665977	Asukada Shrine
Q11666643	Ii Shrine
Q11666826	Yagi Shrine
Q11666856	Yabu Shrine
Q11667602	Kawara Shrine
Q11667717	Karasu Shrine
Q11668076	Umajiisobe Shrine
Q11668370	Komagata Shrine
Q11669105	Takamefu Shrine
Q11669186	Takabe Shrine
Q11669904	Takakura Shrine
Q11669906	Takakuramusubimiko Shrine
Q11670742	Takahashi Shrine
Q11671904	Takataki Shrine
Q11671973	Takase Shrine
Q11672161	Takadahasagi Shrine
Q11672588	Takashino Shrine
Q11672660	Takasu Shrine
Q11673295	Takakamo Shrine
Q11674000	Uonuma Shrine
Q11674156	Ayukai-hachimangū
Q11675030	Chōkai Gassan Ryōsho-gu
Q11675600	Kamo Shrine (Sakaide)
Q11675602	Kamo Shrine
Q11675603	Kamonaraita Shrine
Q11675614	Kamotsuba Shrine
Q11675698	Usaka Shrine
Q11676981	Kagoshima Shrine (Tarumizu City)
Q11676983	Kagoshima Shrine
Q11677110	Kashima Amatarashi Wake Shrine
Q11677124	Kashima Miko Shrine
Q11677253	Rokuon Shrine
Q11678192	Kuroshima Shrine
Q11679017	Hanabushi Shrine
Q11753321	Wikimedia navigational template
Q11801374	sign
Q11920728	left
Q11946202	butterfly
Q12021746	interrogative
Q12056846	national seal
Q12139612	list
Q12617225	religious literature
Q12734727	continuous pluperfect
Q12738495	present perfect continuous
Q12743436	future continuous
Q12847814	Embassy of Japan, Baku
Q12859294	Pakistani English
Q12893838	order
Q13219454	Library of Congress Authorities
Q13361017	Template:Infobox Shinto shrine
Q13382529	WikiProject Human rights
Q13406463	Wikimedia list article
Q13414913	Simplified Chinese
Q13414953	religious denomination
Q13423964	names of Japan
Q13426199	Republic of China
Q13579879	Kadono district
Q13635410	Project:Accounts
Q13733566	irreversibility
Q14191166	Template:Infobox literary work
Q14352895	Template:JapanEmpireNavbox
Q14360537	Wikipedia:Text of the GNU Free Documentation License, version 1.2
Q14398409	Template:Rikkokushi
Q14399019	Template:Shinto
Q14552828	member of the House of Councillors
Q14946043	Creative Commons Attribution-ShareAlike 3.0 Unported
Q14946528	conflation
Q15138389	Wikimedia article page
Q15140392	founding member
Q15229227	Consulate-General of Japan, Detroit
Q15407973	Wikimedia disambiguation category
Q15530181	Chrysanthemum morifolium
Q15554355	Japan–Laos relations
Q15623926	Wikimedia set index article
Q15633578	MediaWiki.org
Q15633587	MediaWiki main namespace page
Q15647814	Wikimedia administration category
Q15720608	Wikidata qualifier
Q15727301	Japan 2010 Census
Q15732177	Ingles
Q15732187	Englisch
Q15884604	WikiProject Anthroponymy
Q15884900	WikiProject Shinto
Q15942181	Japan–Paraguay relations
Q15944624	Japan–Uruguay relations
Q15948896	Japan–New Zealand relations
Q15949017	Bhutan–Japan relations
Q15949091	Brunei–Japan relations
Q15987490	1922 Encyclopædia Britannica
Q16082057	The New Student's Reference Work
Q16136913	signified and signifier
Q16482760	125 Shrines of Ise
Q16537202	list of literary works
Q16583225	Nuovo soggettario
Q16639816	The Signpost
Q16835196	Empire of Japan–Russian Empire relations
Q16859884	Q16859884
Q16868672	whole
Q16889133	class
Q16958215	iNaturalist
Q16960686	Dictionary.com
Q17191063	Akita Suwa-gū
Q17191186	Asakuma Shrine
Q17191190	Asakura Shrine
Q17191305	Ashihara Shrine
Q17191369	Asō Shrine
Q17191533	Ato Shrine
Q17191844	Amenohohinomikoto Shrine
Q17191921	Arata Shrine
Q17192448	Awamiko Shrine
Q17192747	Iina Shrine
Q17193235	Ichitani Munakata Shrine
Q17194134	Usunono Shrine
Q17208829	1991 Japanese Recession
Q17209196	Naru Shrine
Q17209205	Saminaga Shrine
Q17209206	Kawara Shrine
Q17209232	Kawarabuchi Shrine
Q17209329	Twenty-five Sacred Sites of Sugawara no Michizane
Q17211507	Tatenui Shrine (Miho, Ibaraki)
Q17211721	Mike Shrine
Q17212120	Tanoe and Tanoe-Mimae Shrines
Q17212285	Shitomi Shrine
Q17212913	Shima Shrine
Q17214144	Kugutsuhime Shrine
Q17214615	Mifune Shrine
Q17214737	Kunitsumioya Shrine
Q17215982	Tsunaga Shrine
Q17216581	Wakarai Shrine
Q17216962	Shigariwake Shrine
Q17216999	Utari Shrine
Q17217272	Munakata Shrine (Kita-ku, Okayama)
Q17217329	Utsumochi Shrine
Q17217367	Unakorowake Shrine
Q17218056	Hokura Shrine
Q17218111	Mountain Day
Q17218394	Ino Tenshō Kōtai Jingū
Q17218865	Sugihara Shrine
Q17218974	Awa-no-Mikoto Shrine
Q17218980	Kushi iwamado Shrine
Q17219569	Mononobe Shrine
Q17220808	Keta Shrine
Q17220848	Karai Shrine
Q17220856	Shidori Shrine (Isesaki)
Q17221549	Okuni Shrine
Q17221560	Yashirogi Shrine
Q17222452	Oda Shrine (Ibaraki)
Q17222702	Otsuchi Mioya Shrine
Q17223392	Ōmizu Shrine
Q17223476	Kazama Shrine
Q17223513	Yamazue Shrine
Q17223553	Kashimamiko Shrine
Q17224057	Hikino Shrine
Q17224770	Sakatekunari Shrine
Q17225577	Himi Shrine
Q17225745	Kano Shrine
Q17225818	Yuta Shrine
Q17225876	Sasutahiko Shrine
Q17225914	Takaoshihime Shrine
Q17225921	Ono Shrine
Q17225978	Obata Shrine
Q17225991	Satakunari Shrine
Q17226082	Hiyoshi Sannō-sai
Q17226111	Ohari Shrine
Q17226307	Takatsumi Shrine
Q17226760	Kamoshimo Shrine
Q17226771	Kamo Shrine (Tamaki)
Q17226795	Sana Shrine
Q17226924	Kai Shrine (Yamatokoriyama)
Q17227113	Nagahatabe Shrine
Q17228003	Ojiharina Mawakahime Shrine
Q17228197	Kawara Shrine
Q17228263	Gifu Kenmin no Uta
Q17228323	Kusanagi Shrine
Q17228379	Kuronuma Shrine
Q17229062	Takihara Shrine
Q17229063	Takimatsurinokami
Q17229120	Tanoe-Ōmizu Shrine
Q17229202	Tsurugitachi Iwato Kowake No Mikoto Shrine
Q17229311	Toga Shrine
Q17229499	Nagusa Shrine
Q17229533	Kuchira Shrine
Q17229562	Niu Shrine
Q17308006	island of Japan
Q17334923	physical location
Q17351725	China–Japan border
Q17351791	Japan–Philippines border
Q17351792	Japan–South Korea border
Q17351793	Japan–Taiwan border
Q17351794	Japan–United States border
Q17442446	Wikimedia internal item
Q17489659	group of works
Q17506823	member of the House of Representatives of Japan
Q17781833	destruction
Q17988632	Iinotakamiya-kouyama Shrine
Q18020976	East Timor–Japan relations
Q18054963	The 25 Shrines of Rakuyo Tenmangu
Q18130932	Traditional Chinese
Q18199165	Creative Commons Attribution-ShareAlike 4.0 International
Q18336371	BBC Things
Q18336610	E Shrine
Q18337174	Sonai Shrine
Q18377941	Japan–Mexico relations
Q18457625	Mount Yoshida
Q18700952	Onmae Street
Q18728808	Category:Shikinaisha in Mimasaka Province
Q18728857	Category:Shikinaisha in Mino Province
Q18737499	Category:Shikinaisha in Hizen Province
Q18737502	Category:Shikinaisha in Higo Province
Q18737552	Category:Shikinaisha in Noto Province
Q18737997	Category:Shikinaisha in Wakasa Province
Q18738392	Category:Shikinaisha in Satsuma Province
Q18739268	Category:Shikinaisha in Sanuki Province
Q18739312	Category:Shikinaisha in Buzen Province
Q18739370	Category:Shikinaisha in Bungo Province
Q18739554	Category:Kifune-jinja
Q18739678	Category:Shikinaisha in Etchū Province
Q18739682	Category:Shikinaisha in Echizen Province
Q18739707	Category:Shikinaisha in Echigo Province
Q18739987	Category:Shikinaisha in Ōmi Province
Q18740386	Category:Shikinaisha in Tōtōmi Province
Q18741757	Category:Shikinaisha in Nagato Province
Q18742068	Category:Shikinaisha in Awa Province (Tokushima)
Q18742150	Category:Shikinaisha in Mutsu Province
Q18742175	Category:Shikinaisha in Oki Province
Q18742911	Category:Shikinaisha in Hida Province
Q18743296	Category:Shikinaisha in Suruga Province
Q18920730	Japan–Sweden relations
Q18989938	Asamine Shrine
Q18991294	Ono Shrine (Nankoku)
Q18991452	Kasoyama Shrine
Q18991490	Katsurakio Shrine
Q19047539	Collier's New Encyclopedia, 1921
Q19077875	The American Cyclopædia
Q19180675	Small Brockhaus and Efron Encyclopedic Dictionary
Q19219752	Meyers Konversations-Lexikon, 4th edition (1885–1890)
Q19376100	Embassy of Japan, Oslo
Q19478619	metaclass
Q19483216	organizational behavior studies
Q19798642	Wikibase value
Q19826574	English Wikivoyage
Q19841356	Housono Shrine
Q19938912	BnF authorities
Q20024816	Japan–Peru relations
Q20042053	foundation of Japan
Q20042898	Akaba Shrine
Q20043474	Omura Shrine
Q20043641	Kashima Amatarashiwake Shrine
Q20044233	Korizu Shrine
Q20078554	Great Soviet Encyclopedia (1926–1947)
Q20162172	human language
Q20472817	future perfect continuous
Q20923490	multiple languages
Q20991545	Q20991545
Q20991546	Q20991546
Q21019665	Osake Shrine
Q21019704	Yamaguni Shrine
Q21027609	source of statements in Wikidata
Q21094424	Atlas of Japan
Q21146257	type
Q21167586	gray–green orthographic projections maps
Q21441764	withdrawn identifier value
Q21480582	Japan–Monaco relations
Q21484471	Wikimedia article covering multiple topics
Q21540096	World Bank Open Data
Q21654507	Futagami-yama Shrine (Tottori Prefecture)
Q21655259	Odai Agata Shrine
Q21655261	Yama Shrine
Q21655262	Tono Shrine
Q21655264	Ikazuchi Shrine
Q21655266	Wakaikaho Shrine
Q21829890	WikiProject East Asia
Q22001659	Q22001659
Q22075476	active user
Q22099166	Q22099166
Q22117831	Ionoi Shrine
Q22117854	Isagawa Shrine
Q22117916	Inasaki Shrine
Q22118078	Ōga Shrine
Q22118306	Katsuragi Mikumari Shrine
Q22119431	hikida Shrine
Q22119448	Tsuge Mikumari Shrine
Q22119690	Toyooka Kami Tenjinsha
Q22119789	Nagara Shrine
Q22119986	Hachita Shrine
Q22120157	Fūhaku Shrine
Q22120305	Homori Shrine
Q22120898	Wakeoe Shrine
Q22733887	Template:Religious books
Q22808320	Wikimedia human name disambiguation page
Q22828397	Q22828397
Q22961440	Volume 322 of History of Ming
Q22981376	Help:Disambiguation
Q23014481	English
Q23038436	Category:Chinese Wikipedia
Q23038502	Q23038502
Q23301814	Archaeology & Language
Q23580217	European English
Q23586020	Japan–Malta relations
Q23663136	past perfect
Q23902480	Japan 2015 Census
Q23958852	variable-order class
Q23959932	fixed-order class
Q23986557	Wikipedia: The Missing Manual
Q24005632	descriptive page and disambiguation page have to be in different items
Q24017465	third-order class
Q24288454	NEMA 1-15
Q24288456	NEMA 5-15
Q24358975	Q24358975
Q24469027	Q24469027
Q24469030	Q24469030
Q24469034	Q24469034
Q24469039	Q24469039
Q24469044	Q24469044
Q24469057	Q24469057
Q24469060	Q24469060
Q24469066	Q24469066
Q24469070	Q24469070
Q24469073	Q24469073
Q24469078	Q24469078
Q24511007	Q24511007
Q24733132	Q24733132
Q24736964	Q24736964
Q24755546	Q24755546
Q24817459	Template:Set category
Q24861732	Category:Sumiyoshi-taisha
Q24862411	Yōgō no Matsu
Q24863642	Ame-no-Toyotarashikara-hime-no-mikoto Shrine
Q24864064	Kushirokahime Shrine
Q24864985	Oiso Shrine
Q24865035	Umamioka Watamuki Shrine
Q24865198	Kasuga utsushi
Q24870457	Yabuta Shrine
Q24870597	Anaishi Shrine
Q24871075	Sasa Shrine
Q24871378	Iwaki Jinja
Q24874608	Kamisumuji Shrine
Q24876134	Shimada Shrine
Q24876393	Mioya Shrine
Q24895931	Gifu prefectural government
Q24898358	Yoshida Shrine
Q24923851	Q24923851
Q25376781	Q25376781
Q25394028	reversibility
Q25648823	110
Q26214163	all days of the week
Q26458772	Japan–Syria relations
Q27909237	Engelsk
Q27909397	Ängelsk
Q28378282	verified account or profile
Q28415786	Three Greats
Q28527677	Open ISNI for Organizations
Q28532411	Japan–Solomon Islands relations
Q28682729	Kisa Shrine
Q28682730	Akunami Shrine
Q28682737	Nahe Shrine
Q28682738	Kataoka Shrine
Q28684010	Hyōsu Shrine
Q28685016	Shitori Shrine
Q28685121	Uneotsutamoto Shrine
Q28688501	Kenuki-gata tachi at Ise Shrine
Q28690058	Kasumekentou Shrine
Q28690200	Atsuwa Shrine
Q28691797	Ibe Iwakura Shrine
Q28693031	Shizuhi Shrine
Q28693184	Wakae Kagami Shrine
Q28719439	Japan–Norway relations
Q28959682	The Chicago Manual of Style (15th edition)
Q28962310	rarely
Q28962312	often
Q29051543	0 International
Q29428439	hexad
Q29509043	official
Q29584283	Shinto (Infobase Publishing)
Q29841191	Ōharano
Q29868931	Embassy of Japan, Beijing
Q29933858	territorial claim
Q29950498	Q29950498
Q30450179	Wiktionary:About English
Q30511862	Template:categorize
Q30834580	Historic Site of Japan
Q30925534	Ikan Shrine
Q30925653	Taimasan Shrine
Q30933141	Fukakusa
Q30935892	Onikirimaru
Q31967286	Name
Q32803935	Category:English-language animated films
Q33002955	knowledge graph
Q34630090	exit
Q34651138	Q34651138
Q34908331	Takami River
Q35487342	Kibune River
Q36509592	wiki with script conversion
Q37866906	information resource
Q38278473	Hahime Shrine
Q38278496	Kagamitsukuri Nimasu Amateru Mitama Shrine
Q38278497	Musanimasu Shrine
Q39893449	exact match
Q40426579	SVG locator maps with red and pink scheme
Q40665586	Titul
Q42104522	Wikimedia category (disambiguation)
Q42722531	Wikimedia REST API
Q43113623	part of UNESCO World Heritage Site
Q43594535	Ōmi Kunitama Shrine
Q43594557	Kunigami Shrine
Q43594590	Ikenimasu Asagiri Kihatahime Shrine
Q43594603	Yamato Onchi Shrine
Q43594607	Kagamitsukurimake Shrine
Q43594611	Hobata Shrine
Q43594637	Inashironimasu Shrine
Q43594646	Takechino Miagata Shrine
Q43594654	Hahō Shrine
Q43594663	Ōnamochi Shrine
Q43594869	Hime Shrine (Nanto City)
Q43594910	Iwakura Shrine
Q43594918	Kataoka Shrine
Q43594929	Katayama Shrine
Q44080056	Q44080056
Q44475767	Consulate-General of Japan in Vladivostok
Q44770661	Embassy of Japan, Madrid
Q45123628	Consulate-General of Japan, Barcelona
Q47005769	national estimation
Q47005776	UIS estimation
Q47008743	SVG locator maps (globe location map scheme)
Q47013110	Embassy of Japan, Brasília
Q47018901	calendar month
Q47068479	Consulate-General of Japan, São Paulo
Q47088290	masculine singular
Q47088292	masculine plural
Q47088293	feminine singular
Q47088295	feminine plural
Q47183836	Draft History of Qing, volume 158
Q47303831	Project:Discord
Q47461344	written work
Q48552277	Commons Institution page
Q48707863	Embassy of Japan, Ankara
Q48754475	Iwato Wake Shrine
Q48755655	Kokuwakura Shrine
Q48757073	Tada Shrine (Tabuto Shrine)
Q48758315	Hanoura Shrine
Q48758325	Okanoue Shrine
Q48758380	Hayasame Shrine
Q48758383	Toyokuni Shrine
Q48758430	Yahoko Shrine
Q48758503	Kotoshironushi Shrine
Q48759389	Mimatsuhiko Shrine
Q48759404	Takeminatomi Shrine
Q48762570	Karakuni Shrine
Q48763696	Oshisaka Yamaguchi Numasu Shrine
Q48763725	Minushi Shrine
Q48842611	Japan–Poland relations
Q48937186	word or phrase
Q49387431	Q49387431
Q50081413	Wikipedia article page
Q50423863	copyrighted
Q50897150	Dicionario da Real Academia Galega (ed.dixital 2012)
Q51103327	Thousand Torii Gates
Q51199690	governor of Gifu Prefecture
Q51929218	first-person singular
Q51929290	first-person plural
Q51929369	second-person singular
Q51929403	second-person plural
Q51929517	third-person plural
Q52269333	literary hexalogy
Q52431955	third-person masculine singular
Q52431970	third-person feminine singular
Q52433289	third-person neuter singular
Q53409818	MediaWiki Action API
Q53540235	four main islands of Japan
Q54153253	Onsen Shrine
Q54153260	Takachiniimasu Shrine
Q54153261	Kamo Shrine
Q54153262	Mizushi Shrine
Q54153263	Tsukiyomi Shrine
Q54153264	Tanakurahiko Shrine
Q54153270	Mitsue Shrine
Q54153271	Kushitamanomikoto Shrine
Q54153272	Amenotakechi Shrine
Q54153274	Oshisaka Nimai Sukune Shrine
Q54153276	Karukomuranimasu Shrine
Q54153279	Kitashita Shrine
Q54506313	GND ID
Q54760023	Media Arts Database
Q54856619	ASC Leiden Thesaurus dataset of 5 June 2018
Q55522429	Idedera-ato
Q55532282	Saguri Shrine
Q55532347	Tonoki Shrine
Q55533377	Hakken-gū
Q55536799	Ikaga Shikoo
Q55540317	Ōmunaji Shrine
Q55540540	Shidori Shrine
Q55541642	Sato Shrine (Hitachiota)
Q55587924	Q55587924
Q55810762	06:00
Q55811413	09:00
Q55811431	07:00
Q55811883	17:00
Q55811949	18:00
Q55812694	20:00
Q56005592	Wikimedia help page
Q56259222	Category:Iwashimizu Hachimangu
Q56273160	Typhoon Jebi
Q56352076	Sawawachigi Shrine
Q56352306	alternative spelling
Q56650537	past continuous
Q56650909	Hong Kong Chinese Authority Name
Q58370623	private account
Q58439442	misreading of source
Q59282584	Nagakura Shrine
Q59282586	Shikinai Tatehara Shrine
Q59282622	Awa Shrine (Oyama)
Q59282636	Hokotsuki Shrine
Q59282644	Takagi Shrine
Q59541917	Wikimedia topic category
Q60005226	WikiProject Ontology
Q60024037	Lingua Libre
Q60988165	Hazu Shrine
Q60988459	Kamo Yamaguchi Shrine
Q60994492	amatsukami
Q60995523	kunitsukami
Q61058050	Omiashi Shrine
Q61941037	e-Stat
Q62024871	UDC: Universal Decimal Classification. Standard edition. Volume 1 - Systematic tables
Q62056170	Arei Shrine
Q62104270	Q62104270
Q62338567	Japan Search
Q63147912	Ubushina Shrine
Q63147962	Sumiyoshi Shrine
Q63147976	Samakumine Shrine
Q63147989	Futamata Shrine
Q63148006	Ogura Shrine
Q63284758	Desktop Encyclopedic Dictionary
Q63285941	Asia/Tokyo
Q63346110	New History of Yuan, Vol.250
Q63411600	Bibliography of the History of the Czech Lands
Q63860166	creator who is not dead
Q63891076	Ogura Shrine
Q63891125	Amayukawata Shrine
Q63981812	Shiki no Miagata Nimasu Shrine
Q64139102	KBpedia
Q64159407	Aligned ISNI and Ringgold identifiers for institutions
Q64549097	category
Q64589704	Tuishi
Q64969614	Futami Okitama Shrine
Q65199218	borders of Japan
Q65257824	Tour of the Seven Lucky Fortunes and Eight Treasures of Yamato
Q65259139	Iwafune Shrine, Konan
Q65277311	Hata no Irogu
Q65277444	Tateyama Shrine
Q65278999	Hazukashi Shrine
Q65281634	Three Hachiman Shrines of Gyōkyō
Q65498694	Yanahime Shrine
Q65733117	Category:French Wikipedia
Q66085126	Hanashiyama Shrine
Q66085127	Kamo-Ōkami-miko-kami-nushi-tama Shrine
Q66088085	Kasuga-Taisha and Kasugayama Primeval Forest
Q66105394	Obusuma Shrine
Q66386517	Small Soviet Encyclopedia
Q66480449	Wikimedia surname disambiguation page
Q66481470	Q66481470
Q66606845	shamusho
Q66661745	group of artificial physical objects
Q66724591	non-English
Q66890725	Tenjin faith
Q67060607	Japan
Q67125514	deprecated identifier value
Q67151552	default
Q67200466	Iko-no-hayamitama Hime-no Shrine
Q67989816	Araho Shrine
Q68537489	Mika Shrine (Misato town, Saitama)
Q69344711	Kawawa Shrine (Misato town, Saitama)
Q69870042	health facility design and construction
Q70203929	Kuwabara Shrine
Q71016606	Golden
Q71533355	most recent value
Q71536244	currently valid value
Q71538638	most frequent value
Q72727981	Nagahatabe Shrine
Q74834637	adjective-noun
Q75488338	Language
Q76630151	WorldCat Identities
Q79370444	Sumiyoshi
Q80096233	Wikimedia information list
Q81661634	Gazetteer
Q83230308	hereditary office
Q83745292	entrance
Q83886404	Karakawa Shrine
Q84087675	Dizionario di Storia
Q84646722	1911 Encyclopædia Britannica/Name
Q84647692	1911 Encyclopædia Britannica/Hierarchy
Q84665032	1911 Encyclopædia Britannica/Japan
Q84690498	1911 Encyclopædia Britannica/English Language
Q84969419	Category:English pronunciation
Q85413430	Q85413430
Q85418882	Q85418882
Q85418884	New Book of Tang, Vol.220
Q85435774	History of Yuan, Vol.208
Q85593661	Hyōzu Shrine
Q85878469	keidai-sessha
Q85878507	Sumisaka Shrine
Q85878781	Oyamada Shrine
Q85879982	Kawaai Shrine
Q85881759	Higanotome Shrine
Q85881839	Q85881839
Q85882705	Iwai Shrine
Q85882964	Inatori Shrine
Q85884332	Aguma Shrine
Q85884553	Akitomi Shrine
Q85940254	unclaimed Trustpilot business
Q86851716	Q86851716
Q87333663	Q87333663
Q87337597	Q87337597
Q87433102	Niwata Shrine
Q87853305	Ii Shrine
Q88535800	Uchi Shrine
Q88743768	Category:Rikkokushi
Q89345680	YSO-Wikidata mapping project
Q89410507	name without diacritical marks
Q90177495	does not always apply
Q90405608	FactGrid
Q92056121	migration of website from HTTP to HTTPS
Q92443788	Heda Shrine
Q92451762	Tsurugi Shrine (Hofu)
Q92656496	Hata no Tori
Q92754822	Template:Shinto2
Q95449814	CC 6
Q95932360	Futaarayama Shrine
Q96036107	tourism slogan
Q96401497	religious precinct
Q96584302	alternative
Q96594976	Q96594976
Q96599316	Q96599316
Q97153912	data.go.jp
Q97206855	Ozu Shrine
Q97220447	Heguri Shrine
Q97276772	Yamadai Shrine
Q97361976	fictional kami
Q99018632	group of geographic locations
Q99196082	court rank in Japan
Q99221192	Catholic Encyclopedia (1913)/Japan
Q99469810	type of fixed-size set or group
Q100464312	Naka Shrine (Matsuzaki)
Q100551246	Taku Shrine
Q100863548	economy of Gifu prefecture
Q101069514	embassy of Japan, Budapest
Q101314624	Lean Logic
Q101608434	dark-on-light color scheme
Q104061132	Kamitani-tachi-no-Miya
Q104086571	first-order class
Q104236688	Category:Views of Japan from above
Q104660635	Kannabi Shrine (Fuchu city, Hiroshima)
Q105264748	2020 Democracy Index
Q105265074	canonical tag
Q105631494	bad Mix'n'match match
Q105691438	Minamo
Q105769095	conventional date
Q105770631	English Wikipedia article
Q105771507	inferred from language in work
Q105849251	Sarashina Shrine
Q106388142	Araya Yama Shrine
Q106509962	National Library of Israel Names and Subjects Authority File
Q106727050	Metropolitan Museum of Art Tagging Vocabulary
Q106852481	Sakaki Shrine
Q106852498	Shikinagayoshi Shrine
Q106852596	Okada Shrine
Q106852645	Nagakura Shrine
Q107016745	Japanese Database of National Cultural Properties
Q107020405	Main Shrine, Nishi-hongū, Hiyoshi Taisha
Q107020407	Main Shrine, Higashi-hongū, Hiyoshi Taisha
Q107020415	Sumiyoshi-taisha Daiyon-honden
Q107020416	Sumiyoshi-taisha Daiichi-honden
Q107020417	Sumiyoshi-taisha Daini-honden
Q107020418	Sumiyoshi-taisha Daisan-honden
Q107020439	Haiden, Izumo Takeo Shrine, Isonokami Shrine
Q107020440	Haiden, Isonokami Shrine
Q107020449	Q107020449
Q107020450	Q107020450
Q107020468	Q107020468
Q107020469	Q107020469
Q107020553	Q107020553
Q107020554	Q107020554
Q107020555	Q107020555
Q107020556	Q107020556
Q107020557	Q107020557
Q107020558	Q107020558
Q107020559	Q107020559
Q107020560	Q107020560
Q107020561	Q107020561
Q107020562	Q107020562
Q107020571	Main Shrine, Kitano-tenmangu
Q107020629	Yasaka Shrine Honden
Q107026784	Kotenseki
Q107046845	Jōkyū-bon
Q107240613	Jingushicho
Q107297935	Himesaka Kanachiana Shrine
Q107306769	Amino Shrine
Q107316855	additional tag
Q107356532	obsolete
Q107507571	OpenAlex
Q107523790	The Chicago Manual of Style (17th edition)
Q107569025	MediaWiki REST API
Q107664337	Takano Shrine (Kyotango)
Q107765431	Template:2257
Q108004008	1922 Encyclopædia Britannica/Japan
Q108109790	Govdirectory
Q108172170	no diacritics in source
Q108704490	polytheistic religion
Q109110299	Q109110299
Q109288410	Yoshihide Esaki
Q109527829	Gendai Kanazugai
Q109527857	kokuji
Q109569797	Category:English Wikipedia
Q109665899	Uhashi Shrine
Q110169000	type of literary work
Q110484020	writing
Q110646418	wrong property
Q110879013	2021 Democracy Index
Q110915761	Inane Shrine
Q111076400	Nasu Yuzen Shrine
Q111269921	Hinatano Shrine
Q111333730	Ootomo Shrine
Q111374476	Ikama Shrine
Q111386419	Q111386419
Q111475732	Japan 2020 Census
Q111495856	Uwato Shrine
Q111541459	Category:Kitano Tenman-gū
Q111674494	Shidori Shrine (Nirasaki)
Q111678803	state-affiliated X account
Q111911970	Belizean English
Q111972893	type of structure
Q112258758	GF WordNet
Q112619903	non-standard format
Q112669601	English Wikipedia community
Q112779246	Q112779246
Q112953068	Maruko Shrine Sengen Shrine
Q114352780	Q114352780
Q114352821	Q114352821
Q114567052	Shinto studies
Q114785038	official member page
Q114796497	Q114796497
Q115123216	Open Culture / GLAM Glossary
Q115519772	Taga Shrine (Atami)
Q115539084	Historika Wiki
Q115740129	Ikomayamaguchi Shrine
Q115748481	Kudo Shrine
Q115920372	CiNii Research
Q116474095	type of work of art
Q116658403	religious book
Q116694076	Morokuchi Shrine
Q116763049	Submission
Q116908814	Q116908814
Q117091796	Ugusu Shrine
Q117097275	Taniya Shrine
Q117138364	Araki Shrine (Izunokuni)
Q117351898	ordinary local public entity
Q117848511	Akaruhimenomikoto Shrine
Q117955056	NDL Search
Q118105171	Toshi Shrine
Q118134102	not all instances of the item are instances of the value class
Q118179251	Q118179251
Q118521146	Project:Disambiguation
Q118555179	MediaWiki non-main namespace page
Q118559258	MediaWiki category namespace
Q118645058	inferred by common MeSH mappings on source and on Wikidata
Q118645236	UMLS 2023
Q119929432	Takebuyama Shrine
Q119929573	Hikokorozashi Shrine (Hokuto)
Q119929616	Hamana Sōsha-shinmeigū
Q119929619	Karuno Shrine
Q119929626	Toi Shrine
Q119929629	Hamamatsu Hachimangu
Q119929663	Hegurinoiwatoko Shrine
Q119929664	Unkanjiniimasunaramoto Shrine
Q119929665	Funayama Shrine
Q119929666	Igami Shrine
Q119929667	Mikushi Shrine
