Q17	Japan
Q131274501	Hachiman Shrine
Q131275526	Chikado Shrine (Maebashi)
Q131275527	Akagi Shrine
Q131275528	Akagi Shrine
Q131275529	Hotaka Shrine
Q131275530	Haruna Shrine (Numata City)
Q131275531	Azuma Shrine (Nakanojo)
Q131275532	Suga Shrine
Q131275533	Karashina Shrine (Takasaki)
Q131275534	Kuragano Shrine
Q131288332	Keijo Gokoku Shrine
Q131377556	Hie Shrine
Q131431787	Yasaka Shrine
Q131456780	Tomi Shrine
Q131457464	Category:Shrine name signs in Japan
Q131457591	Category:Shrine name signs in Fukuoka prefecture
Q131584091	Kamo Shrine (Tottori Nanbu)
Q131611928	Nakayama Shrine (Daisen)
Q131675902	Hakuto Shrine
Q131765801	Kamo Shrine
Q131839138	Naganuma Shrine
Q131900982	Yasaka Shrine
Q131900983	Tenjin-sha
Q131900984	Suwa Shrine
Q131900985	Kuizusha
Q131900986	Atagosha
Q131900987	Washi Shrine
Q131900988	Washi Shrine
Q131900989	Washi Shrine
Q131900990	Yokonuma Shrine (Kazo)
Q131900991	Yasaka Shrine
Q131900992	Katori Shrine
Q131900993	Washinomiya Shrine
Q131900994	Raiden Shrine
Q131900995	Yasakasha
Q131900996	Mitake Sha (Kazo)
Q131900997	Hie Shrine
Q131900998	Togawa Shrine (Kazo)
Q131900999	Tenjin-sha
Q131901000	Tsūden Shrine
Q131901001	Chikata Shrine
Q131901002	Suwa Shrine
Q131901003	Shinmei-sha
Q131901004	Kumanosha
Q131904469	Nanporo Shrine
Q131904921	Shiratori Shrine
Q131919556	Kasuga Shrine
Q131919961	Suehiro Shrine
Q131924351	Mishimada Shrine
Q131925931	Minakami Shrine
Q131925932	Chiyo Shrine
Q131925936	Mitaka Shrine
Q131925938	Kaimukura Sumiyoshi Shrine
Q131925939	Omiya Shrine
Q131925942	Hihayo Tenjin Shrine
Q131925945	Soga Shrine (Omitama)
Q131925946	Hakusan Shrine
Q131925947	Mishima Shrine
Q131932258	Kumaku Shrine
Q131983791	Shinmei Shrine
Q132041785	Suwa Shrine
Q132125268	Mishima Shrine
Q132125269	Mishima Shrine
Q132125270	Izumi Shrine
Q132125271	Mishima Shrine
Q132125272	Kumano Gu (Kodaira)
Q132147004	Hachiman Shrine
Q132188921	Komiya Shrine (Taga)
Q132452552	Kitano Shrine (Nagoya)
Q132560822	Fujitake Shrine
Q132658851	Seki Shrine
Q132681293	Hachiman Shrine
Q132717057	Inari Shrine
Q133268988	Ichikishiri Shrine
Q133286548	Shinmei Shrine
Q133871968	Heguri Shrine
Q133940165	Hinamajihimemikoto Shrine
Q134054098	Kawabata Daijingū
Q134286164	Tsushima Shrine
Q134392373	Asora Hachimangū
Q134405808	Ōhachiga Shrine
Q134598987	Chiba Gokoku Shrine
Q134734210	Numata Shrine
Q134734429	Sōzō Shrine (Ueda City)
Q134879850	Kaminakazato Shrine
Q134886003	Akagi Shrine
Q134886128	Yasaka Shrine
Q134886178	Hachiman Shrine (Kawagoe)
Q134886179	Hakusan Shrine (Masugata, Kawagoe)
Q134886181	Hikawa Shrine (kawagoeshisenbamachi)
Q134886331	Hachiman Shrine (Yamada, Kawagoe)
Q134886377	Inari Shrine (kumagayashikoezuka)
Q134886507	Inari Shrine (kōnosushijōege)
Q134886642	Hikawa Shrine
Q134886663	Hikawa Shrine (Kawagoe)
Q134886666	Hie Shrine
Q134886989	Hachiman Shrine
Q134887071	Nireyama Shrine
Q134887160	Hakusan Shrine
Q134887161	Hikawa Shrine (Kugedo, Kawagoe)
Q134887295	Hanyū Gokoku Shrine
Q134887322	Inari Shrine (Kawagoe)
Q134888232	Sugata Shrine
Q134888243	Kushitama-hime-no-Mikoto Shrine
Q134888252	Mishima Shrine
Q134888254	Tajikarao Shrine (Ogaki)
Q134888875	Akada Shrine
Q134888881	Hie Shrine
Q134888891	Kushitamahime-no-Mikoto Shrine
Q134888898	Kai Shrine (Kinokawa)
Q134891803	Nopporo Shrine
Q134891804	Yaei Shrine
Q134891805	Kishiwada Tenjingu
Q134891806	Kashima Shrine
Q134891833	Hiyoshi Shrine
Q134892403	Kumano Shrine
Q134892405	Suwa Shrine
Q134892406	Tenjin-sha
Q134892410	Kasuga Shrine
Q134892414	Katasuge Shrine
Q134892415	Shiritaogi Shrine
Q134892417	Neno Shrine
Q134892418	Ne Shrine
Q134892419	Ne-no Shrine
Q134892425	Yasaka Shrine
Q134892427	Yasaka Shrine
Q134892428	Yae Shrine
Q134892429	Yaei Shrine
Q134892430	Hakusan Shrine
Q134892431	Sannō Shrine
Q134892434	Shiraishi Shrine
Q134892436	Kawairi Shrine
Q134892438	Kashima Shrine
Q134892526	Hirokawa Shrine
Q134892535	Karita Shrine
Q134893088	Takanawa Shrine
Q134893091	Enoki Shrine
Q134893097	Sugatahime Shrine
Q134893103	Hie Shrine
Q134893104	Hie Shrine
Q134893127	Shiratori Shrine
Q134893128	Hachiman Daijin Shrine
Q134893130	Shinohara-Hachiman Shrine
Q134893133	Sutou Shrine
Q134893134	Inakami Shrine
Q134893135	Hayatamawakenomikoto Shrine
Q134893136	Ishifu Shrine
Q134893137	Kunihashiramikoto Shrine
Q134893138	Tago Shrine
Q134893144	Suwa Shrine
Q134893150	Ootsu Suwa Shrine
Q134917289	Beppyo Shrine
Q134923781	Niiharu Shrine
Q134925301	Ninomiya Shrine (Fukuoka City)
Q134925350	Yanagihara Shrine
Q134925373	Hirose Shrine
Q134925462	Konken Shrine
Q134925540	Hozumi Shrine (Shizuoka)
Q134925740	Shingū Shrine
Q134925834	Asai Shrine (Takaoka)
Q134925870	Tsukima Shrine
Q134925925	Suwa Shrine
Q134926012	Tsushima Shrine
Q134926154	Ubaihoumei Shrine
Q134926166	Sakuragaoka Hachiman Shrine
Q134926216	Mishima Shrine
Q134926274	Hozoseki Shrine
Q134926276	Hachiman Shrine
Q134926315	Hibashiri Shrine
Q134926440	Suwa Hachiman Shrine
Q134926458	Hatsuhime Shrine
Q134926493	Kifune Shrine
Q134926574	Nanadaiten Shrine
Q134926604	Hakusan Shrine (Omami, Yamato-cho, Gujo City)
Q134926696	Kamowakamiya Shrine
Q134926697	Miwa Shrine (Fujieda)
Q134926700	Azusawakenomikoto Shrine
Q134926701	Tsushima Shrine
Q134926702	Hakusanjinja
Q134926706	Kumano Shrine (Yokohama)
Q134926707	Yakumo Shrine
Q134926708	Gosha Shrine
Q134926712	Murō Shrine
Q134926715	Hachiman Shrine (Takayama)
Q134926720	Ichinomiya Shrine (Takayama City)
Q134926723	Otoshi Shrine (Hida City)
Q134926726	Ooya Shrine
Q134926730	Sengen Shrine (Yamato)
Q134926731	Hikawa Shrine (Kōhoku, Adachi)
Q134926733	Hikawa Shrine (Takanodai, Nerima)
Q134926739	Sugawara Shrine (Irigaya-chō, Tatebayashi)
Q134926745	Hakusan Shrine (Higashi-machi, Kamioka, Hida)
Q134926762	Shinmei Shrine (Noguchi-chō, Sohara, Kakamigahara)
Q134926763	Ōyamazumi Shrine
Q134926765	Akasaka Shrine
Q134926774	Shinmeisha (Kakamigahara)
Q134926779	Nishikiyama Shrine
Q134926782	Ninomiya Shrine (Takayama City)
Q134926783	Masuyasu Shrine
Q134926789	Sarahayamatsu Shrine
Q134926794	Maruyama Shrine
Q134926798	Suwa Shrine (Izumo)
Q134926799	Tsuruta Hachimangū
Q134926802	Shinmei Shrine (Maewatari-higashi 1-chōme, Kakamigahara)
Q134926804	Kikuna Shrine
Q134926805	Tachi Shrine
Q134926809	Kobari Shrine
Q134926811	Murakami Shrine
Q134926814	Shirahige Shrine (Ōbukuro, Kawagoe)
Q134926816	Ita Shrine
Q134926817	Suwa Shrine (Kirinō-chō, Naka, Kakamigahara)
Q134926818	Nagara Shrine (Akauda-hon-machi, Tatebayashi)
Q134926819	Makigahora Shrine
Q134926820	Ōagatajinja
Q134926821	Nagara Shrine
Q134926823	Yakumo Shrine (Nishi-Mikado, Kamakura)
Q134926825	Misaki Shrine
Q134926826	Kumano Shrine (Unuma, Kakamigahara)
Q134926828	Fujinomiya Shrine
Q134926830	Ikamashi Shrine
Q134926832	Kusunoki Shrine
Q134926833	Hakusan Shrine (Naru, Shirotori, Gujō)
Q134926835	Ōshima Shrine
Q134926836	Osaki Shrine
Q134926839	Inari Shrine (Kakizawa-chō, Sohara, Kakamigahara)
Q134926840	Yakumo Shrine (kamakurashiyamanonai)
Q134926841	Hachiman Shrine (Kōa-chō, Sohara, Kakamigahara)
Q134926847	Nagahama Shrine
Q134926850	Takanehakusan Shrine
Q134926903	Shinmei Shrine (Kosano-chō, Kakamigahara)
Q134926905	Washizu Shrine
Q134926906	Urahoro Shrine
Q134926907	Toriyamahachimangū
Q134926910	Mishima Shrine (Minamiizu)
Q134926912	Kawasuso Shrine (Hakodate)
Q134926913	Koyasu Shrine
Q134926914	Hakusan Shrine (Yamada-chō, Takayama)
Q134926917	Arakigawa Shrine
Q134926918	Kanayamahiko Shrine
Q134926921	Nagoya Shrine
Q134926924	Sanai Shrine
Q134926926	Nagase Shrine
Q134926928	Suwa Shrine
Q134926931	Raiden Shrine
Q134926934	Hakusan Shrine (Ninna, Kawai-chō, Hida)
Q134926938	Hachiman Shrine (Natsuumaya, Kiyomi-chō, Takayama)
Q134926940	Inari Shrine
Q134926944	Madoromi Shrine
Q134926947	Kurano Shrine
Q134926948	Azuma Shrine (Yokohama)
Q134926953	Tachigao Shrine
Q134926954	Itakiso Shrine
Q134926956	Akagi Shrine
Q134926961	Nagara Shrine
Q134926963	Himemiya Shrine
Q134926965	Hachiman Shrine (Akutami, Gifu)
Q134926966	Suwa Shrine (Hino, Gifu)
Q134926975	Ikeda Shrine
Q134927012	Shirahige Shrine (Yoshida, Kawagoe)
Q134927047	Shōkawa Shrine
Q134927108	Nagara Shrine (Shimo-Sanbayashi-chō, Tatebayashi)
Q134927353	Hokuryu Shrine
Q134927392	Kamo Shrine
Q134927474	Hachiman Shrine
Q134927545	Ōma Shrine
Q134927573	Wakamiya Shrine
Q134927597	Inari Shrine
Q134927619	Wakamiya Hachiman Shrine
Q134927674	Hachiman Shrine (Otoi)
Q134927684	Nagare Shrine
Q134927694	Kotai Jingu (Osaka)
Q134927711	Sumiyoshi Shrine
Q134927747	Osakihakusanjinja
Q134927773	Noda Shrine
Q134927804	Daiba Shrine
Q134927823	Nyūkawa Shrine
Q134927876	Mishima Shrine (Minamiizu-chō Nijō)
Q134927886	Hiruko Shrine (Kamakura)
Q134927903	Unai Shrine
Q134927948	Iwai Shrine
Q134927981	Kumano Shrine (Horikō-machi, Tatebayashi)
Q134927983	Itsukushima Shrine
Q134927987	Watarase Shrine
Q134928007	Tenchi Shrine
Q134928018	Hie Shrine (Uwado, Kawagoe)
Q134928056	Chikubushima Shrine
Q134928064	Itayama jinja
Q134928092	Hisaizu Shrine (Kitane, Kōnosu)
Q134928100	Shitennō Shrine
Q134928112	Yasaka Shrine
Q134928140	Tenmangu Shrine (Kamimachiya, Kamakura)
Q134928230	Tsurumi Shrine
Q134928241	Hakusan Shrine (Warabiō, Mino)
Q134928360	Ninomiya Shrine (Kakamigahara)
Q134928370	Shinmei Shrine (Ōsano-chō, Kakamigahara)
Q134928395	Nagara Shrine
Q134928404	Tsushima Shrine (Higashi-Musu, Ampachi)
Q134928416	Komagata Shrine (Kamakura)
Q134928434	Asaji Shinmeisha
Q134928443	Chikatsu Shrine
Q134928463	Suwa Shrine (Nihari, Nyūkawa-chō, Takayama)
Q134928468	Asahi Hakusan Shrine
Q134928475	Inohanako Shrine
Q134928477	Shinmei Shrine (Maewatari-nishi-machi, Kakamigahara)
Q134928484	Ishikiri Shrine
Q134928492	Takahashi Shrine
Q134928495	Sengen Shrine (oshinomurashinobugusa)
Q134928538	Hakusan Shrine (Mochida-chō, Sohara, Kakamigahara)
Q134928552	Tenjin Shrine
Q134928571	Shirahige Shrine
Q134928573	Minowa Shrine
Q134928574	Kuwato Shrine
Q134928597	Ogawaizumisui Shrine
Q134928620	Hie Shrine (Shimo-Ningashi, Kawagoe)
Q134928647	Ayase Shrine
Q134928674	Sumiyoshi Shrine (Nakahara-ku, Kawasaki)
Q134928675	Shinmei Shrine (Kawagoe)
Q134928679	Tenjin Shrine (Konosu)
Q134928689	Kumano Shrine (Ikebe, Kawagoe)
Q134928718	Inari Shrine (Taya-machi, Tatebayashi)
Q134928722	Kumano Shrine (Machida)
Q134928738	Hakusan Shrine (Mikka-machi, Kiyomi-chō, Takayama)
Q134928742	Nijugohashira Shrine
Q134928745	Chihara Shrine
Q134928754	Gosho Shrine
Q134928772	Kagamijinja
Q134928789	Hachiman Shrine (Katachi, Mino)
Q134928794	Sarutahiko Shrine (Fukui)
Q134928798	Shinmeigū
Q134928802	Awabitamashiratama-hime-no-Mikoto Shrine
Q134928841	Hirose Shrine (Takayama)
Q134928875	Shinmei Shrine (Naka Nishi-Ichiba-chō, Kakamigahara)
Q134928894	Ouji Shrine
Q134928901	Komagata-Ōshige Shrine
Q134928912	Hakusan Shrine (Kando, Mino)
Q134928918	Hakusan Shrine
Q134928932	Hakusan Shrine (Yoshida, Kamioka-chō, Hida)
Q134928966	Hachiman Shrine (Asahi-chō, Takayama)
Q134928967	Suwa Shrine (Yamato)
Q134928997	Kumano Shrine (Kakamigahara)
Q134930157	Habuhime-no-Mikoto Shrine
Q134930206	Hachiman Shrine (Koura, Minamiizu)
Q134930277	Ninomiya Shrine
Q134930291	Katasuge Shrine
Q134930328	Otowatatsumi Shrine
Q134930376	Hajikama Shrine
Q134930396	Tamatsukuri Shrine
Q134930511	Nanao Soja Shrine
Q134930516	Takihira Shrine
Q134930531	Inakuhi Shrine
Q134930532	Ohiranosukune Shrine
Q134930534	Mishima Shrine (Aono, Minamiizu)
Q134930537	Watatsumi-no-Miko Shrine
Q134930551	Nago Shrine
Q134930558	Kisaki Shrine
Q134930580	Nasukaminokaneko Shrine
Q134930603	Ryou Shrine
Q134930633	Habuhime Shrine (Shimoda)
Q134930636	Kamisawa Shrine
Q134930667	Daisan Ōji Shrine
Q134930669	Wakamiya Shrine
Q134930691	Kita Shrine
Q134930702	Kunitama Shrine
Q134930713	Mishima Shrine (Minamiizu )
Q134930718	Ogushi Shrine
Q134930730	Sengen Shrine (Shimoda)
Q134930737	Manguu Shrine
Q134930739	Shizuma Shrine
Q134930744	Mishima Shrine (Shimoda)
Q134930749	Shiitori Shrine
Q134930771	Senshūke
Q134930879	Soumiya Shrine
Q134930888	Takada Shrine (Maniwa)
Q134957127	Kaneoka Gokoku Shrine
Q134973531	Rokujō Shrine
Q134986872	Hachiman Shrine
Q134986877	Hirase Hachiman Shrine
Q134986969	Hiyoshi Shrine
Q134986988	Asahi Daijingū
Q134987017	Shinmei Shrine
Q134987027	Shinmei Shrine
Q134987028	Shinmei Shrine
Q134989551	Tawa Shrine
Q135009132	Shrines receiving Tsukinami-sai and Niiname-sai offerings
Q135009152	Shrine receiving Hoe and Quiver
Q135009157	Shrines receiving Tsukinami-sai and Niiname-sai and Ainame-sai offerings
Q135009205	Shrine receiving Hoe offering
Q135009221	Shrine receiving Quiver offering
Q135013495	Hachiman Shrine
Q135016830	Kamimusubi Shrine
Q135017419	Takamimusubi Shrine
Q135017422	Tamatsume-musubi Shrine
Q135017425	Iku-musubi Shrine
Q135017429	Taru-musubi Shrine
Q135017431	Ōmiyanome Shrine
Q135017435	Miketsu Shrine
Q135017438	Kotoshironushi Shrine
Q135018062	Engishiki seat
Q135018984	Ikui no Kami Shrine
Q135018989	Sakui no Kami Shrine
Q135018991	Tsunagai no Kami Shrine
Q135018993	Hahiki no Kami Shrine
Q135018996	Asuha no Kami Shrine
Q135019513	Ama-no-Iwato-wake no Kami Shrine
Q135019783	Kushii-hamato-no-Kami Shrine
Q135019789	Toyoi-hamato-no-Kami Shrine
Q135019813	Ikushima no Mikannaki-no-matsuru-kami Shrine
Q135019822	Ikushima-no-Kami Shrine
Q135019823	Tarushima-no-Kami Shrine
Q135020545	Sono Shrine
Q135020550	Kara Shrine
Q135021836	Miketsuno Shrine
Q135021838	Honoikatsuchino Shrine
Q135021839	Takabeno Shrine
Q135021840	Ohomiyahiheno Shrine
Q135021842	Sakatonono Shrine
Q135021843	Narukamino Shrine
Q135021845	Futonotonomikotono Shrine
Q135021846	Kushimachinomikotono Shrine
Q135021848	Hayabusa Shrine
Q135022834	Engishiki subshrine
Q135022904	Shikinai Ronsha
Q135024354	Otokuni-nimasuo Hoikatsuchino Shrine
Q135027310	Niwabi no kami Shrine
Q135027312	Ama no iwa to wake no kami Shrine
Q135038739	Ishitsukurino Shrine
Q135038740	Hashiritano Shrine
Q135038741	Mitanino Shrine
Q135038745	Ohotoshino Shrine
Q135038747	Matano Shrine
Q135038751	Ihaino Shrine
Q135038752	Kamukahano Shrine
Q135038753	Kogano Shrine
Q135038755	Suharano Shrine
Q135038756	Irino Shrine
Q135038757	Wochikahano Ochikaha Shrine
Q135038767	Fukakahano Shrine
Q135038768	Ochikaha-no-Mikami-no Shrine
Q135038769	Amatsu-ihatowakewaka-himeno Shrine
Q135038770	Tomouchino Shrine
Q135038772	Izumo-no-winoheno Shrine
Q135038773	Izumotakanono Shrine
Q135038774	Kamoyamaguchino Shrine
Q135038775	Kamonohanino Shrine
Q135038776	Wono Shrine
Q135038778	Matono Shrine
Q135038780	Suhano Shrine
Q135038781	Itatano Shrine
Q135038782	Kamonokahāhini Shrine
Q135038783	Kamowokamotono Shrine
Q135038784	Mitsuno Shrine
Q135038785	Ohoshihano Shrine
Q135038786	Shinmei-sha
Q135038787	Katayamanomikono Shrine
Q135038788	Ohokurano Shrine
Q135038790	Asukatano Shrine
Q135038791	Mahatakino Shrine
Q135038792	Uchino Shrine
Q135038794	Amanohohinomikotono Shrine
Q135038795	Uchikuwochikatano Shrine
Q135038797	Ihatano Shrine
Q135038798	Aramino Shrine
Q135038799	Isetano Shrine
Q135038800	Murokino Shrine
Q135038801	Suchino Shrine
Q135038802	Kuhiwokano Shrine
Q135038803	Takano Shrine
Q135038804	Ahano Shrine
Q135038805	Sagano Shrine
Q135038806	Sakayano Shrine
Q135038807	Kannahino Shrine
Q135038808	Tenjin-sha
Q135038809	Chigi Shrine
Q135038810	Wakinoni- Shrine
Q135038811	Kamuharano- Shrine
Q135038812	Sakarakano Shrine
Q135038813	Wokatanokuno Shrine
Q135038814	Sawokano Shrine
Q135038815	Unatarinimasutakamihino Shrine
Q135038816	Waninimasu Akasakahiko Shrine
Q135038817	Anafukino Shrine
Q135038818	Wanishimono Shrine
Q135038836	Naratsuhiko Shrine
Q135038837	Kamuhatano Shrine
Q135038838	Taka- Shrine
Q135038839	Mori Shrine
Q135038840	Ihefuseno Shrine
Q135038841	Yakifu- Shrine
Q135038842	Misakiharanoiwatachinomikoto Shrine
Q135038843	Amenoihasuhino Shrine
Q135038844	Ihotachino Shrine
Q135038845	Tsufunomiakata- Shrine
Q135038846	Sakino Shrine
Q135038847	Tatsutahiko & Tatsutahimeno Shrine
Q135038931	Kanwokano Shrine
Q135038947	Honoikatsuchino Shrine
Q135038948	Uheno Shrine
Q135038949	Tatano Shrine
Q135038950	Kosenoyamakuchino Shrine
Q135038951	Ooanamochino Shrine
Q135038952	Ohokura- Shrine
Q135038953	Katsuragi-shitori-niimasuameno-hatsuchino-mikoto Shrine
Q135038954	Kanamurano Shrine
Q135038955	Katsuragimiagatano Shrine
Q135038956	Fukamisono Shrine
Q135038957	Shitsumino Shrine
Q135038958	Taimayamaguchi Shrine
Q135038959	Taimayamakuchino Shrine
Q135038960	Ohosakanoyamakuchi Shrine
Q135038961	Ishino Shrine
Q135038962	Atahimeno Shrine
Q135038964	Futamino Shrine
Q135038965	Miyasakinonarukamino Shrine
Q135038966	Honoikatsuchino Shrine
Q135038967	Takamakishino Shrine
Q135038968	Wochisomano Shrine
Q135038969	Takamanoyamasatawono Shrine
Q135038970	Hitowoseno Shrine
Q135038971	Yoshinonoyamakuchino Shrine
Q135038972	Niukawakami Shrine
Q135038973	Takahokono Shrine
Q135038974	Kahakamikashihono Shrine
Q135038975	Ihatano Shrine
Q135038977	Utamikomarino Shrine
Q135038978	Katono- Shrine
Q135038979	Nifuno Shrine
Q135038980	Mukumotono Shrine
Q135038981	Takatsunono Shrine
Q135038982	Umasakahimeno Shrine
Q135038983	Miino Shrine
Q135038984	Okada-no-ohatame Shrine
Q135038985	Miwanomikomimusuhime- Shrine
Q135038986	Sakuramino Shrine
Q135038987	Tsurukinushino Shrine
Q135038988	Murofunoriuketsuno Shrine
Q135038989	Tsukanakino Shrine
Q135038990	Makimuku- Shrine
Q135038991	Wosata- Shrine
Q135038992	Hase-Yamaguchi-Niimasu Shrine
Q135038993	Ekurino Shrine
Q135038994	Minakuchino Shrine
Q135038995	Kuhauchino Shrine
Q135038996	Hikitano Shrine
Q135038997	Utayorino- Shrine
Q135038998	Inashirono Shrine
Q135038999	Wakasakurano Shrine
Q135039000	Nabekurano Shrine
Q135039001	Takayaaheno Shrine
Q135039002	Chishirono Shrine
Q135039003	Himekuhano Shrine
Q135039005	Futsuno Shrine
Q135039006	Itowino Shrine
Q135039007	Kakamitsukuriitano Shrine
Q135039008	Kosenoyama-ihakura- Shrine
Q135039009	Sakinosuno Shrine
Q135039010	Harutano Shrine
Q135039011	Kayanarumino Shrine
Q135039012	Asuka Kawakami-ni-Imasu Usutakihime-no-Mikoto Shrine
Q135039013	Higashiohotanihimenomikoto Shrine
Q135039015	Kuretsuhikono Shrine
Q135039016	Kahamatano Shrine
Q135039017	Ketsuwakino Shrine
Q135039018	Ohotoshino Shrine
Q135039019	Hatano Shrine
Q135039020	Mitoshino Shrine
Q135039021	Torisakano Shrine
Q135039022	Takinomotono Shrine
Q135039023	Kosetsuhiko-no-Mikoto Shrine
Q135039024	Amatsuihatowakeno Shrine
Q135039025	Hatamikawino Shrine
Q135039026	Ifukiikatsuchi- Shrine
Q135039027	Meharano- Shrine
Q135039028	Ihareyamakuchino Shrine
Q135039029	Unehino- Shrine
Q135039030	Taketano Shrine
Q135039031	Sakatono Shrine
Q135039032	Koheno Shrine
Q135039033	Amanokakoyamano- Shrine
Q135039034	Shitawi Shrine
Q135039035	Yamahenomiakatano- Shrine
Q135039036	Shiratsutsumino Shrine
Q135039037	Yafukino Shrine
Q135039038	Tsukenoyamakuchino Shrine
Q135039044	Hafuritano Shrine
Q135039045	Ihakamiichino Shrine
Q135039046	Shimobeno Shrine
Q135039047	Itsumotakewono Shrine
Q135039099	Komamakurataka Misanusubi Shrine
Q135039105	Karai Shrine (Yamato Province)
Q135039106	Hokkederaza Shrine
Q135039107	Tamamusuhi-no-mikoto Shrine
Q135039108	Tokarino Shrine
Q135039109	Takayano Shrine
Q135039111	Morimotono Shrine
Q135039112	Hakutahikono Shrine
Q135039113	Hakutahimeno Shrine
Q135039114	Kanayamahikono Shrine
Q135039115	Kanayamahimeno Shrine
Q135039116	Ohokomano Shrine
Q135039117	Wakayamatohimeno- Shrine
Q135039118	Wakayamatohimeno- Shrine
Q135039119	Tsufukumino Shrine
Q135039120	Tsuharano Shrine
Q135039121	Kashinashino Shrine
Q135039122	Ohotsuno Shrine
Q135039123	Kuriharano Shrine
Q135039124	Mitsukuweno Shrine
Q135039125	Takamiyano Shrine
Q135039126	Takamiyaohomorino Shrine
Q135039127	Kunakano Shrine
Q135039129	Tsushimabeno Shrine
Q135039130	Hosoyano Shrine
Q135039131	Sakahino Shrine
Q135039132	Ihatano Shrine
Q135039133	Kahamatano Shrine
Q135039134	Yukeno Shrine
Q135039135	Tsuruyumishimano Shrine
Q135039136	Okiheno Shrine
Q135039138	Uhano Shrine
Q135039139	Katsurano Shrine
Q135039140	Nakamurano Shrine
Q135039141	Kamotakatano Shrine
Q135039142	Hamukosono Shrine
Q135039143	Michiheno Shrine
Q135039144	Komano Shrine
Q135039145	Tsurumino Shrine
Q135039146	Shikiakatanushino Shrine
Q135039147	Nakanono Shrine
Q135039148	Shikino Shrine
Q135039149	Kurotano Shrine
Q135039150	Makimotono Shrine
Q135039152	Tachibino Shrine
Q135039153	Ichiimotono Shrine
Q135039154	Tawino Shrine
Q135039155	Mikafutsunomikoto Shrine
Q135039156	Hikosajifutsunomikoto Shrine
Q135039157	Yamanowino Shrine
Q135039158	Ohotorino Shrine
Q135039159	Woshihakeno Shrine
Q135039160	Ikukunino Shrine
Q135039161	Kaden Shrine
Q135039162	Ihatsutano- Shrine
Q135039163	Kunino Shrine
Q135039165	Kamo Shrine
Q135039167	Ohotorimihahino Shrine
Q135039168	Ohotoriwiseno Shrine
Q135039169	Ohamano Shrine
Q135039170	Sakanouheno Shrine
Q135039171	Ohotoshino Shrine
Q135039172	Hakatano Shrine
Q135039173	Ahano Shrine
Q135039174	Soneno Shrine
Q135039175	Arihono Shrine
Q135039177	Hokurano Shrine
Q135039180	Itsumino Shrine
Q135039181	Kusumotono Shrine
Q135039182	Ahachino Shrine
Q135039185	Hatano Shrine
Q135039186	Marokasa Shrine
Q135039188	Wokamino Shrine
Q135039190	Kamusakino Shrine
Q135039191	Hihashiri Shrine
Q135039192	Kakitano Shrine
Q135039193	Hatano Shrine
Q135039194	Kutamano Shrine
Q135039195	Okamino Shrine
Q135039196	Himekamino Shrine
Q135039197	Kusatsuohotoshino Shrine
Q135039198	Nakatomisumuchino Shrine
Q135039200	Sumuchisoneno Shrine
Q135039202	Himekosono Shrine
Q135039208	Nihiyano- Shrine
Q135039210	Sukukuno Shrine
Q135039214	Hashiriochino Shrine
Q135039216	Mishimakamono Shrine
Q135039217	Isanakino Shrine
Q135039219	Iketano Shrine
Q135039221	Iwashitsuno Shrine
Q135039222	Wokatano Shrine
Q135039223	Ohokuninushino Shrine
Q135039225	Kineno Shrine
Q135039227	Kusasa Shrine
Q135039228	Nomano Shrine
Q135039229	Utsukano Shrine
Q135039231	Hatakino Shrine
Q135039234	Suchiarakino Shrine
Q135039235	Makiyamano Shrine
Q135039237	Womiyano Shrine
Q135039241	Tosakano Shrine
Q135039244	Ahano Shrine
Q135039245	Ashino Shrine
Q135039247	Kineno Shrine
Q135039249	Tamorino Shrine
Q135039250	Hichino Shrine
Q135039251	Hihikino Shrine
Q135039252	Hishikino Shrine
Q135039254	Ida Shrine
Q135039255	Witano Shrine
Q135039256	Womi- Shrine
Q135039257	Takaseno Shrine
Q135039258	Sakatono Shrine
Q135039259	Nawino Shrine
Q135039260	Unanenofushimino Shrine
Q135039261	Isanakino Shrine
Q135039262	Tsukiyomino Shrine
Q135039263	Iso Shrine
Q135039264	Naraharano Shrine
Q135039265	Ohokunitamahimeno Shrine
Q135039266	Kaharano- Shrine
Q135039267	Kamusakino Shrine
Q135039268	Wemurano Shrine
Q135039269	Kiyonowihano Shrine
Q135039270	Raiden Shrine
Q135039271	Kansha Shrine
Q135039272	Kasuyano Shrine
Q135039274	Take Shrine
Q135039275	Nakano Shrine
Q135039276	Womino Shrine
Q135039277	Afukamuyamano Shrine
Q135039278	Nanamino Shrine
Q135039279	Iwoumino Shrine
Q135039280	Hayashino Shrine
Q135039281	Afukano- Shrine
Q135039282	Moruyamano Shrine
Q135039283	Unisakurano Shrine
Q135039284	Unino Shrine
Q135039285	Amatamitsu- Shrine
Q135039287	Afukakotano- Shrine
Q135039288	Kishino Shrine
Q135039289	Urufutsuno Shrine
Q135039290	Amanokagoyamano Shrine
Q135039291	Anashino Shrine
Q135039292	Nakaretano Shrine
Q135039294	Hatada Shrine
Q135039295	Ihatano Shrine
Q135039296	Hichino Shrine
Q135039297	Sakikurusuno Shrine co-EnShrinement
Q135039298	Takeohoyotono Shrine
Q135039299	Takesasafueno Shrine
Q135039300	Oikurano Shrine
Q135039301	Isawano Shrine
Q135039302	Mureno Shrine
Q135039303	Unino Shrine
Q135039304	Kunarino Shrine
Q135039305	Ohokunitamano Shrine
