page_title,qid
Kahashimano Shrine,Q135039494
Kahashimano Shrine (Q135039530),Q135039530
Kahashukuneno Shrine (Agatsuma District),Q135194274
"Kahashukuneno Shrine (Gyokoda, Shibukawa City)",Q135194278
Kahasukuneno Shrine,Q135039964
Kahata Kamo Shrine,Q135192910
Kahatano Shrine,Q135039796
Kahawano Shrine,Q135039476
Kahinano Shrine,Q135039687
Kahiruno Shrine,Q135040099
Kahiruno Shrine (Q135040128),Q135040128
Kahirutanokuchino Shrine,Q135040133
Kahisaya Shrine,Q135069972
Kai Shrine,Q11559097
Kaina Shrine (Q135193243),Q135193243
Kaina Shrine (Q135193244),Q135193244
Kaka Shrine,Q11399719
Kakitano Shrine (Q135041179),Q135041179
Kakumino Shrine,Q135040363
Kakumiya Shrine,Q135194966
Kakuruno Shrine,Q135039588
Kakuyano Shrine,Q135041189
Kama Shrine,Q135195503
Kamaharano Shrine,Q135040473
Kamarano Shrine,Q135041396
Kamazoku‑Miden Shrine,Q135186188
Kambara Shrine,Q135195148
Kamejima Shrine (reference),Q135194760
Kameyama Shrine (Q135069232),Q135069232
Kamichikama Shrine,Q135187347
Kamigaki Shrine,Q135186318
Kamiishino Shrine,Q135039990
Kamikoso Shrine,Q11360119
Kamimakita Mukuge Shrine,Q135193391
Kamimateinochi Shrine,Q135070170
Kamimura Shrine (former site),Q135186161
Kaminari Mihashira Shrine,Q135098970
Kamineno Shrine,Q135041202
Kaminifukahano Shrine,Q135039802
Kamino Shrine (current site),Q135195209
Kamino- Shrine,Q135039648
Kamisawa Shrine,Q135192802
Kamishima Shrine,Q135070201
Kamishimano Shrine,Q135041231
Kamishiro Shrine,Q135070132
Kamisugi Izumuhime Shrine,Q135194918
Kamitakatsuki Shrine,Q11591046
Kamitsuma Shrine,Q135192641
Kamiyama Shrine,Q135186409
Kamo Shrine (Q106301088),Q106301088
Kamo Shrine (Q11398661),Q11398661
Kamo Shrine (Q11634949),Q11634949
Kamo Shrine (Q11634952),Q11634952
Kamo Shrine (Q11675602),Q11675602
Kamo Shrine (Q11675604),Q11675604
Kamo Shrine (Q135040291),Q135040291
Kamo Shrine (Q135041288),Q135041288
Kamo Shrine (Q135069914),Q135069914
Kamo Shrine (Q135070168),Q135070168
Kamo Shrine (Q135070224),Q135070224
Kamo Shrine (Q135070332),Q135070332
Kamo Shrine (Q135194592),Q135194592
Kamo Shrine (Q135194975),Q135194975
Kamo Shrine (Q135195211),Q135195211
Kamo Shrine (Q54153261),Q54153261
Kamo Shrine (Sakaide),Q11675600
Kamo Shrine Remains,Q135185440
Kamo Yamaguchi (Sawada) Shrine,Q135179289
Kamogami Shrine,Q135070272
Kamogami Shrine (Q135070276),Q135070276
Kamohara Shrine,Q135045395
Kamonahino Shrine,Q135041142
Kamono Shrine (Q135039432),Q135039432
Kamono Shrine (Q135039440),Q135039440
Kamono Shrine (Q135039667),Q135039667
Kamono Shrine (Q135041197),Q135041197
Kamono Shrine (Q135041213),Q135041213
Kamono Shrine (Q135041214),Q135041214
Kamono Shrine (Q135041305),Q135041305
Kamonookaminomikokaminushitama Shrine,Q66085127
Kamori Shrine,Q135041054
Kamubeno Shrine,Q135041116
Kamuhano Shrine,Q135040215
Kamuheno Shrine,Q135039684
Kamuheno Shrine (Q135039697),Q135039697
Kamuheno Shrine (Q135098975),Q135098975
Kamukahano Shrine,Q135038752
Kamukakino Shrine,Q135039313
Kamumeitsukino- Shrine,Q135040334
Kamunahino Shrine,Q135040542
Kamuno Shrine,Q135040528
Kamuno Shrine former site,Q135195210
Kamunono Shrine,Q135041391
Kamunono Shrine (Q135040493),Q135040493
Kamuohonamochimikono Shrine,Q135040955
Kamurono Shrine,Q135040725
Kamusakino Shrine (Q135039267),Q135039267
Kamusakino Shrine (Q135039396),Q135039396
Kamusakino Shrine (Q135041384),Q135041384
Kamusakino Shrine (Q135270136),Q135270136
Kamusohino Shrine,Q135040210
Kamusukinoitsumuhimeno Shrine,Q135040330
Kamutano Shrine,Q135041107
Kamutano Shrine (Q135040286),Q135040286
Kamutano Shrine (Q135040507),Q135040507
Kamutano Shrine (Q135270353),Q135270353
Kamutono Shrine,Q135040383
Kamutono Shrine (Q135040663),Q135040663
Kamutsuchikamano Shrine,Q135039546
Kan-no-Me Shrine,Q135194925
Kana Zakura Shrine,Q135193248
Kanasakura Shrine,Q135193245
Kanasakura Shrine (Q135193246),Q135193246
Kanasakurano Shrine,Q135039689
Kanasukino Shrine,Q135040965
Kanayama-hiko Shrine,Q135194823
Kanayamano Shrine,Q135041557
Kanazakura Shrine (Kai Province),Q135069489
Kanazakura Shrine (Q135069485),Q135069485
Kanazakura Shrine (Q135193249),Q135193249
Kanazakura Shrine (Yamanashi district),Q135069491
Kanbara Shrine (Q63148107),Q63148107
Kanbe Shrine,Q135193241
Kanbe Shrine (Q135193242),Q135193242
Kanda Shrine (Hakusan City),Q135194806
Kanda Shrine (Kanazawa City),Q135194808
Kanda Shrine (Oaza Fumon),Q135193479
Kanda Shrine (Q11590647),Q11590647
Kanda Shrine (Q135194816),Q135194816
Kandani Shrine,Q11590885
Kandate Iino Takaichi Shrine,Q135186710
Kandate Iino Takaichi Shrine Co-Enshrinement,Q135069242
Kandate Shrine,Q135186612
Kando Shrine,Q135195013
Kaneno Shrine,Q135039533
Kaneno Shrine (Q135270307),Q135270307
Kangi-in,Q11545320
Kanhatorihatadono Shrine,Q135186223
Kanira Shrine,Q135187273
Kanisanakino Shrine,Q135040966
Kanmine Shrine (Haramachi Ward),Q135194399
Kanmusuhitamano- Shrine,Q135041087
"Kannabi Shrine (Fuchu city, Hiroshima)",Q104660635
Kanno Shrine,Q11590985
Kanno Shrine (Q135070328),Q135070328
Kanno Shrine (Q135198162),Q135198162
Kanno Shrine (Q135198163),Q135198163
Kansaki Shrine,Q135039831
Kansha Shrine,Q135039271
Kanshiro Shrine,Q135040302
Kanshirono Shrine,Q135041049
Kantamaihotoshino Shrine,Q135040964
Kantamainochinushino Shrine,Q135040954
Kantamaitsunohimeno Shrine,Q135040976
Kantamakotsunotama Shrine,Q135041074
Kantamamikono Shrine,Q135040953
Kantamano Shrine,Q135040977
Kantano Shrine,Q135040292
Kantano Shrine (Q135039789),Q135039789
Kara Shrine,Q135020550
Karahino Shrine,Q135039342
Karai Shrine,Q17220848
Karakamano Shrine,Q135041046
Karakawa Shrine,Q83886404
Karakuni Shrine (Q135040666),Q135040666
Karakuniitatematsuruno Shrine,Q135041051
Karakuniitateno Shrine,Q135040786
Karakuniitateno Shrine (Q135040908),Q135040908
Karakuniitateno Shrine (Q135040960),Q135040960
Karakuniitateno Shrine (Q135041044),Q135041044
Karakunino- Shrine,Q135041488
Karakuri Shrine,Q135070107
Karakuri Shrine (Q135070106),Q135070106
Karasaki Shrine (Q135193743),Q135193743
Karasu Shrine,Q135186444
Karatachi Shrine,Q135040593
Karinono Shrine,Q135040515
Karita Shrine,Q134892535
Karitahikono Shrine,Q135040070
Karitahimeno Shrine,Q135040071
Karitamineno Shrine,Q135039983
Karonono Shrine,Q135039811
Karuno Shrine,Q119929619
Karuno Shrine (Iwakura),Q135193541
Karuno Shrine (Kano),Q135193540
Karuno Shrine (Q135193619),Q135193619
Karuno Shrine (Q135193620),Q135193620
Kasaharano Shrine,Q135039936
Kasahayano Shrine,Q135040219
Kasamano Shrine,Q135040254
Kasamano Shrine (Q135040284),Q135040284
Kasami Shrine,Q11398477
Kasano Shrine,Q135194824
Kasano Shrine (Kaga Province),Q135069932
Kasano Shrine (Q135069927),Q135069927
Kasano Shrine (Q135069931),Q135069931
Kasano Shrine (Q135194830),Q135194830
Kasano Shrine (Q135194831),Q135194831
Kasanono Shrine,Q135040299
Kasayano Shrine,Q135039703
Kasechino Shrine,Q135039317
Kashihahimeno Shrine,Q135041377
Kashihara- Shrine,Q135040339
Kashikuri Shrine,Q11398800
Kashima Amatarashi Wake Shrine,Q11677110
Kashima Amatarashiwake Shrine,Q20043641
Kashima Miko Shrine (Q11677124),Q11677124
Kashima Onata Shrine,Q11677158
Kashima Onata Shrine (Q135194329),Q135194329
Kashima Shrine,Q135195015
"Kashima Shrine (Kunimi, Date District)",Q135194335
"Kashima Shrine (Oda, Fukushima City)",Q135194333
"Kashima Shrine (Okajima, Fukushima City)",Q135194334
Kashima Shrine (Q135039996),Q135039996
Kashima Shrine (Q135040000),Q135040000
Kashima Shrine (Q135069030),Q135069030
Kashima Shrine (Q135069590),Q135069590
Kashima Shrine (Q135069647),Q135069647
Kashima Shrine (Q135069663),Q135069663
Kashima Shrine (Q135069862),Q135069862
Kashima Shrine (Q135193647),Q135193647
Kashima Shrine (Q135193655),Q135193655
"Kashima Shrine (Toriyano, Fukushima City)",Q135194332
"Kashima Shrine (Yoshida-saku, Watari Town, Watari District, Miyagi Prefecture)",Q135194327
Kashima Tenashiwake Shrine,Q135194316
Kashima Tenashiwake Shrine (Q135194319),Q135194319
Kashima-Itsunohikeno Shrine,Q135039994
Kashimawonatano Shrine,Q135039995
Kasuga Shrine,Q135040125
Kasuga Shrine (Q11513674),Q11513674
Kasuga Shrine (Q135041146),Q135041146
Kasuga Shrine (Q135068885),Q135068885
Kasuga Shrine (Q135069108),Q135069108
Kasuga Shrine (Q135069130),Q135069130
Kasuga Shrine (Q135069920),Q135069920
Kasuga Shrine (Q135070057),Q135070057
Kasuga Shrine (Q135070319),Q135070319
Kasuga Shrine (Q135190257),Q135190257
Kasuga Shrine (Q135193662),Q135193662
Kasuga Shrine (Q135194511),Q135194511
Kasuga Shrine (Q135194563),Q135194563
Kasuga Shrine (Q135194673),Q135194673
Kasuga Shrine (Q135194697),Q135194697
Kasuga Shrine (Q135194755),Q135194755
Kasuga Shrine (Q135195348),Q135195348
Kasuga Shrine (Q135206806),Q135206806
Kasuga- Shrine,Q135069921
Kasuga-sha (Higashi-Beppu),Q135069551
Kasukamino Shrine,Q135040273
Kasumekentou Shrine,Q28690058
Kasuyano Shrine,Q135039272
Kataakatatsuno Shrine,Q135039902
Katagishi Shrine,Q135194735
Kataharano Shrine,Q135039576
Kataheno Shrine,Q135041182
Katakishino Shrine,Q135040235
Katamaneno Shrine,Q135041280
Katano Shrine (Q135041102),Q135041102
Kataoka Shrine (Q135186659),Q135186659
Kataoka Shrine (Q28682738),Q28682738
Katashiba Shrine,Q135194672
Katashihano Shrine,Q135040171
Katasuge Shrine,Q134930291
Katasuge Shrine (Q135192780),Q135192780
Katasukano- Shrine,Q135039644
Katata Shrine,Q135186086
Katayama Shrine (Q135069348),Q135069348
Katayamahachiman Shrine,Q135069347
Katayamano Shrine,Q135039520
Katayamano Shrine (Q135039527),Q135039527
Katayamano Shrine (Q135039827),Q135039827
Katayamano Shrine (Q135270145),Q135270145
Katori Omiko Shrine,Q135194426
Katori Shrine,Q135069631
Katorigo Shrine,Q135069628
Katoriitsuno- Shrine,Q135040002
Katoshimikokamino Shrine,Q135040028
Katoshimikokamino Shrine (Co-Enshrinement),Q135194424
Katsugumi Shrine,Q135192779
Katsurakihimeno Shrine,Q135099017
Katsurakio Shrine,Q18991490
Katsurano- Shrine,Q135041169
Kattamine Shrine,Q11396254
Kattamine Shrine (Q65249271),Q65249271
Katte Shrine,Q11400330
Kawaai Shrine,Q85879982
Kawabe Hachiman Shrine,Q135070023
Kawabe Shrine,Q135186567
Kawabe Shrine (Q135186574),Q135186574
Kawachi Shrine,Q135195178
Kawageta Shrine,Q135193537
Kawai Shrine,Q135195146
Kawai Shrine (Shimogamo Shrine Keidai-Sessha),Q135068711
Kawakami Shrine,Q135070259
Kawakami Shrine (Awaji Province),Q135070260
Kawakami Shrine (Tsuna district),Q135070262
Kawaketamikabe Shrine,Q11553975
Kawamata Shrine (Q135186649),Q135186649
Kawamata Shrine (Q135186650),Q135186650
Kawamata Shrine (Q135186652),Q135186652
Kawamata Shrine (Q135186654),Q135186654
Kawamata Shrine (Q135186655),Q135186655
Kawamata Shrine (Q135186656),Q135186656
Kawara Shrine (Q11667602),Q11667602
Kawara Shrine (Q17209206),Q17209206
Kawarano Shrine,Q135039345
Kawarano Shrine (Q135040525),Q135040525
Kawase Shrine,Q11554016
Kawashima Shrine,Q11478285
Kawasukune Shrine (Higashiagatsuma),Q66085131
Kawasukune Shrine (Shibukawa),Q66085130
Kawata Shrine (Koka),Q11479035
Kawata Shrine (Q11479033),Q11479033
Kawata Shrine (Tonmiya Village),Q135193501
Kawawa Shrine,Q11477816
Kawawaki Shrine,Q135193538
Kawazoe Shrine,Q135186197
Kayanarumino Shrine (Q135270113),Q135270113
Kayorunarubiinochi Shrine,Q135069116
Kazahaya Shrine,Q135194696
Kazunasaitomiso Shrine,Q135070313
Kehi Shrine,Q11129346
Kehi Shrine (Q135040689),Q135040689
Keikō Tennō Shrine,Q135069366
Keiman Shrine,Q11499585
Keisenasaooshima Shrine,Q135069874
Ken Shrine,Q135070287
Kesemano Shrine,Q135040009
Kesemaohoshimano Shrine,Q135040014
Kesenma Ōshima Shrine,Q135194377
Kesenma Ōshima Shrine (Q135194394),Q135194394
Keta Mikogami Shrine,Q135194763
Keta-hongū,Q11548072
Ketamikono Shrine,Q135040269
Ketanino Shrine,Q135040243
Ketaniya Kokuryū Shrine,Q135194747
Ketsurikurino Shrine,Q135039507
Keyakihara Shrine,Q135194249
"Kibe Shrine (Harue Town, Sakai City)",Q135194739
"Kibe Shrine (Sakai Town, Sakai City)",Q135194740
Kibitsu Shrine Keidai-sha,Q135197968
Kiburi Shrine,Q11523697
Kifune Shrine (Q135194031),Q135194031
Kifune Shrine (Q135194405),Q135194405
Kifusa Shrine,Q135197704
Kiheno Shrine,Q135040240
Kikamino Shrine,Q135041118
Kikiheno Shrine,Q135040604
Kimachino Shrine,Q135040779
Kineno Shrine (Q135039247),Q135039247
Kineshou Shrine,Q135069502
Kineshou Shrine (Kai Province),Q135069503
Kinomiya Shrine (Q119929624),Q119929624
Kinpu Shrine (Q135195066),Q135195066
Kinshin Shrine,Q135069362
Kinshinshakyuuseki,Q135069364
Kinumaki Shrine,Q21655263
Kinutateno Shrine,Q135040045
Kirihara Ishibe Shrine (Teradomari),Q135195060
Kirihara Isobe Shrine (Kamigiri),Q135195059
Kiriharaishibe Shrine,Q135069994
Kiriharaishibe Shrine (Echigo Province),Q135069995
Kiriharano Shrine,Q135040440
Kiriharano Shrine (Q135040627),Q135040627
Kirinono Shrine,Q135040635
Kirishima Higashi Shrine,Q135070354
Kirishimamine Shrine,Q11660876
Kirishimano Shrine,Q135041487
Kiri‑hara Shrine,Q135195353
Kirutano Shrine,Q135039403
Kisa Shrine,Q28682729
Kisaki Shrine,Q134930558
Kishikahano Shrine,Q135041292
Kishikawa Shrine,Q135070257
Kishino Shrine,Q135039288
Kishino Shrine (Q135039376),Q135039376
Kisukino Shrine,Q135041101
Kita Shrine,Q134930691
Kitano Shrine,Q135193729
Kitano Tenjinsha,Q11404276
Kitano Tenjinsha sessha,Q135193332
"Kitano Tenmasha (Kita‑no‑chō, Hachiōji City)",Q135193298
Kitsumi Shrine,Q135195246
"Kitsune Mound (Ōta, Ueno Village)",Q135186236
Kiyama Shrine,Q11426120
Kiyonowihano Shrine,Q135039269
Kiyonowihano Shrine former site,Q135186131
Kobe Shrine,Q135185299
Kobe Shrine (Sugaru Shrine),Q135185301
Kobimine Shrine,Q11447922
Koe Shrine (Ebie),Q135193641
Kogaikuni Shrine,Q11625493
Kogano Shrine,Q135038753
Kogihara Shrine,Q135070190
Kogihara Shrine (Harima Province),Q135070191
Koguchi Shrine,Q135069342
Kogura Shrine,Q135192621
Kohakino Shrine,Q135040069
Kohaku Shrine,Q72707416
Kohata Shrine (Gokasho),Q135068833
Kohata Shrine (Kobata),Q135068835
Kohoriheno Shrine,Q135039620
Kojin Shrine,Q135194003
Kojino Shrine,Q11479874
Kokaneyamano Shrine,Q135040041
Kokorozashinunohi Shrine,Q135070037
Kokubunji Hekireki Shrine,Q135197714
Kokubunjihekireki Shrine,Q135070152
Kokubunjihiyakurakuno Shrine,Q135041124
Kokura Shrine,Q135039605
Kokuryu Shrine (Hakusan Shrine precincts),Q135194749
Kokuwakura Shrine Haiden,Q48755655
Kokuzō Shrine,Q11421390
Komagatane Shrine Satomiya,Q135194418
Komagatane Shrine Take‑no‑miya,Q135194419
Komai Sukune‑no‑Mikoto Shrine,Q135198978
Komakataneno Shrine,Q135040026
Komaki Sukune‑no‑Mikoto Shrine,Q135198962
Komashi- Shrine,Q135040338
Komatsu Shrine (Fukushima Prefecture),Q135194433
Komatsu Shrine (Miyagi Prefecture),Q135194432
Komatsuno Shrine,Q135040040
Komatsuno Shrine (Q135041450),Q135041450
Komayuminono Shrine,Q135039946
Komayuminono Shrine (central shrine),Q135194267
Komayuminono Shrine (inner shrine),Q135194268
Komayuminono Shrine (Q135194269),Q135194269
Komayuminono Shrine (village shrine),Q135194266
Komi Hachiman Shrine,Q135197839
Komori Katte Shrine,Q11603933
Konashino Shrine,Q135041178
Konawino Shrine,Q135041168
Kone Shrine,Q135192657
Kone Shrine (Kihara Gongen Shrine),Q135192656
Koneno Shrine,Q135039618
Konono Shrine,Q135040092
Konoshima Nimasu Amateru Mitama Shrine,Q11518370
Konosumino Shrine,Q135040234
Konyu Shrine,Q135195065
Konzō-ji Temple,Q135179343
Korizu Shrine,Q20044233
Koroku Miko Shrine,Q135199365
Koroku Shrine,Q135070367
Koroku Shrine (Q135199227),Q135199227
Koroku Shrine (Q135199312),Q135199312
Koroku Shrine (Q135199395),Q135199395
Korokuno Shrine,Q135041537
Korokuno- Shrine,Q135041538
Kosaka Shrine,Q135192926
"Kosaka Shrine (Miki, Izushi Town)",Q135195384
"Kosaka Shrine (Morii, Izushi Town)",Q135195385
Kosaka Shrine (Q135070070),Q135070070
Kosaka Shrine (Tajima Province),Q135070071
Koshikino- Shrine,Q135098979
Kososhino Shrine,Q135040938
Kota Shrine (Niigata),Q172417
Kotekan Shrine,Q135070050
Kotoimi Shrine,Q135069225
Kotoimi Shrine (Ise Province),Q135069226
Kotoimi Shrine (Q135186622),Q135186622
Kotoimi Shrine (Q135186623),Q135186623
Kotoimino Shrine,Q135039348
Kotoshironushi Shrine (Q48758503),Q48758503
Kotoshironushino Shrine,Q135041369
Kotsumi Shrine (Kyotango City),Q135195269
Kotsumi Shrine (Yosa District),Q135195267
Kotsumino Shrine,Q135040570
Kotsuno Shrine,Q135040947
Kou Shrine,Q135069238
Kouhou Shrine,Q135070180
Koukinemurataiheishushin Shrine,Q135070060
Kousuna Shrine,Q135070083
Koutari Shrine,Q126285710
Koyano- Shrine,Q135040723
Koyasu Shinmeisha,Q135187196
Koyasu Shrine (Q135069608),Q135069608
Koyasu Shrine (Q135192617),Q135192617
Kubo Hachiman Shrine (Ōimata Kubo Hachiman Shrine),Q135193250
Kuhaharano Shrine,Q135040701
Kuhaharano Shrine (Q135270271),Q135270271
Kuhanano Shrine,Q135039442
Kuharano Shrine,Q135040354
Kuhatano Shrine,Q135040492
Kuhiwokano Shrine (Q135040575),Q135040575
Kuhiwokano Shrine (Q135270092),Q135270092
Kukuhi Shrine,Q11368920
Kukumiohiko Shrine,Q11368919
Kukushimino Shrine,Q135039383
Kumage Shrine,Q135070223
Kumakafutsuarakashihiko Shrine,Q135194869
Kumakafutsuarakashihikono Shrine,Q135040309
Kumakeno Shrine,Q135041254
Kumaku Shrine,Q131932258
Kumakurano Shrine,Q135040512
Kumano Daijin Shrine,Q135069550
Kumano Shrine,Q135070256
Kumano Shrine (Azumigawa Town),Q135193740
Kumano Shrine (Etchū Province),Q135069977
Kumano Shrine (former site of Ōba Shrine),Q135193266
Kumano Shrine (Imazu Town),Q135193738
"Kumano Shrine (Iwadono, Minamiizu Town)",Q135192837
"Kumano Shrine (Kumanomichi, Fuchu Town)",Q135195002
"Kumano Shrine (Miyabo, Toyama City)",Q135194998
"Kumano Shrine (Nakama, Fuchu Town)",Q135195001
Kumano Shrine (Nei district),Q135069978
Kumano Shrine (Q11568963),Q11568963
Kumano Shrine (Q135039874),Q135039874
Kumano Shrine (Q135040382),Q135040382
Kumano Shrine (Q135040595),Q135040595
Kumano Shrine (Q135040667),Q135040667
Kumano Shrine (Q135069394),Q135069394
Kumano Shrine (Q135069552),Q135069552
Kumano Shrine (Q135069976),Q135069976
Kumano Shrine (Q135070024),Q135070024
Kumano Shrine (Q135070039),Q135070039
Kumano Shrine (Q135070356),Q135070356
Kumano Shrine (Q135190100),Q135190100
Kumano Shrine (Q135195502),Q135195502
Kumano Shrine (Satomiya),Q135070112
Kumano Shrine (Shinasahi Town),Q135193739
"Kumano Shrine (Tomosaka, Fuchu Town)",Q135195000
"Kumano Shrine (Tsutsumi, Kamisato Town)",Q135193379
Kumano Shrine (Yōkaichi),Q135193374
Kumano-sha,Q135187187
Kumanoshinguu Shrine,Q135070041
Kumanowakamiyamikami Shrine,Q135070040
Kumatano Shrine,Q135040276
Kume Shrine,Q135070113
Kumeno Shrine,Q135040366
Kumeno Shrine (Q135040917),Q135040917
Kumeno Shrine (Q135270433),Q135270433
Kumetano Shrine,Q135040228
Kumokeno Shrine,Q135041393
Kumomi Sengen Shrine (Ontake Sengen-gū),Q135192822
Kumukeno Shrine,Q135040294
Kumuno Shrine,Q135041053
Kunarino Shrine,Q135039304
Kunawino Shrine,Q135041079
Kunigami Shrine,Q43594557
Kunihara Shrine,Q135187225
Kunihara Shrine (Q135190112),Q135190112
Kuniharano Shrine,Q135039521
Kuniharano Shrine (Q135040584),Q135040584
Kunihashiramikoto Shrine,Q134893137
"Kuniichigi Shrine (Morito, Sakado)",Q135193338
Kuniji Shrine,Q135070218
Kuniji Shrine (Q135070121),Q135070121
Kunijuu Shrine,Q135069915
Kunijuu Shrine (Echizen Province),Q135069916
Kunikakasuno Shrine,Q135041275
Kunikatanushino Shrine,Q135041494
Kunimoto Shrine,Q135199504
Kunimurano Shrine,Q135041069
Kuninaka Shrine,Q135194617
Kuninaka Shrine (Q135194622),Q135194622
Kuninakano Shrine,Q135040157
Kuninariohonono Shrine,Q135040220
Kuninomi Shrine,Q135098932
"Kuninomi Shrine (Legendary Site B, Tokorocho, Matsusaka)",Q135186395
Kuninomi Shrine Site (Legendary Site A),Q135186393
Kuninotokotachi Shrine,Q135069135
Kunio Ōno Shrine,Q135194707
Kunitakayorihikono Shrine,Q135041247
Kunitama Shrine,Q134930702
Kunitama Shrine (Q135193030),Q135193030
Kunitama Shrine (Q135193034),Q135193034
Kunitamano Shrine,Q135039457
Kunitsu Shrine,Q135041210
Kunitsu Shrine (Q135198631),Q135198631
Kunitsuhiko-no-Mikoto Shrine,Q126709405
Kunitsukami Shrine,Q135041511
Kunitsuno Shrine,Q135039321
Kuniwichino- Shrine,Q135098982
Kurahashino Shrine,Q135040699
Kurai Shrine,Q135070178
Kurami Shrine,Q135040097
Kuramino Shrine,Q135040921
Kurawokino Shrine,Q135041157
Kureha-Anekurahime Shrine,Q11447234
Kurita Shrine,Q135195247
Kuritano Shrine,Q135040564
"Kurohime Shrine (Sato‑miya, Takayanagi Town, Kashiwazaki City)",Q135195075
Kuroiwa Ishito Shrine,Q135187113
Kuronono Shrine,Q135040716
Kuronuma Shrine,Q17228379
Kuroshima Shrine,Q11678192
Kuroshimano shrine,Q135041398
Kurotano Shrine (Q135039861),Q135039861
Kurotatsu Shrine,Q135194748
Kurotona Shrine,Q135069470
Kurotona Shrine (Kai Province),Q135069471
Kurotonano Shrine,Q135039688
Kurotonano Shrine (Q135270283),Q135270283
Kuruhi Shrine,Q135040690
Kurumano Shrine,Q135039357
Kurumitano Shrine,Q135039835
Kusakano Shrine,Q135040759
Kusakano Shrine (Q135040972),Q135040972
Kusanagi Shrine,Q11618229
Kusanagi Shrine (Q11368944),Q11368944
Kusano Shrine,Q11616108
Kusaoka Shrine,Q135040378
Kusaoka Shrine (Q135194974),Q135194974
Kusawokano Shrine,Q135039866
Kushi Inataki Hime Shrine (Noto Province),Q135069962
Kushi iwamado Shrine,Q17218980
Kushibi Shrine,Q135194867
Kushida Shrine (Matsusaka),Q11544726
Kushida Shrine (Q135186410),Q135186410
"Kushida Shrine, Imizu",Q11544725
Kushiina Inataki-hime Shrine (Iikawa Town),Q135194901
Kushiina Inataki-hime Shrine (Kokubu Town),Q135194900
Kushiinatakino Shrine,Q135040324
Kushimachinomikotono Shrine,Q135021846
Kushimikenono Shrine,Q135040902
Kushinashino Shrine,Q135041390
Kushiro-kokeka- Shrine,Q135041129
Kushirokahime Shrine,Q24864064
Kushitano Shrine,Q135039420
Kushitatsukimotono Shrine,Q135098936
Kusuhinano Shrine,Q135040008
Kusumoto Shrine,Q11542244
Kusumoto Shrine (Kita Kinomoto),Q135185623
Kusumoto Shrine (Minami Kinomoto),Q135185621
Kusuyano Shrine,Q135040064
Kutamino Shrine,Q135040742
Kutamino Shrine (Q135040777),Q135040777
Kutamino Shrine (Q135040940),Q135040940
Kutamino Shrine (Q135270429),Q135270429
Kutano Shrine,Q135039478
Kutaya Shrine,Q135070092
Kutehikono Shrine,Q135040320
Kutono Shrine,Q135041300
Kutono Shrine (Q135041185),Q135041185
Kutowa- Shrine,Q135040654
Kutsumino Shrine,Q135040107
Kutsumino Shrine (Q135039669),Q135039669
Kutsumino Shrine (Q135270418),Q135270418
Kutsuno Shrine,Q135040625
Kutsuokamino Shrine,Q135041522
Kuwabara Shrine,Q70203929
"Kuwabara Shrine (Kuwanohon, Takeno Town)",Q135195556
"Kuwabara Shrine (Morimoto, Takeno Town)",Q135195555
Kuwada Shrine,Q11537594
Kuwahara Shrine,Q135070075
Kuwahara Shrine (Tajima Province),Q135070076
Kuwata Shrine (Mahori),Q135195184
Kuwato Shrine,Q135192924
Kuwayama Shrine,Q11650775
Kuzu Shrine,Q135069117
Kuzu Shrine (Q135069143),Q135069143
Kuzumi Shrine,Q11621015
Kō Shrine (Q11618837),Q11618837
